file,action,exists,size,valid
antmaze-giant-stitch-v0-val.npz,kept_existing,True,24541823,True
antmaze-giant-stitch-v0.npz,kept_existing,True,245374624,True
antmaze-large-explore-v0-val.npz,kept_existing,True,119084527,True
antmaze-large-explore-v0.npz,kept_existing,True,1190834580,True
antmaze-large-navigate-v0-val.npz,hardlinked_from_/root/remote/dataset/datasets/ogbench,True,24302303,True
antmaze-large-navigate-v0.npz,hardlinked_from_/root/remote/dataset/datasets/ogbench,True,242877817,True
antmaze-large-stitch-v0-val.npz,hardlinked_from_/root/remote/dataset/datasets/ogbench,True,24530047,True
antmaze-large-stitch-v0.npz,hardlinked_from_/root/remote/dataset/datasets/ogbench,True,245288551,True
antmaze-medium-navigate-v0-val.npz,hardlinked_from_/root/remote/dataset/datasets/ogbench,True,24347849,True
antmaze-medium-navigate-v0.npz,hardlinked_from_/root/remote/dataset/datasets/ogbench,True,243203590,True
antmaze-medium-stitch-v0-val.npz,hardlinked_from_/root/remote/dataset/datasets/ogbench,True,24523749,True
antmaze-medium-stitch-v0.npz,hardlinked_from_/root/remote/dataset/datasets/ogbench,True,245257512,True
/root/remote/dataset/datasets/d4rl/Ant_maze_big-maze_noisy_multistart_True_multigoal_False_sparse_fixed.hdf5.lock,removed_stale_lock,False,0,True
/root/remote/dataset/datasets/ogbench/antmaze-medium-navigate-v0.npz.lock,removed_stale_lock,False,0,True
/root/remote/datasets/ogbench/antmaze-giant-stitch-v0.npz.lock,removed_stale_lock,False,0,True
/root/remote/datasets/ogbench/antmaze-large-explore-v0.npz.lock,removed_stale_lock,False,0,True
/root/remote/datasets/ogbench/scene-play-v0.npz.lock,removed_stale_lock,False,0,True
