env,seed,variant,fallback_mode,task_id,episode_id,success,primary_failure_type,first_failure_step,first_failed_subgoal_idx,subgoal_reach_rate,edge_fail_position,initial_goal_dist_phi,best_goal_dist_phi,final_goal_dist_phi,mean_plan_edges,last_plan_edges,replans,local_drift_score,progress_stall_count,oscillation_score
antmaze-medium-navigate-v0,0,gas_shortest,none,1,0,1,SUCCESS,15,,0.6721311475409836,,57.126609802246094,1.7823580503463743,2.4713094234466557,2.7666666666666666,1.0,30.0,1.3441482743413848,14,0.9740472975297862
antmaze-medium-navigate-v0,0,gas_shortest,none,2,1,1,SUCCESS,15,,0.6481481481481481,,56.68645477294922,1.6470696926116943,2.554105043411255,3.4782608695652173,1.0,23.0,4.884295541353798,15,0.9780819407421388
antmaze-medium-navigate-v0,0,gas_shortest,none,3,2,1,SUCCESS,15,,0.6212121212121212,,18.510671615600582,1.7046877145767212,2.3339686393737797,2.806451612903226,1.0,31.0,3.7025130613469055,17,0.9798300958698868
antmaze-medium-navigate-v0,0,gas_shortest,none,4,3,1,SUCCESS,25,,0.5454545454545454,,52.79445266723633,4.2340006828308105,4.2340006828308105,4.521739130434782,1.0,23.0,0.9186709760899344,24,0.9580189855892797
antmaze-medium-navigate-v0,0,gas_shortest,none,5,4,1,SUCCESS,18,,0.9177215189873418,,48.90099334716797,2.680808782577514,2.680808782577514,1.1751824817518248,1.0,137.0,0.9622415051328664,28,0.9644607750484668
antmaze-medium-navigate-v0,0,gas_shortest,none,1,5,1,F6_LONG_PATH_ACCUMULATION,15,,0.7254901960784313,,56.27472686767578,1.1809946298599243,4.218727111816406,2.161290322580645,1.0,62.0,2.5962784464150257,34,0.9850238106270313
antmaze-medium-navigate-v0,0,gas_shortest,none,2,6,1,SUCCESS,15,,0.8229166666666666,,57.10757827758789,2.1065456867218018,4.445826053619385,1.7058823529411764,1.0,68.0,2.9637963257232576,20,0.9862467864208644
antmaze-medium-navigate-v0,0,gas_shortest,none,3,7,1,SUCCESS,15,,0.4516129032258064,,20.820615768432617,1.5711103677749634,1.922224521636963,4.242424242424242,1.0,33.0,0.8237777649182564,37,0.9814406454181821
antmaze-medium-navigate-v0,0,gas_shortest,none,4,8,1,SUCCESS,26,,0.734375,,51.65332412719727,1.5202142000198364,1.6319290399551392,2.25,1.0,36.0,1.0936653198511286,16,0.9459758170271794
antmaze-medium-navigate-v0,0,gas_shortest,none,5,9,1,SUCCESS,15,,0.6875,,48.30514907836914,2.479497194290161,3.4417781829833984,2.347826086956522,1.0,23.0,1.658502348368766,9,0.970641103324073
antmaze-medium-navigate-v0,0,gas_shortest,none,1,10,1,SUCCESS,15,,0.7012987012987013,,58.7996826171875,1.9264036417007449,3.7757272720336914,2.619047619047619,1.0,42.0,1.6463872319906525,19,0.9814817851042222
antmaze-medium-navigate-v0,0,gas_shortest,none,2,11,1,SUCCESS,15,,0.6363636363636364,,56.03352737426758,3.1159603595733643,3.756834030151367,3.333333333333333,1.0,24.0,6.374319190546898,13,0.9786824260771944
antmaze-medium-navigate-v0,0,gas_shortest,none,3,12,0,F4_LOCAL_EXECUTION_DRIFT,15,13,0.0902255639097744,,20.964216232299805,20.54442405700684,30.23863983154297,7.926829268292683,8.0,41.0,1.4781117447331569,700,1.0
antmaze-medium-navigate-v0,0,gas_shortest,none,4,13,1,SUCCESS,19,,0.7435897435897436,,52.07606506347656,1.184977412223816,1.678173542022705,2.234042553191489,1.0,47.0,1.0427443170930806,18,0.9534742458537612
antmaze-medium-navigate-v0,0,gas_shortest,none,5,14,1,SUCCESS,17,,0.7346938775510204,,49.59168243408203,1.919709086418152,2.619627952575684,2.2,1.0,25.0,2.434308232940072,12,0.9574623989329568
antmaze-medium-navigate-v0,0,gas_shortest,none,1,15,1,SUCCESS,15,,0.5757575757575758,,58.259674072265625,1.7632577419281006,1.846066236495972,4.1923076923076925,1.0,26.0,6.810250745076321,18,0.9786313061411664
antmaze-medium-navigate-v0,0,gas_shortest,none,2,16,1,SUCCESS,15,,0.6153846153846154,,57.72402572631836,4.771059989929199,4.771059989929199,4.2105263157894735,1.0,19.0,3.33730867598336,14,0.9928540755493416
antmaze-medium-navigate-v0,0,gas_shortest,none,3,17,1,SUCCESS,16,,0.7346938775510204,,23.54807472229004,2.235743761062622,2.235743761062622,1.7096774193548387,1.0,31.0,0.9763431278287176,9,0.9399525573513041
antmaze-medium-navigate-v0,0,gas_shortest,none,4,18,1,F4_LOCAL_EXECUTION_DRIFT,15,,0.4487179487179487,,50.83554458618164,3.75446343421936,4.063505172729492,4.333333333333333,1.0,27.0,1.0843676785102647,29,0.9766270875721462
antmaze-medium-navigate-v0,0,gas_shortest,none,5,19,1,SUCCESS,15,,0.8505747126436781,,48.74065780639648,2.441927909851074,3.750373363494873,1.484375,1.0,64.0,2.5463428476422547,16,0.9772713973946432
antmaze-medium-navigate-v0,0,gas_shortest,none,1,20,1,SUCCESS,17,,0.8235294117647058,,57.099082946777344,1.102653741836548,1.6558561325073242,1.6666666666666667,1.0,84.0,3.9096110978007,38,0.9742236986972126
antmaze-medium-navigate-v0,0,gas_shortest,none,2,21,1,SUCCESS,15,,0.896774193548387,,57.354339599609375,2.9472718238830566,2.9472718238830566,1.3228346456692914,1.0,127.0,1.892990868404872,27,0.9890511026047748
antmaze-medium-navigate-v0,0,gas_shortest,none,3,22,0,F4_LOCAL_EXECUTION_DRIFT,15,41,0.2515723270440251,,19.33036231994629,19.060306549072266,26.344579696655277,8.95,9.0,40.0,0.5516555190542467,367,1.0
antmaze-medium-navigate-v0,0,gas_shortest,none,4,23,1,SUCCESS,27,,0.5060240963855421,,51.37210464477539,3.219062328338623,3.715416431427002,3.9696969696969697,1.0,33.0,1.9421264266373388,33,0.9722940984421302
antmaze-medium-navigate-v0,0,gas_shortest,none,5,24,1,SUCCESS,15,,0.6666666666666666,,50.13130187988281,2.018866539001465,2.485520601272583,2.52,1.0,25.0,2.9080734607958245,15,0.9747034527594345
antmaze-medium-navigate-v0,0,gas_shortest,none,1,25,1,SUCCESS,16,,0.6933333333333334,,57.34819030761719,0.9360679388046264,3.309955358505249,2.65,1.0,40.0,1.670042944319596,16,0.9779093984080177
antmaze-medium-navigate-v0,0,gas_shortest,none,2,26,1,SUCCESS,15,,0.64,,57.2656135559082,2.956077337265014,2.956077337265014,3.8947368421052633,1.0,19.0,1.2368864983860348,12,0.9825706004881865
antmaze-medium-navigate-v0,0,gas_shortest,none,3,27,1,SUCCESS,15,,0.5660377358490566,,19.959423065185547,2.198469638824463,2.369959831237793,2.869565217391304,1.0,23.0,1.039377153762211,15,0.9669744568674712
antmaze-medium-navigate-v0,0,gas_shortest,none,4,28,1,SUCCESS,30,,0.4054054054054054,,53.11467742919922,1.2758780717849731,1.6176749467849731,5.357142857142857,1.0,56.0,1.757738466709463,54,0.9835253617246102
antmaze-medium-navigate-v0,0,gas_shortest,none,5,29,1,SUCCESS,15,,0.8,,49.640907287597656,3.1291942596435547,3.6571805477142334,1.626865671641791,1.0,67.0,2.54953660220902,22,0.97526160188442
antmaze-medium-navigate-v0,0,gas_shortest,none,1,30,1,SUCCESS,15,,0.6060606060606061,,57.39628219604492,1.2192646265029907,2.66729998588562,3.071428571428572,1.0,28.0,4.317996826862385,20,0.9789376346842226
antmaze-medium-navigate-v0,0,gas_shortest,none,2,31,0,F4_LOCAL_EXECUTION_DRIFT,15,5,0.0310077519379844,,57.27762222290039,53.51944732666016,57.36936569213867,13.952380952380953,14.0,42.0,1.0330613921026714,911,1.0
