env,seed,fallback_mode,variant,episodes,success,steps,success_delta_vs_shortest,steps_inflation_vs_shortest,paired_episode_n,paired_episode_success_delta,no_path_rate,budget_reject_rate,no_path_delta_vs_shortest,budget_reject_delta_vs_shortest,first_plan_edges_mean,first_plan_edge_distribution,subgoal_reach_rate,env_mean_success,env_std_success,primary_variant,paired_cell_result,source
antmaze-medium-navigate-v0,0,none,gas_reachability_budget_calibrated,100,0.92,345.04,0.02,-0.04078285285368758,100.0,0.02,0.0,0.0,0.0,0.0,13.51,0:0.000;1:0.000;2-3:0.000;4-5:0.000;6-10:0.200;11-20:0.800;>20:0.000,0.6476197443842346,0.9066666666666667,0.015275252316519477,gas_reachability_budget_calibrated,win,stage24_run
antmaze-medium-navigate-v0,0,none,gas_reachability_soft_calibrated,100,0.86,367.22,-0.04,0.02087792944316268,100.0,-0.04,0.0,0.0,0.0,0.0,14.1,0:0.000;1:0.000;2-3:0.000;4-5:0.000;6-10:0.180;11-20:0.820;>20:0.000,0.635422171576191,0.8933333333333332,0.04163331998932263,gas_reachability_budget_calibrated,,stage24_run
antmaze-medium-navigate-v0,0,none,gas_shortest,100,0.9,359.71,,,,,0.0,0.0,,,13.15,0:0.000;1:0.000;2-3:0.000;4-5:0.000;6-10:0.200;11-20:0.800;>20:0.000,0.621686511050923,0.9166666666666666,0.0208166599946613,gas_reachability_budget_calibrated,,stage24_run
antmaze-medium-navigate-v0,1,none,gas_reachability_budget_calibrated,100,0.89,356.21,-0.02,0.0630912943564031,100.0,-0.02,0.0,0.0,0.0,0.0,13.47,0:0.000;1:0.000;2-3:0.000;4-5:0.000;6-10:0.200;11-20:0.800;>20:0.000,0.6183346844390051,0.9066666666666667,0.015275252316519477,gas_reachability_budget_calibrated,loss,stage24_run
antmaze-medium-navigate-v0,1,none,gas_reachability_soft_calibrated,100,0.88,351.73,-0.03,0.049720953830542945,100.0,-0.03,0.0,0.0,0.0,0.0,14.25,0:0.000;1:0.000;2-3:0.000;4-5:0.000;6-10:0.160;11-20:0.840;>20:0.000,0.6506793307142661,0.8933333333333332,0.04163331998932263,gas_reachability_budget_calibrated,,stage24_run
antmaze-medium-navigate-v0,1,none,gas_shortest,100,0.91,335.07,,,,,0.0,0.0,,,13.2,0:0.000;1:0.000;2-3:0.000;4-5:0.000;6-10:0.200;11-20:0.800;>20:0.000,0.6316709563724509,0.9166666666666666,0.0208166599946613,gas_reachability_budget_calibrated,,stage24_run
antmaze-medium-navigate-v0,2,none,gas_reachability_budget_calibrated,100,0.91,329.94,-0.03,0.06490656166284742,100.0,-0.03,0.0,0.0,0.0,0.0,13.41,0:0.000;1:0.000;2-3:0.000;4-5:0.000;6-10:0.200;11-20:0.800;>20:0.000,0.6341200358411381,0.9066666666666667,0.015275252316519477,gas_reachability_budget_calibrated,loss,stage24_run
antmaze-medium-navigate-v0,2,none,gas_reachability_soft_calibrated,100,0.94,308.08,0.0,-0.005648258722525256,100.0,0.0,0.0,0.0,0.0,0.0,14.05,0:0.000;1:0.000;2-3:0.000;4-5:0.000;6-10:0.190;11-20:0.810;>20:0.000,0.6649271326251199,0.8933333333333332,0.04163331998932263,gas_reachability_budget_calibrated,,stage24_run
antmaze-medium-navigate-v0,2,none,gas_shortest,100,0.94,309.83,,,,,0.0,0.0,,,13.09,0:0.000;1:0.000;2-3:0.000;4-5:0.000;6-10:0.200;11-20:0.800;>20:0.000,0.6490081164773964,0.9166666666666666,0.0208166599946613,gas_reachability_budget_calibrated,,stage24_run
antmaze-medium-stitch-v0,0,none,gas_reachability_budget_calibrated,100,0.95,304.36,0.09,-0.1676193080814986,100.0,0.09,0.0,0.0,0.0,0.0,14.65,0:0.000;1:0.000;2-3:0.000;4-5:0.000;6-10:0.140;11-20:0.860;>20:0.000,0.6500179460879878,0.9,0.043588989435406664,gas_reachability_budget_calibrated,win,stage24_run
