result_set,condition,env,variant,success_count,success_mean,success_std,return_count,return_mean,return_std,steps_count,steps_mean,steps_std,replans_count,replans_mean,replans_std,no_path_count_count,no_path_count_mean,no_path_count_std,goal_distance_final_count,goal_distance_final_mean,goal_distance_final_std,fallback_used_count,fallback_used_mean,fallback_used_std,fallback_count_count,fallback_count_mean,fallback_count_std,direct_goal_attempts_count,direct_goal_attempts_mean,direct_goal_attempts_std,initial_plan_failed_count_count,initial_plan_failed_count_mean,initial_plan_failed_count_std,plan_failed_initial_count,plan_failed_initial_mean,plan_failed_initial_std,last_plan_edges_count,last_plan_edges_mean,last_plan_edges_std,first_plan_edges_count,first_plan_edges_mean,first_plan_edges_std,max_plan_edges_count,max_plan_edges_mean,max_plan_edges_std,mean_plan_edges_count,mean_plan_edges_mean,mean_plan_edges_std,num_plan_calls_count,num_plan_calls_mean,num_plan_calls_std,num_subgoal_attempts_count,num_subgoal_attempts_mean,num_subgoal_attempts_std,num_subgoal_reached_count,num_subgoal_reached_mean,num_subgoal_reached_std,subgoal_reach_rate_count,subgoal_reach_rate_mean,subgoal_reach_rate_std,subgoal_horizon_count,subgoal_horizon_mean,subgoal_horizon_std,subgoal_threshold_count,subgoal_threshold_mean,subgoal_threshold_std,success_threshold_count,success_threshold_mean,success_threshold_std,lambda_risk_count,lambda_risk_mean,lambda_risk_std,lambda_boundary_count,lambda_boundary_mean,lambda_boundary_std,success_if_capped_700_count,success_if_capped_700_mean,success_if_capped_700_std
stage17_online_quick_loaded,unknown,antmaze-medium-diverse-v2,full_bars,90,0.2222222222222222,0.4180688018689385,90,0.2222222222222222,0.4180688018689385,90,616.4666666666667,114.50108679136848,90,25.977777777777778,16.076347185429494,90,0.2222222222222222,0.41806880186893863,90,5.079664722747273,5.947362583095358,0,,,0,,,0,,,0,,,0,,,90,2.3,2.3437701309996872,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,90,0.2222222222222222,0.4180688018689385
stage17_online_quick_loaded,unknown,antmaze-medium-diverse-v2,reachability,90,0.13333333333333333,0.34183904485045247,90,0.13333333333333333,0.34183904485045247,90,609.8222222222222,115.06584121810847,90,30.766666666666666,56.23467082011942,90,0.34444444444444444,0.47784890449867806,90,5.976936518152555,7.029510608848384,0,,,0,,,0,,,0,,,0,,,90,2.6,2.6042316471293625,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,90,0.13333333333333333,0.34183904485045247
stage17_online_quick_loaded,unknown,antmaze-medium-diverse-v2,shortest,90,0.12222222222222222,0.32937727344895734,90,0.12222222222222222,0.32937727344895734,90,642.7666666666667,100.84207811772394,90,25.733333333333334,7.754375350642481,90,0.17777777777777778,0.3844674641127625,90,8.486293859945404,8.15965033466481,0,,,0,,,0,,,0,,,0,,,90,2.7222222222222223,2.104184048951083,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,90,0.12222222222222222,0.32937727344895734
stage17_online_quick_loaded,unknown,antmaze-medium-play-v2,full_bars,90,0.07777777777777778,0.26932198589215456,90,0.07777777777777778,0.26932198589215456,90,637.3444444444444,102.28031114266663,90,26.822222222222223,11.590947434182096,90,0.28888888888888886,0.4557853931339366,90,8.25963127248817,8.2156975282663,0,,,0,,,0,,,0,,,0,,,90,3.022222222222222,2.67311953341972,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,90,0.07777777777777778,0.26932198589215456
stage17_online_quick_loaded,unknown,antmaze-medium-play-v2,reachability,90,0.13333333333333333,0.34183904485045247,90,0.13333333333333333,0.34183904485045247,90,625.8111111111111,94.70924096725867,90,31.9,38.180543901105835,90,0.35555555555555557,0.48136302521843194,90,5.087420583102438,5.754747504417211,0,,,0,,,0,,,0,,,0,,,90,2.3,2.329343833921736,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,90,0.13333333333333333,0.34183904485045247
stage17_online_quick_loaded,unknown,antmaze-medium-play-v2,shortest,90,0.011111111111111112,0.10540925533894598,90,0.011111111111111112,0.10540925533894598,90,685.2111111111111,52.38223698507488,90,29.9,41.58139439160936,90,0.08888888888888889,0.28617761611461456,90,13.542405461933878,8.0050852548812,0,,,0,,,0,,,0,,,0,,,90,3.7111111111111112,1.861764563763741,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,90,0.011111111111111112,0.10540925533894598
stage18_medium100_best_loaded,unknown,antmaze-medium-diverse-v2,full_bars,300,0.41333333333333333,0.493254385198226,300,0.41333333333333333,0.493254385198226,300,846.57,212.65021076986554,300,75.56333333333333,149.28202526015923,300,0.0,0.0,300,4.468554140428702,6.5441953093127445,300,0.47,0.49993310589307116,300,16.82,38.438948683851024,300,5.6066666666666665,12.812982894617011,300,5.6066666666666665,12.812982894617011,300,0.47,0.49993310589307116,300,2.1266666666666665,2.687258842982227,300,8.456666666666667,0.49895096194949096,300,8.49,0.520387044021356,300,3.8748452705144882,2.0659332149243244,300,75.56333333333333,149.28202526015923,300,75.56333333333333,149.28202526015923,300,63.06333333333333,151.2365729319341,300,0.6257723098153017,0.2764392049737174,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.2866666666666667,0.45296004041888355
stage18_medium100_best_loaded,unknown,antmaze-medium-diverse-v2,reachability,300,0.35,0.47776654295295456,300,0.35,0.47776654295295456,300,863.6433333333333,209.21099458778522,300,80.99,167.3835138307866,300,0.0,0.0,300,5.4019187719623245,6.772722880031802,300,0.42333333333333334,0.49491280495042955,300,11.453333333333333,26.44097020231458,300,5.726666666666667,13.22048510115729,300,5.726666666666667,13.22048510115729,300,0.42333333333333334,0.49491280495042955,300,2.2933333333333334,2.600608795888583,300,7.933333333333334,0.6907575858167863,300,7.976666666666667,0.68631307799403,300,3.7667313694953917,1.9797750903441242,300,80.99,167.3835138307866,300,80.99,167.3835138307866,300,68.34333333333333,169.81059325267367,300,0.6089868832943864,0.2863516796214642,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.27,0.44470124502233477
stage18_medium100_best_loaded,unknown,antmaze-medium-diverse-v2,shortest,300,0.29333333333333333,0.4560506142576407,300,0.29333333333333333,0.4560506142576407,300,906.58,168.88046751383746,300,46.35666666666667,73.7675286502544,300,0.0,0.0,300,8.350882434944312,8.736364321810312,300,0.29333333333333333,0.4560506142576407,300,5.406666666666666,18.253362421423848,300,5.406666666666666,18.253362421423848,300,5.406666666666666,18.253362421423848,300,0.29333333333333333,0.4560506142576407,300,2.63,2.317542522691138,300,7.293333333333333,0.6748879918629147,300,7.41,0.8351996937428161,300,3.8636136375864347,1.7675959400789183,300,46.35666666666667,73.7675286502544,300,46.35666666666667,73.7675286502544,300,31.203333333333333,75.67534504964944,300,0.4634811585791766,0.3179107147947396,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.16,0.3672185974698982
stage18_medium100_best_loaded,unknown,antmaze-medium-play-v2,full_bars,300,0.49,0.5007352453674271,300,0.49,0.5007352453674271,300,825.2066666666667,213.57173715622713,300,69.51,86.38106773405991,300,0.0,0.0,300,3.5569767770171166,5.645553729798893,300,0.6166666666666667,0.48701076700570706,300,31.54,57.05224150609304,300,10.513333333333334,19.017413835364344,300,10.513333333333334,19.017413835364344,300,0.6166666666666667,0.48701076700570706,300,1.8566666666666667,2.3639125400938448,300,8.333333333333334,1.696609511645379,300,8.48,1.6528884214547774,300,3.495729565024376,1.994067779050788,300,69.51,86.38106773405991,300,69.51,86.38106773405991,300,57.61333333333334,87.50665806807524,300,0.6851192153201584,0.2505875890618367,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.3,0.4590232468373727
