result_set,condition,variant,success_count,success_mean,success_std,return_count,return_mean,return_std,steps_count,steps_mean,steps_std,replans_count,replans_mean,replans_std,no_path_count_count,no_path_count_mean,no_path_count_std,goal_distance_final_count,goal_distance_final_mean,goal_distance_final_std,fallback_used_count,fallback_used_mean,fallback_used_std,fallback_count_count,fallback_count_mean,fallback_count_std,direct_goal_attempts_count,direct_goal_attempts_mean,direct_goal_attempts_std,initial_plan_failed_count_count,initial_plan_failed_count_mean,initial_plan_failed_count_std,plan_failed_initial_count,plan_failed_initial_mean,plan_failed_initial_std,last_plan_edges_count,last_plan_edges_mean,last_plan_edges_std,first_plan_edges_count,first_plan_edges_mean,first_plan_edges_std,max_plan_edges_count,max_plan_edges_mean,max_plan_edges_std,mean_plan_edges_count,mean_plan_edges_mean,mean_plan_edges_std,num_plan_calls_count,num_plan_calls_mean,num_plan_calls_std,num_subgoal_attempts_count,num_subgoal_attempts_mean,num_subgoal_attempts_std,num_subgoal_reached_count,num_subgoal_reached_mean,num_subgoal_reached_std,subgoal_reach_rate_count,subgoal_reach_rate_mean,subgoal_reach_rate_std,subgoal_horizon_count,subgoal_horizon_mean,subgoal_horizon_std,subgoal_threshold_count,subgoal_threshold_mean,subgoal_threshold_std,success_threshold_count,success_threshold_mean,success_threshold_std,lambda_risk_count,lambda_risk_mean,lambda_risk_std,lambda_boundary_count,lambda_boundary_mean,lambda_boundary_std,success_if_capped_700_count,success_if_capped_700_mean,success_if_capped_700_std
stage17_online_quick_loaded,unknown,full_bars,180,0.15,0.358067438484419,180,0.15,0.358067438484419,180,626.9055555555556,108.7640415244851,180,26.4,13.981472177342772,180,0.25555555555555554,0.4373896952371988,180,6.669647997617721,7.32729354730675,0,,,0,,,0,,,0,,,0,,,180,2.661111111111111,2.532832205654128,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,180,0.15,0.358067438484419
stage17_online_quick_loaded,unknown,reachability,180,0.13333333333333333,0.34088284984498085,180,0.13333333333333333,0.34088284984498085,180,617.8166666666667,105.39081166950722,180,31.333333333333332,47.93186504978538,180,0.35,0.47830006243013445,180,5.5321785506274965,6.42136667272442,0,,,0,,,0,,,0,,,0,,,180,2.45,2.4682905219116043,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,180,0.13333333333333333,0.34088284984498085
stage17_online_quick_loaded,unknown,shortest,180,0.06666666666666667,0.2501396258137336,180,0.06666666666666667,0.2501396258137336,180,663.9888888888889,82.90561294614743,180,27.816666666666666,29.89880044678088,180,0.13333333333333333,0.3408828498449809,180,11.01434966093964,8.449404506926687,0,,,0,,,0,,,0,,,0,,,180,3.216666666666667,2.042221925027114,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,180,0.06666666666666667,0.2501396258137336
stage18_medium100_best_loaded,unknown,full_bars,600,0.45166666666666666,0.49807364027901563,600,0.45166666666666666,0.49807364027901563,600,835.8883333333333,213.20170608217344,600,72.53666666666666,121.89237701696933,600,0.0,0.0,600,4.012765458722909,6.12332604265961,600,0.5433333333333333,0.4985343013657995,600,24.18,49.158572077320684,600,8.06,16.386190692440238,600,8.06,16.386190692440238,600,0.5433333333333333,0.4985343013657995,600,1.9916666666666667,2.532248874583014,600,8.395,1.2509662375723427,600,8.485,1.2243120108179344,600,3.685287417769432,2.0374747980903947,600,72.53666666666666,121.89237701696933,600,72.53666666666666,121.89237701696933,600,60.33833333333333,123.47838697780251,600,0.65544576256773,0.26527752707614577,600,50.0,0.0,600,1.0,0.0,600,0.5,0.0,600,1.0,0.0,600,0.1,0.0,600,0.29333333333333333,0.4556697786052005
stage18_medium100_best_loaded,unknown,reachability,600,0.3283333333333333,0.46999863839062067,600,0.3283333333333333,0.46999863839062067,600,878.775,199.06757866729768,600,71.1,132.07170359878688,600,0.0,0.0,600,4.728951264619827,6.166468710052234,600,0.51,0.5003170947764455,600,12.586666666666666,31.717279179544146,600,6.293333333333333,15.858639589772073,600,6.293333333333333,15.858639589772073,600,0.51,0.5003170947764455,600,2.171666666666667,2.468945126760375,600,8.13,1.3061176205576661,600,8.205,1.2841560502013691,600,3.7241327038407324,1.9307696930104876,600,71.1,132.07170359878688,600,71.1,132.07170359878688,600,58.24166666666667,133.93588503230893,600,0.617606541168174,0.2651722470143042,600,50.0,0.0,600,1.0,0.0,600,0.5,0.0,600,1.0,0.0,600,0.1,0.0,600,0.23,0.42118364098381983
stage18_medium100_best_loaded,unknown,shortest,600,0.25166666666666665,0.434332780053041,600,0.25166666666666665,0.434332780053041,600,924.28,154.77701640751874,600,43.67,69.94434539275278,600,0.0,0.0,600,9.126027116626501,8.59870966002779,600,0.29,0.45414066055126917,600,5.585,18.014632570341448,600,5.585,18.014632570341448,600,5.585,18.014632570341448,600,0.29,0.45414066055126917,600,2.7283333333333335,2.2142045355154933,600,7.4383333333333335,0.9752516334104098,600,7.498333333333333,1.0271752709661395,600,4.060280224035184,1.6819586670604691,600,43.67,69.94434539275278,600,43.67,69.94434539275278,600,27.748333333333335,71.78114342551729,600,0.42275593987173454,0.30925126227512456,600,50.0,0.0,600,1.0,0.0,600,0.5,0.0,600,1.0,0.0,600,0.1,0.0,600,0.135,0.34200869859775146
stage18_online_tuned_h50_thr1_lb01,unknown,full_bars,300,0.4766666666666667,0.5002897711051704,300,0.4766666666666667,0.5002897711051704,300,817.6633333333333,220.67851430942454,300,68.47333333333333,117.32387763409129,300,0.0,0.0,300,3.8356965349117913,5.9100275822678086,300,0.5766666666666667,0.4949128049504295,300,23.46,47.298260908302275,300,7.82,15.766086969434083,300,7.82,15.766086969434083,300,0.5766666666666667,0.4949128049504295,300,1.8866666666666667,2.570833751167643,300,8.386666666666667,1.252618216727859,300,8.476666666666667,1.2441658723613667,300,3.6831489763657252,2.060578312575115,300,68.47333333333333,117.32387763409129,300,68.47333333333333,117.32387763409129,300,56.61666666666667,118.68421489442447,300,0.6569237348583983,0.2589008387474809,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.3333333333333333,0.47219216464988567
stage18_online_tuned_h50_thr1_lb01,unknown,reachability,300,0.3466666666666667,0.47670365722489905,300,0.3466666666666667,0.47670365722489905,300,866.2866666666666,208.69200351232635,300,69.0,132.70801807050188,300,0.0,0.0,300,4.787354054848353,6.025575768397766,300,0.5266666666666666,0.5001226159575233,300,12.2,30.977173600587516,300,6.1,15.488586800293758,300,6.1,15.488586800293758,300,0.5266666666666666,0.5001226159575233,300,2.1933333333333334,2.5120356884185626,300,8.12,1.3081683178498433,300,8.216666666666667,1.2839590042667564,300,3.7778685986995697,1.9163672999197559,300,69.0,132.70801807050188,300,69.0,132.70801807050188,300,56.343333333333334,134.54207777194787,300,0.6157182954569554,0.26448941049961017,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.25333333333333335,0.4356468556430323
stage18_online_tuned_h50_thr1_lb01,unknown,shortest,300,0.24333333333333335,0.42981160478467867,300,0.24333333333333335,0.42981160478467867,300,927.5933333333334,149.48382074471138,300,43.93333333333333,68.52752947935625,300,0.0,0.0,300,9.499101185699304,8.791864842111588,300,0.29,0.45452021821096333,300,6.816666666666666,21.436919725400532,300,6.816666666666666,21.436919725400532,300,6.816666666666666,21.436919725400532,300,0.29,0.45452021821096333,300,2.8333333333333335,2.255922466784419,300,7.4366666666666665,0.9673545394038522,300,7.49,1.013240108954758,300,4.064510195155939,1.757591978647966,300,43.93333333333333,68.52752947935625,300,43.93333333333333,68.52752947935625,300,27.89666666666667,70.41002220074868,300,0.4136501433528548,0.31687706910027613,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.12666666666666668,0.3331549132304482
stage18_online_tuned_h50_thr1_lb03_fullbars,unknown,full_bars,300,0.39666666666666667,0.49002309230504254,300,0.39666666666666667,0.49002309230504254,300,852.6033333333334,209.7178850103147,300,52.56,64.94113413707858,300,0.0,0.0,300,5.1625077638030055,7.187456505413735,300,0.5033333333333333,0.5008242926709127,300,32.8,91.98916614995058,300,10.933333333333334,30.66305538331687,300,10.933333333333334,30.66305538331687,300,0.5033333333333333,0.5008242926709127,300,2.12,2.6067060417238967,300,8.433333333333334,1.2559779020842572,300,8.546666666666667,1.1913100440098496,300,3.836026241481304,2.042126742656727,300,52.56,64.94113413707858,300,52.56,64.94113413707858,300,39.38666666666666,66.46006537654829,300,0.5900272808167832,0.3037355213321007,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.3,0.0,300,0.2733333333333333,0.44641517737511843
stage19_protocol_ablation_medium50,direct_goal_after3,full_bars,300,0.08,0.27174648819470315,300,0.08,0.27174648819470315,300,706.31,243.14386075616085,300,50.9,116.20004950522491,300,0.5766666666666667,0.4949128049504295,300,4.011725500226021,5.80863396032452,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.5766666666666667,0.4949128049504295,300,0.5766666666666667,0.4949128049504295,300,2.1333333333333333,2.4016902260759996,300,8.386666666666667,1.2526182167278594,300,8.476666666666667,1.2441658723613662,300,4.73176397005717,1.6797588530184593,300,50.9,116.20004950522491,300,50.32333333333333,116.32858600516941,300,40.07,117.07579127646342,300,0.5915415733017415,0.24531586761921145,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.06,0.23788364542889825
stage19_protocol_ablation_medium50,direct_goal_after3,reachability,300,0.07,0.2555733275451654,300,0.07,0.2555733275451654,300,763.4,234.2399935577608,300,56.95,133.14488110531505,300,0.5266666666666666,0.500122615957523,300,4.854956213633219,5.959607050680836,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.5266666666666666,0.500122615957523,300,0.5266666666666666,0.500122615957523,300,2.4,2.353393621658207,300,8.12,1.3081683178498429,300,8.216666666666667,1.2839590042667577,300,4.5968275705973305,1.6137120277951897,300,56.95,133.14488110531505,300,56.42333333333333,133.26676589405835,300,45.24333333333333,134.6087261388775,300,0.5694535513920815,0.2529383329825608,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.05333333333333334,0.22507276167731247
stage19_protocol_ablation_medium50,direct_goal_after3,shortest,300,0.056666666666666664,0.23159088211286508,300,0.056666666666666664,0.23159088211286508,300,875.3033333333333,193.86158042127286,300,33.36333333333334,65.0341149647865,300,0.29,0.4545202182109635,300,9.571155995825926,8.71638785869738,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.29,0.4545202182109635,300,0.29,0.4545202182109635,300,2.98,2.0898544539742443,300,7.4366666666666665,0.9673545394038533,300,7.49,1.0132401089547571,300,4.647823933760325,1.2845950669416901,300,33.36333333333334,65.0341149647865,300,33.07333333333333,65.08780759775081,300,17.72,66.24618320550748,300,0.35023102413504614,0.2688607407790766,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.03333333333333333,0.17980541941701317
stage19_protocol_ablation_medium50,direct_goal_fallback,full_bars,300,0.4766666666666667,0.5002897711051704,300,0.4766666666666667,0.5002897711051704,300,817.6633333333333,220.6785143094246,300,68.47333333333333,117.32387763409128,300,0.0,0.0,300,3.8356965349117913,5.910027582267809,300,0.5766666666666667,0.49491280495042955,300,23.46,47.298260908302275,300,7.82,15.766086969434083,300,7.82,15.766086969434083,300,0.5766666666666667,0.49491280495042955,300,1.8866666666666667,2.5708337511676436,300,8.386666666666667,1.2526182167278581,300,8.476666666666667,1.2441658723613673,300,3.6831489763657252,2.0605783125751147,300,68.47333333333333,117.32387763409128,300,68.47333333333333,117.32387763409128,300,56.61666666666667,118.68421489442443,300,0.6569237348583983,0.25890083874748077,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.3333333333333333,0.4721921646498857
stage19_protocol_ablation_medium50,direct_goal_fallback,reachability,300,0.3466666666666667,0.47670365722489927,300,0.3466666666666667,0.47670365722489927,300,866.2866666666666,208.69200351232635,300,69.0,132.70801807050188,300,0.0,0.0,300,4.787354054848353,6.025575768397766,300,0.5266666666666666,0.5001226159575232,300,12.2,30.97717360058752,300,6.1,15.48858680029376,300,6.1,15.48858680029376,300,0.5266666666666666,0.5001226159575232,300,2.1933333333333334,2.512035688418563,300,8.12,1.308168317849843,300,8.216666666666667,1.2839590042667564,300,3.7778685986995697,1.9163672999197552,300,69.0,132.70801807050188,300,69.0,132.70801807050188,300,56.343333333333334,134.5420777719479,300,0.6157182954569554,0.26448941049961017,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.25333333333333335,0.4356468556430323
stage19_protocol_ablation_medium50,direct_goal_fallback,shortest,300,0.24333333333333335,0.42981160478467867,300,0.24333333333333335,0.42981160478467867,300,927.5933333333334,149.4838207447115,300,43.93333333333333,68.52752947935623,300,0.0,0.0,300,9.499101185699304,8.791864842111588,300,0.29,0.4545202182109632,300,6.816666666666666,21.43691972540053,300,6.816666666666666,21.43691972540053,300,6.816666666666666,21.43691972540053,300,0.29,0.4545202182109632,300,2.8333333333333335,2.255922466784419,300,7.4366666666666665,0.9673545394038525,300,7.49,1.013240108954758,300,4.064510195155939,1.7575919786479657,300,43.93333333333333,68.52752947935623,300,43.93333333333333,68.52752947935623,300,27.89666666666667,70.4100222007487,300,0.4136501433528548,0.31687706910027624,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.12666666666666668,0.3331549132304484
stage19_protocol_ablation_medium50,direct_goal_only,direct_goal,300,0.0033333333333333335,0.05773502691896258,300,0.0033333333333333335,0.05773502691896258,300,998.7266666666667,22.054780283043737,300,19.993333333333332,0.115470053837925,300,0.0,0.0,300,25.03857655207316,3.466226804437855,300,0.0,0.0,300,0.0,0.0,300,19.993333333333332,0.115470053837925,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,19.993333333333332,0.115470053837925,300,0.02,0.3464101615137755,300,0.0011111111111111111,0.019245008972987525,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.0033333333333333335,0.05773502691896258
stage19_protocol_ablation_medium50,horizon_threshold_only,full_bars,300,0.06,0.23788364542889828,300,0.06,0.23788364542889828,300,591.8833333333333,119.76673142157178,300,35.906666666666666,70.26846242514635,300,0.5066666666666667,0.5007909017876286,300,4.451826667288939,5.8886168260769045,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.5066666666666667,0.5007909017876286,300,0.5066666666666667,0.5007909017876286,300,2.25,2.4111294346222225,300,8.386666666666667,1.252618216727857,300,8.476666666666667,1.2441658723613662,300,4.963161137104034,1.5640168302424091,300,35.906666666666666,70.26846242514635,300,35.4,70.37282464247501,300,26.976666666666667,71.09621434744155,300,0.5854471611643448,0.23838975327722073,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.06,0.23788364542889828
stage19_protocol_ablation_medium50,horizon_threshold_only,reachability,300,0.05333333333333334,0.2250727616773125,300,0.05333333333333334,0.2250727616773125,300,620.54,110.94493074883091,300,40.266666666666666,81.55312335313134,300,0.38,0.48619744946494825,300,5.523877485891183,5.950638703127643,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.38,0.48619744946494825,300,0.38,0.48619744946494825,300,2.5033333333333334,2.3710888701867123,300,8.12,1.3081683178498427,300,8.216666666666667,1.2839590042667577,300,4.846059991916021,1.4996789597594427,300,40.266666666666666,81.55312335313134,300,39.88666666666666,81.6419326865687,300,30.95,82.70195207039666,300,0.5682321787620659,0.24271058849764038,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.05333333333333334,0.2250727616773125
stage19_protocol_ablation_medium50,horizon_threshold_only,shortest,300,0.03333333333333333,0.17980541941701314,300,0.03333333333333333,0.17980541941701314,300,665.5933333333334,77.12892361764784,300,23.913333333333334,38.51454777340013,300,0.20666666666666667,0.4055908059796303,300,10.678678481479485,8.522421444428511,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.20666666666666667,0.4055908059796303,300,0.20666666666666667,0.4055908059796303,300,3.203333333333333,2.0840183934977676,300,7.4366666666666665,0.967354539403853,300,7.49,1.0132401089547574,300,4.9080768211682635,1.192669076246802,300,23.913333333333334,38.51454777340013,300,23.706666666666667,38.537398187810275,300,12.23,39.436546976861365,300,0.3494078720655881,0.26777378011264685,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.03333333333333333,0.17980541941701314
stage19_protocol_ablation_medium50,original,full_bars,300,0.15666666666666668,0.36409353546046735,300,0.15666666666666668,0.36409353546046735,300,608.5466666666666,110.83680411326537,300,29.596666666666668,37.69292387956735,300,0.3466666666666667,0.47670365722489927,300,5.294957861403624,6.5098201601288395,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.3466666666666667,0.47670365722489927,300,0.3466666666666667,0.47670365722489927,300,2.3766666666666665,2.3650441153985886,300,8.386666666666667,1.252618216727857,300,8.486666666666666,1.1865278688259098,300,5.120934443473816,1.358941580633881,300,29.596666666666668,37.69292387956735,300,29.25,37.76278051167902,300,10.473333333333333,38.42382842531985,300,0.21536968871096937,0.19378429394014154,300,30.0,0.0,300,0.5,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.15666666666666668,0.36409353546046735
stage19_protocol_ablation_medium50,original,reachability,300,0.12,0.32550449652428015,300,0.12,0.32550449652428015,300,618.43,111.36642237876201,300,31.176666666666666,46.22222158351913,300,0.3233333333333333,0.46853028109529155,300,5.924039664665858,6.7250811244502176,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.3233333333333333,0.46853028109529155,300,0.3233333333333333,0.46853028109529155,300,2.546666666666667,2.5010677764300078,300,8.12,1.3081683178498427,300,8.22,1.245030254430855,300,5.09213814496994,1.4432310811046551,300,31.176666666666666,46.22222158351913,300,30.85333333333333,46.28859400910794,300,11.743333333333334,47.32634995668867,300,0.21470176259149662,0.18750959727580988,300,30.0,0.0,300,0.5,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.12,0.32550449652428015
stage19_protocol_ablation_medium50,original,shortest,300,0.06666666666666667,0.2498606077393724,300,0.06666666666666667,0.2498606077393724,300,662.7866666666666,83.00232391207429,300,26.69,23.38210804415694,300,0.15,0.35766803240530504,300,10.850886683066687,8.6368168706876,300,0.0,0.0,300,0.0,0.0,300,0.0,0.0,300,0.15,0.35766803240530504,300,0.15,0.35766803240530504,300,3.17,2.0334411580234653,300,7.4366666666666665,0.9673545394038519,300,7.503333333333333,0.9966443139441877,300,4.926442880630493,1.046804496762963,300,26.69,23.38210804415694,300,26.54,23.416579325148458,300,5.06,24.06032830186054,300,0.12808131275250717,0.15185189398689883,300,30.0,0.0,300,0.5,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.06666666666666667,0.2498606077393724
