env,seed,variant,budget,fallback_mode,episodes,success,steps,fallback_used,no_path_rate,budget_reject_rate
antmaze-medium-navigate-v0,0,gas_boundary_budget,2.0,none,50,0.0,0.0,0.0,1.0,1.0
antmaze-medium-navigate-v0,0,gas_boundary_budget,2.0,progress_stall_v2,50,0.0,0.0,0.0,1.0,1.0
antmaze-medium-navigate-v0,0,gas_boundary_budget,3.0,none,50,0.0,0.0,0.0,1.0,1.0
antmaze-medium-navigate-v0,0,gas_boundary_budget,3.0,progress_stall_v2,50,0.0,0.0,0.0,1.0,1.0
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,none,50,0.88,357.98,0.0,0.0,0.0
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,50,0.88,362.4,0.5,0.0,0.0
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,50,0.8,424.9,0.0,0.0,0.0
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,50,0.9,369.98,0.62,0.0,0.0
antmaze-medium-navigate-v0,0,gas_shortest,2.0,none,50,0.86,381.1,0.0,0.0,0.0
antmaze-medium-navigate-v0,0,gas_shortest,2.0,progress_stall_v2,50,0.86,372.32,0.54,0.0,0.0
antmaze-medium-navigate-v0,0,gas_shortest,3.0,none,50,0.84,385.72,0.0,0.0,0.0
antmaze-medium-navigate-v0,0,gas_shortest,3.0,progress_stall_v2,50,0.88,354.68,0.62,0.0,0.0
antmaze-medium-stitch-v0,0,gas_boundary_budget,2.0,none,50,0.0,0.0,0.0,1.0,1.0
antmaze-medium-stitch-v0,0,gas_boundary_budget,2.0,progress_stall_v2,50,0.0,0.0,0.0,1.0,1.0
antmaze-medium-stitch-v0,0,gas_boundary_budget,3.0,none,50,0.0,0.0,0.0,1.0,1.0
antmaze-medium-stitch-v0,0,gas_boundary_budget,3.0,progress_stall_v2,50,0.0,0.0,0.0,1.0,1.0
antmaze-medium-stitch-v0,0,gas_boundary_budget,5.0,none,3,0.0,0.0,0.0,1.0,1.0
antmaze-medium-stitch-v0,0,gas_boundary_budget,5.0,progress_stall_v2,3,0.0,0.0,0.0,1.0,1.0
antmaze-medium-stitch-v0,0,gas_boundary_budget,8.0,none,3,1.0,252.0,0.0,0.0,0.0
antmaze-medium-stitch-v0,0,gas_boundary_budget,8.0,progress_stall_v2,3,1.0,211.66666666666666,0.3333333333333333,0.0,0.0
antmaze-medium-stitch-v0,0,gas_reachability_budget,2.0,none,50,0.82,375.4,0.0,0.0,0.0
antmaze-medium-stitch-v0,0,gas_reachability_budget,2.0,progress_stall_v2,50,0.9,321.26,0.26,0.0,0.0
antmaze-medium-stitch-v0,0,gas_reachability_budget,3.0,none,50,0.92,321.3,0.0,0.0,0.0
antmaze-medium-stitch-v0,0,gas_reachability_budget,3.0,progress_stall_v2,50,0.94,300.62,0.52,0.0,0.0
antmaze-medium-stitch-v0,0,gas_reachability_budget,5.0,none,50,0.88,333.48,0.0,0.0,0.0
antmaze-medium-stitch-v0,0,gas_reachability_budget,5.0,progress_stall_v2,50,0.9,318.86,0.4,0.0,0.0
antmaze-medium-stitch-v0,0,gas_reachability_budget,8.0,none,50,0.9,329.74,0.0,0.0,0.0
antmaze-medium-stitch-v0,0,gas_reachability_budget,8.0,progress_stall_v2,50,0.88,333.12,0.36,0.0,0.0
antmaze-medium-stitch-v0,0,gas_shortest,2.0,none,50,0.9,322.52,0.0,0.0,0.0
antmaze-medium-stitch-v0,0,gas_shortest,2.0,progress_stall_v2,50,0.88,339.32,0.46,0.0,0.0
antmaze-medium-stitch-v0,0,gas_shortest,3.0,none,50,0.92,321.36,0.0,0.0,0.0
antmaze-medium-stitch-v0,0,gas_shortest,3.0,progress_stall_v2,50,0.88,357.34,0.52,0.0,0.0
