env,seed,variant,budget,fallback_mode,task_id,episode_id,success,shortest_edges,variant_edges,edge_overlap_jaccard,edge_overlap_vs_shortest,avoided_edges,new_edges,avoided_edge_ids,new_edge_ids
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,0,1,15,16,0.8235294117647058,0.9333333333333333,1,2,5308,4920|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,1,1,15,15,0.15384615384615385,0.26666666666666666,11,11,339|474|481|788|1910|2035|2459|2992|3082|5283|5301,697|999|1693|1913|2281|2952|3063|4690|4984|5285|5298
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,2,1,10,11,0.75,0.9,1,2,5290,4746|5293
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,3,0,15,18,0.5714285714285714,0.8,3,6,1122|1497|5285,818|1118|1349|1827|2152|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,4,1,12,13,0.5625,0.75,3,4,682|2340|5280,679|1287|1681|5282
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,5,1,16,17,0.5714285714285714,0.75,4,5,2708|3281|5289|5302,1969|2210|3129|5288|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,6,1,15,17,0.6,0.8,3,5,2459|5283|5300,873|2451|5261|5295|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,7,1,7,8,0.15384615384615385,0.2857142857142857,5,6,1006|1438|2066|2270|5299,474|1024|1436|2094|3053|5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,8,0,14,17,0.14814814814814814,0.2857142857142857,10,13,97|117|1057|1122|1497|1840|1932|3749|5285|5298,109|557|1332|1438|1725|1964|2152|3247|3879|3985|4883|5290|5299
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,9,1,12,13,0.47058823529411764,0.6666666666666666,4,5,1266|1410|2934|5296,22|1256|2252|4800|5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,10,1,15,16,0.34782608695652173,0.5333333333333333,7,8,714|1234|1260|1419|1619|2933|5307,39|368|803|1425|2167|4029|4920|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,11,1,14,15,0.20833333333333334,0.35714285714285715,9,10,339|474|788|1910|2458|2992|3082|4571|5293,699|975|999|1913|2300|3063|4295|4690|4984|5291
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,12,0,9,9,0.5,0.6666666666666666,3,3,474|3053|5305,3063|4696|5306
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,13,1,14,17,0.24,0.42857142857142855,8,11,97|117|1057|1122|1497|1840|3749|5286,109|818|1332|1725|2152|2468|3241|3705|3879|4779|5290
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,14,1,12,13,0.47058823529411764,0.6666666666666666,4,5,1050|1142|3824|5281,679|698|1287|1681|5283
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,15,1,15,17,0.28,0.4666666666666667,8,10,714|1234|1260|1419|1619|2933|4215|5307,2|39|368|803|1425|2167|4029|4212|4920|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,16,1,15,16,0.2916666666666667,0.4666666666666667,8,9,474|481|788|2035|2459|3082|5282|5302,873|999|2281|2451|3063|4690|4984|5284|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,17,1,9,10,0.5833333333333334,0.7777777777777778,2,3,466|5297,474|3079|5298
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,18,1,14,17,0.4090909090909091,0.6428571428571429,5,8,1122|1497|1932|5285|5298,818|1118|1443|1964|2152|3879|5290|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,19,1,12,13,0.5625,0.75,3,4,1266|1410|2934,22|1256|2252|4792
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,20,1,15,16,0.8235294117647058,0.9333333333333333,1,2,5308,4920|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,21,1,15,16,0.2916666666666667,0.4666666666666667,8,9,474|481|788|2035|2459|3082|5282|5300,873|999|2281|2451|3063|4690|4984|5285|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,22,1,9,9,0.058823529411764705,0.1111111111111111,8,8,474|1006|1438|1444|1782|2066|2270|5306,1024|1786|2094|2490|3063|3065|4696|5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,23,0,14,17,0.631578947368421,0.8571428571428571,2,5,5285|5298,1349|1443|1827|5284|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,24,1,13,13,0.4444444444444444,0.6153846153846154,5,5,1050|1142|1593|3824|5286,679|698|1287|1681|5282
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,25,1,14,16,0.07142857142857142,0.14285714285714285,12,14,110|605|714|1234|1260|1326|1419|1607|2933|4600|5073|5300,39|368|570|803|1425|1868|2167|2506|2563|2719|3318|4029|4918|5303
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,26,1,16,16,0.28,0.4375,9,9,474|481|788|2035|2462|2952|3082|5283|5299,873|999|2281|2451|3063|4690|4984|5285|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,27,1,9,9,0.125,0.2222222222222222,7,7,474|1006|1438|1444|1782|2066|2270,1024|1786|2094|2490|3063|3065|4696
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,28,1,15,17,0.28,0.4666666666666667,8,10,97|117|1057|1122|1497|1840|3749|5286,109|557|1332|1725|2152|3247|3879|3985|4883|5290
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,29,1,12,12,0.2,0.3333333333333333,8,8,682|2340|2707|3581|4384|5187|5280|5306,404|679|1287|1681|3664|4369|5282|5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,30,1,15,16,0.24,0.4,9,10,714|1234|1260|1419|1619|2933|4215|5291|5308,14|408|2167|2232|2650|4381|4796|4918|5294|5303
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,31,1,15,16,0.24,0.4,9,10,474|481|788|2035|2308|2335|3082|5282|5308,306|975|999|1894|2300|2741|3063|4690|5285|5309
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,32,1,10,11,0.75,0.9,1,2,5290,1252|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,33,1,15,18,0.5714285714285714,0.8,3,6,1122|1497|5286,818|1118|1831|2152|3879|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,34,1,12,13,0.6666666666666666,0.8333333333333334,2,3,5281|5303,1593|5287|5304
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,35,1,15,17,0.391304347826087,0.6,6,8,2210|3129|3587|5190|5286|5308,14|408|2232|4796|4918|5279|5295|5302
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,36,1,16,16,0.28,0.4375,9,9,474|481|788|2035|2462|2952|3082|5283|5298,873|999|2281|2451|3063|4690|4984|5285|5297
