env,seed,edge_type,edges,success_rate,set_state_rate
antmaze-giant-navigate-v0,0,aggressive_tdr_bridge,40,0.25,1.0
antmaze-giant-navigate-v0,0,bottleneck_bridge,40,0.025,1.0
antmaze-giant-navigate-v0,0,gas_cross,40,0.15,1.0
antmaze-giant-navigate-v0,0,safe_local,30,0.9666666666666667,1.0
antmaze-giant-stitch-v0,0,aggressive_tdr_bridge,40,0.575,1.0
antmaze-giant-stitch-v0,0,bottleneck_bridge,40,0.275,1.0
antmaze-giant-stitch-v0,0,gas_cross,40,0.225,1.0
antmaze-giant-stitch-v0,0,safe_local,30,1.0,1.0
antmaze-large-explore-v0,0,aggressive_tdr_bridge,160,0.54375,1.0
antmaze-large-explore-v0,0,bottleneck_bridge,160,0.5625,1.0
antmaze-large-explore-v0,0,gas_cross,34,0.5,1.0
antmaze-large-explore-v0,0,safe_local,120,0.9916666666666668,1.0
