env,run_episodes,task_id,variant,gas_n,gas_success_rate,variant_n,variant_success_rate,delta_success_rate,delta_mean_steps
antmaze-giant-navigate-v0,5,1,lowcond_factor_only_nearestgoal,5,0.2,5,0.0,-0.2,1.0
antmaze-giant-navigate-v0,5,1,lowcond_full_localres,5,0.2,5,0.0,-0.2,1.0
antmaze-giant-navigate-v0,5,1,lowcond_full_nearestgoal,5,0.2,5,0.0,-0.2,1.0
antmaze-giant-navigate-v0,5,1,lowcond_full_nomask_nearestgoal,5,0.2,5,0.0,-0.2,1.0
antmaze-giant-navigate-v0,5,1,lowcond_full_rawdist_nearestgoal,5,0.2,5,0.0,-0.2,1.0
antmaze-giant-navigate-v0,5,1,lowcond_full_trajend,5,0.2,5,0.0,-0.2,1.0
antmaze-giant-navigate-v0,5,1,lowcond_tdr_only_local,5,0.2,5,0.0,-0.2,1.0
antmaze-giant-navigate-v0,5,2,lowcond_factor_only_nearestgoal,5,1.0,5,0.0,-1.0,262.4
antmaze-giant-navigate-v0,5,2,lowcond_full_localres,5,1.0,5,0.0,-1.0,262.4
antmaze-giant-navigate-v0,5,2,lowcond_full_nearestgoal,5,1.0,5,0.0,-1.0,262.4
antmaze-giant-navigate-v0,5,2,lowcond_full_nomask_nearestgoal,5,1.0,5,0.0,-1.0,262.4
antmaze-giant-navigate-v0,5,2,lowcond_full_rawdist_nearestgoal,5,1.0,5,0.0,-1.0,262.4
antmaze-giant-navigate-v0,5,2,lowcond_full_trajend,5,1.0,5,0.0,-1.0,262.4
antmaze-giant-navigate-v0,5,2,lowcond_tdr_only_local,5,1.0,5,0.0,-1.0,262.4
antmaze-giant-navigate-v0,5,3,lowcond_factor_only_nearestgoal,5,0.2,5,0.0,-0.2,54.60000000000002
antmaze-giant-navigate-v0,5,3,lowcond_full_localres,5,0.2,5,0.0,-0.2,54.60000000000002
antmaze-giant-navigate-v0,5,3,lowcond_full_nearestgoal,5,0.2,5,0.0,-0.2,54.60000000000002
antmaze-giant-navigate-v0,5,3,lowcond_full_nomask_nearestgoal,5,0.2,5,0.0,-0.2,54.60000000000002
antmaze-giant-navigate-v0,5,3,lowcond_full_rawdist_nearestgoal,5,0.2,5,0.0,-0.2,54.60000000000002
antmaze-giant-navigate-v0,5,3,lowcond_full_trajend,5,0.2,5,0.0,-0.2,54.60000000000002
antmaze-giant-navigate-v0,5,3,lowcond_tdr_only_local,5,0.2,5,0.0,-0.2,54.60000000000002
antmaze-giant-navigate-v0,5,4,lowcond_factor_only_nearestgoal,5,0.8,5,0.0,-0.8,175.0
antmaze-giant-navigate-v0,5,4,lowcond_full_localres,5,0.8,5,0.0,-0.8,175.0
