env_name,env_family,dataset_type,observation_type,episodes,path_update_failure_corr,cached_path_miss_failure_corr,active_path_trace_failure_corr,mean_path_update_success,mean_path_update_failure,mean_cached_path_miss_success,mean_cached_path_miss_failure
antmaze-giant-navigate-v0,antmaze,ogbench,state,750,-0.028026560380022873,0.3778127194427338,-0.028026560380022873,109.15541601255887,106.77876106194691,0.0031397174254317113,106.72566371681415
antmaze-giant-stitch-v0,antmaze,ogbench,state,750,-0.053703957429609005,0.4011079340576807,-0.053703957429609005,131.2282768777614,123.88732394366197,0.0,110.07042253521126
antmaze-large-explore-v0,antmaze,ogbench,state,750,0.31100968012449137,0.22699071967573672,0.31100968012449137,70.87096774193549,102.13513513513513,0.0,0.05405405405405406
antmaze-large-navigate-v0,antmaze,ogbench,state,750,-0.19013775900112548,0.5558316313579375,-0.19013775900112548,66.04456824512535,48.25,0.0,240.5
antmaze-large-stitch-v0,antmaze,ogbench,state,750,-0.274882909159489,0.5630730372900834,-0.274882909159489,76.70308123249299,48.833333333333336,0.0,280.69444444444446
antmaze-medium-explore-v0,antmaze,ogbench,state,750,0.38863844274988496,nan,0.38863844274988496,40.15384615384615,87.22727272727273,0.0,0.0
antmaze-medium-navigate-v0,antmaze,ogbench,state,750,-0.04173805592102232,0.32117688937249556,-0.04173805592102232,38.015047879616965,34.94736842105263,0.0,99.36842105263158
antmaze-medium-stitch-v0,antmaze,ogbench,state,750,-0.026812058390151734,0.4115010055217259,-0.026812058390151734,42.24301675977654,40.294117647058826,0.0,155.5
antmaze-teleport-explore-v0,antmaze,ogbench,state,750,0.30508429934971554,nan,0.30508429934971554,18.91111111111111,31.683333333333334,0.0,0.0
antmaze-teleport-navigate-v0,antmaze,ogbench,state,750,0.34242315552542474,0.08033880980311793,0.34242315552542474,25.93771626297578,66.86117136659436,0.006920415224913495,11.86767895878525
antmaze-teleport-stitch-v0,antmaze,ogbench,state,750,0.3758411987790414,0.14047002621711294,0.3758411987790414,40.76571428571429,70.835,0.0,23.95
humanoidmaze-large-navigate-v0,humanoidmaze,ogbench,state,750,0.2357681962684281,0.04713964354979113,0.2357681962684281,96.80132450331126,122.87145242070117,0.7880794701986755,19.926544240400666
