cluster,count,density,crossing,betweenness,removal_impact,normalized_crossing,normalized_betweenness,normalized_removal_impact,normalized_density,bottleneck_score
0,507.0,0.002535,336.0,0.00036021233837203097,0.0,0.12004287245444802,0.004533588618274741,0.0,0.128386933400861,0.08606038105246447
1,924.0,0.00462,640.0,0.0008853134763216653,0.0,0.2286530903894248,0.011142447585212392,0.0,0.23398328690807801,0.1696005519022138
2,465.0,0.002325,430.0,0.0020958978743476314,0.0,0.15362629510539477,0.026378715374249465,0.0,0.1177513294504938,0.1446796116444961
3,468.0,0.00234,415.0,0.006452968419353737,7.303227452479945e-05,0.14826723829939265,0.08121627457928296,0.007534324708448021,0.1185110154469486,0.20146453295303907
4,484.0,0.00242,442.0,0.01521707004855781,0.00013432499604578696,0.1579135405501965,0.1915201902506174,0.013857546451278823,0.12256267409470752,0.3265224750236805
5,568.0,0.00284,479.0,0.00476163679348472,2.720174091141511e-05,0.1711325473383351,0.05992938073377424,0.002806249017919917,0.1438338819954419,0.1907180124913967
6,1086.0,0.00543,799.0,0.002431342224642454,0.0,0.2854590925330475,0.03060057711123003,0.0,0.27500633071663716,0.23355777042928644
7,1689.0,0.008445,1302.0,0.0018986714200945381,2.7108049496105987e-05,0.46516613076098606,0.023896447242442647,0.0027965834070660025,0.42770321600405165,0.3635481966092793
8,1417.0,0.007085,1360.0,0.008676762904655695,2.3041474654373272e-05,0.4858878170775277,0.10920468112168889,0.0023770579916496185,0.35882501899214997,0.4898220504932213
9,1502.0,0.00751,1456.0,0.01606583025725625,2.7015001271290976e-05,0.5201857806359415,0.20220258286157114,0.002786984150520009,0.38034945555836924,0.6110705109805218
10,2402.0,0.01201,1417.0,0.03994612169185573,0.0001676371470774761,0.5062522329403358,0.502757022329906,0.017294171754854454,0.6082552544948089,0.8438268506766538
11,1624.0,0.00812,1370.0,0.006639935848390568,3.80952380952254e-05,0.4894605216148625,0.08356942386922767,0.003930069212860179,0.4112433527475311,0.45358700887269104
12,1268.0,0.00634,994.0,0.00114215552480626,0.0,0.3551268310110754,0.014375030325067092,0.0,0.3210939478348949,0.273173676985674
13,457.0,0.002285,277.0,8.025823097483696e-05,0.0,0.09896391568417291,0.0010101203199058386,0.0,0.11572550012661435,0.06525638596609445
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,24.0,0.00012,16.0,0.0,0.0,0.0057163272597356195,0.0,0.0,0.00607748797163839,0.0038930808682441026
18,1063.0,0.005315,445.0,0.0016333232578934775,0.00228310502283105,0.15898535191139693,0.020556807591364402,0.23553496994889056,0.2691820714104837,0.33432250802850677
19,737.0,0.003685,451.0,0.0,0.0,0.16112897463379777,0.0,0.0,0.18662952646239556,0.10514011669507911
20,179.0,0.000895,145.0,0.00022148893928807244,0.0,0.05180421579135405,0.0027876328133798253,0.0,0.045327931121802986,0.040993469268192986
21,390.0,0.00195,322.0,0.006200522584649321,0.00015836526181350893,0.11504108610217935,0.07803902205062367,0.01633764404580054,0.09875917953912383,0.17978999833686643
22,87.0,0.000435,73.0,0.005753314609421215,9.808908900800434e-05,0.026080743122543767,0.07241051694261191,0.010119293856734686,0.022030893897189163,0.10200128575273362
23,62.0,0.00031,62.0,0.001300564888306598,0.0,0.022150768131475526,0.016368751280431904,0.0,0.01570017726006584,0.033809466233887676
24,57.0,0.000285,57.0,0.0026747984059722466,0.0,0.020364415862808145,0.03366468695742146,0.0,0.014434033932641175,0.04969889264043725
25,468.0,0.00234,174.0,0.007310760852951489,0.0,0.06216505894962487,0.09201234567272919,0.0,0.1185110154469486,0.11862409998826948
26,1724.0,0.00862,988.0,0.03335767179306597,0.0027933132309520842,0.3529832082886745,0.41983559435156387,0.2881702511846403,0.4365662192960243,0.9300191880360714
27,2027.0,0.010135,1608.0,0.03996563233173374,0.00017751798514047297,0.5744908896034298,0.5030025808670899,0.01831352166340662,0.513294504937959,0.9418186406525387
28,453.0,0.002265,401.0,0.04617816141640354,0.00047731866985668104,0.14326545194712398,0.5811927152646259,0.04924225448960315,0.11471258546467461,0.7392866460619506
29,221.0,0.001105,217.0,0.012471020262820265,0.0,0.07752768846016435,0.15695874210561356,0.0,0.055963535072170174,0.21769737004412684
30,835.0,0.004175,276.0,0.015973164816453802,0.0,0.09860664523043944,0.20103630690992536,0.0,0.21144593567991898,0.2362091714363891
31,913.0,0.004565,644.0,0.013410037710738858,8.791352664093389e-05,0.2300821722043587,0.16877710133640797,0.00906953891669733,0.23119777158774374,0.33856948098114087
32,2999.0,0.014995,1370.0,0.052821423708732405,0.003997602843371261,0.4894605216148625,0.6648040053521129,0.41240996632449967,0.7594327677893138,1.338844662954681
33,833.0,0.004165,643.0,0.008949394276203334,7.491554974391406e-05,0.2297249017506252,0.11263598635853632,0.007728611509845188,0.21093947834894913,0.28680765611432196
34,62.0,0.00031,56.0,0.0,0.0,0.02000714540907467,0.0,0.0,0.01570017726006584,0.01529709223105492
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3.0,1.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0007596859964547987,-0.0002279057989364396
38,492.0,0.00246,304.0,0.010414976401255466,0.00025896935507916606,0.10861021793497677,0.13108162448218355,0.026716396598619668,0.12458850341858699,0.22903168799020387
39,194.0,0.00097,149.0,0.0010661276734722945,0.0,0.05323329760628796,0.013418153048077312,0.0,0.04912636110407699,0.05191354232314217
40,182.0,0.00091,135.0,0.001283215566064331,0.0,0.04823151125401929,0.01615039482377137,0.0,0.04608761711825779,0.05055562094231331
41,286.0,0.00143,252.0,0.0029455207896640187,1.6363933889704747e-05,0.09003215434083602,0.03707196590562232,0.001688174060507271,0.07242339832869081,0.10706527480835838
42,3.0,1.5e-05,3.0,0.0002757623993453621,0.0,0.0010718113612004287,0.003470711971362444,0.0,0.0007596859964547987,0.004314617533626433
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4.0,2e-05,2.0,0.0,0.0,0.0007145409074669524,0.0,0.0,0.0010129146619397317,0.0004106665088850329
46,1323.0,0.006615,986.0,0.008318484642944312,1.046134532900836e-05,0.3522686673812076,0.10469543455670197,0.0010792375440695124,0.33502152443656624,0.35753688215100926
47,2485.0,0.012425,1342.0,0.04492271959772199,0.0005610852938005468,0.47945694891032514,0.5653918774426787,0.057883981022565395,0.6292732337300583,0.9139508372565517
48,6.0,3e-05,6.0,0.0,0.0,0.0021436227224008574,0.0,0.0,0.0015193719929095975,0.0016878111245279782
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,4.0,2e-05,4.0,0.0,0.0,0.0014290818149339049,0.0,0.0,0.0010129146619397317,0.0011252074163519855
52,1119.0,0.005595,812.0,0.009168275078395837,0.004657119773116995,0.2901036084315827,0.11539079347609235,0.4804485798245591,0.28336287667763993,0.8009341187289422
53,2003.0,0.010015,1459.0,0.021096892098072598,0.0002674269839835311,0.5212575919971418,0.265522914426128,0.027588922106604543,0.5072170169663206,0.6622043234399781
54,893.0,0.004465,751.0,0.029732037562635972,0.0003567572694160119,0.26831011075384065,0.3742038035156589,0.03680461997615549,0.2261331982780451,0.6114785747622415
55,722.0,0.00361,651.0,0.01042215646973793,0.0,0.23258306538049303,0.13117199194959914,0.0,0.18283109648012155,0.3089057283860557
56,724.0,0.00362,651.0,0.015241463527992534,7.002144933439302e-05,0.23258306538049303,0.19182720361175098,0.007223714984562262,0.18333755381109143,0.37663271783347885
57,747.0,0.003735,684.0,0.013342268342222822,0.00012524097868923934,0.24437299035369775,0.16792416431831325,0.012920400006549558,0.1891618131172449,0.36846901074338706
58,1384.0,0.00692,1074.0,0.007723883151794198,8.783321941213607e-05,0.3837084673097535,0.09721185260925845,0.00906125407630128,0.35046847303114714,0.3848410320859691
59,1721.0,0.008605,580.0,0.00017885077935421285,0.0,0.2072168631654162,0.0022509941256159496,0.0,0.43580653329956953,0.07872589730116131
60,193.0,0.000965,156.0,0.007434132976881425,7.159221076745323e-05,0.055734190782422297,0.09356509219826177,0.00738576151471879,0.04887313243859205,0.14202310476382524
61,249.0,0.001245,214.0,0.005762856810065447,0.006984447004608283,0.07645587709896391,0.07253061391771694,0.7205457037189335,0.0630539377057483,0.8506160134238898
62,1.0,5e-06,1.0,0.0,0.0,0.0003572704537334762,0.0,0.0,0.00025322866548493293,0.00028130185408799637
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1372.0,0.00686,1102.0,0.0301992566644615,0.00018070908466651786,0.39371204001429083,0.38008416622574764,0.018642729265971877,0.34742972904532793,0.688210016792412
67,2758.0,0.01379,1229.0,0.04247548863642019,0.0035941643265803075,0.4390853876384423,0.5345913266270411,0.37078950735378063,0.698404659407445,1.1349448237970305
68,3.0,1.5e-05,3.0,0.0,0.0,0.0010718113612004287,0.0,0.0,0.0007596859964547987,0.0008439055622639891
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,59.0,0.000295,47.0,2.4598241835745144e-06,0.0,0.01679171132547338,3.095904757735603e-05,0.0,0.014940491263611043,0.012340522993967425
73,137.0,0.000685,123.0,7.468516420027631e-05,0.0,0.04394426580921758,0.0009399783802592895,0.0,0.034692327171435805,0.034476546038046126
74,213.0,0.001065,203.0,0.0007430862271591097,0.0,0.07252590210789568,0.009352392749983701,0.0,0.05393770574829071,0.06569698313339217
75,213.0,0.001065,206.0,0.006204631421768724,0.0,0.0735977134690961,0.07809073537416793,0.0,0.05393770574829071,0.13550713711877682
76,188.0,0.00094,179.0,0.002736270131291518,0.0,0.06395141121829225,0.03443836260527039,0.0,0.04760698911116738,0.08410767709021241
