cluster,count,density
0,507,0.002535
1,924,0.00462
2,465,0.002325
3,468,0.00234
4,484,0.00242
5,568,0.00284
6,1086,0.00543
7,1689,0.008445
8,1417,0.007085
9,1502,0.00751
10,2402,0.01201
11,1624,0.00812
12,1268,0.00634
13,457,0.002285
14,0,0.0
15,0,0.0
16,0,0.0
17,24,0.00012
18,1063,0.005315
19,737,0.003685
20,179,0.000895
21,390,0.00195
22,87,0.000435
23,62,0.00031
24,57,0.000285
25,468,0.00234
26,1724,0.00862
27,2027,0.010135
28,453,0.002265
29,221,0.001105
30,835,0.004175
31,913,0.004565
32,2999,0.014995
33,833,0.004165
34,62,0.00031
35,0,0.0
36,0,0.0
37,3,1.5e-05
38,492,0.00246
39,194,0.00097
40,182,0.00091
41,286,0.00143
42,3,1.5e-05
43,0,0.0
44,0,0.0
45,4,2e-05
46,1323,0.006615
47,2485,0.012425
48,6,3e-05
49,0,0.0
50,0,0.0
51,4,2e-05
52,1119,0.005595
53,2003,0.010015
54,893,0.004465
55,722,0.00361
56,724,0.00362
57,747,0.003735
58,1384,0.00692
59,1721,0.008605
60,193,0.000965
61,249,0.001245
62,1,5e-06
63,0,0.0
64,0,0.0
65,0,0.0
66,1372,0.00686
67,2758,0.01379
68,3,1.5e-05
69,0,0.0
70,0,0.0
71,0,0.0
72,59,0.000295
73,137,0.000685
74,213,0.001065
75,213,0.001065
76,188,0.00094
77,146,0.00073
78,165,0.000825
79,85,0.000425
80,251,0.001255
81,1008,0.00504
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,1354,0.00677
87,1384,0.00692
88,7,3.5e-05
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
100,264,0.00132
101,862,0.00431
102,22,0.00011
103,0,0.0
104,0,0.0
105,18,9e-05
106,1400,0.007
107,1465,0.007325
108,1,5e-06
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,0,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
119,0,0.0
120,329,0.001645
121,1012,0.00506
122,493,0.002465
123,449,0.002245
124,537,0.002685
125,1536,0.00768
126,2068,0.01034
127,3095,0.015475
128,2,1e-05
129,0,0.0
130,0,0.0
131,0,0.0
132,515,0.002575
133,805,0.004025
134,356,0.00178
135,423,0.002115
136,1143,0.005715
137,515,0.002575
138,1296,0.00648
139,548,0.00274
140,132,0.00066
141,410,0.00205
142,309,0.001545
143,302,0.00151
144,457,0.002285
145,1527,0.007635
146,3949,0.019745
147,2269,0.011345
148,9,4.5e-05
149,0,0.0
150,0,0.0
151,0,0.0
152,191,0.000955
153,424,0.00212
154,197,0.000985
155,171,0.000855
156,183,0.000915
157,475,0.002375
158,1243,0.006215
159,816,0.00408
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,22,0.00011
166,2007,0.010035
167,3168,0.01584
168,7,3.5e-05
169,0,0.0
170,0,0.0
171,0,0.0
172,0,0.0
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,31,0.000155
178,1330,0.00665
179,1041,0.005205
180,0,0.0
181,0,0.0
182,0,0.0
183,0,0.0
184,0,0.0
185,1,5e-06
186,1731,0.008655
187,2736,0.01368
188,40,0.0002
189,0,0.0
190,0,0.0
191,0,0.0
192,0,0.0
193,0,0.0
194,0,0.0
195,0,0.0
196,0,0.0
197,4,2e-05
198,1104,0.00552
199,430,0.00215
200,118,0.00059
201,323,0.001615
202,1494,0.00747
203,667,0.003335
204,917,0.004585
205,915,0.004575
206,2406,0.01203
207,3517,0.017585
208,1547,0.007735
209,1309,0.006545
210,1262,0.00631
211,1367,0.006835
212,1381,0.006905
213,1123,0.005615
214,663,0.003315
215,705,0.003525
216,859,0.004295
217,1001,0.005005
218,1919,0.009595
219,639,0.003195
220,600,0.003
221,2243,0.011215
222,1281,0.006405
223,1050,0.00525
224,989,0.004945
225,962,0.00481
226,1117,0.005585
227,1561,0.007805
228,1281,0.006405
229,1241,0.006205
230,1302,0.00651
231,2645,0.013225
232,2608,0.01304
233,2081,0.010405
234,1939,0.009695
235,834,0.00417
236,967,0.004835
237,685,0.003425
238,897,0.004485
239,692,0.00346
240,764,0.00382
241,2188,0.01094
242,3,1.5e-05
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,0,0.0
248,0,0.0
249,0,0.0
250,0,0.0
251,45,0.000225
252,1348,0.00674
253,921,0.004605
254,5,2.5e-05
255,0,0.0
256,0,0.0
257,0,0.0
258,0,0.0
259,0,0.0
260,803,0.004015
261,1179,0.005895
262,14,7e-05
263,0,0.0
264,0,0.0
265,0,0.0
266,0,0.0
267,0,0.0
268,0,0.0
269,0,0.0
270,0,0.0
271,0,0.0
272,919,0.004595
273,1132,0.00566
274,18,9e-05
275,0,0.0
276,0,0.0
277,0,0.0
278,0,0.0
279,0,0.0
280,1022,0.00511
281,1543,0.007715
282,404,0.00202
283,320,0.0016
284,340,0.0017
285,305,0.001525
286,1118,0.00559
