cluster,density,bottleneck_score
0,0.002535,0.08442713386539324
1,0.00462,0.19036032512611617
2,0.002325,0.14757671681557966
3,0.00234,0.13762137917755596
4,0.00242,0.1811203695342631
5,0.00284,0.19831720187250024
6,0.00543,0.4820236155534637
7,0.008445,0.6075010558288086
8,0.007085,0.6491209844196852
9,0.00751,0.7113110204935202
10,0.01201,0.6110653820267153
11,0.00812,0.6697468813720935
12,0.00634,0.5438007137420209
13,0.002285,0.09682295763326804
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.00012,0.0038930808682441026
18,0.005315,0.15258261348833496
19,0.003685,0.1348569619305195
20,0.000895,0.049139645440329095
21,0.00195,0.13963355829274499
22,0.000435,0.04782989324110607
23,0.00031,0.03628506818975073
24,0.000285,0.0314106221542136
25,0.00234,0.05875618470233237
26,0.00862,0.8028251072325053
27,0.010135,1.1100340944200047
28,0.002265,0.40144497518351335
29,0.001105,0.10995068204123012
30,0.004175,0.2604315396057562
31,0.004565,0.4384630057707476
32,0.014995,0.9254782336056778
33,0.004165,0.2707392624211988
34,0.00031,0.02998184562054281
35,0.0,0.0
36,0.0,0.0
37,1.5e-05,-0.0002279057989364396
38,0.00246,0.43855045792211644
39,0.00097,0.038495389275064865
40,0.00091,0.04646922897983252
41,0.00143,0.11643158875731267
42,1.5e-05,0.002617397636406628
43,0.0,0.0
44,0.0,0.0
45,2e-05,0.0004106665088850329
46,0.006615,0.8263642546237713
47,0.012425,1.440891968456917
48,3e-05,0.008999210831615458
49,0.0,0.0
50,0.0,0.0
51,2e-05,0.0011903740815303056
52,0.005595,0.31238748097265584
53,0.010015,0.9117754400186653
54,0.004465,0.589395895588233
55,0.00361,0.25907743270658734
56,0.00362,0.2236251997221528
57,0.003735,0.20364292149073082
58,0.00692,0.28713256023889683
59,0.008605,0.07833540991505827
60,0.000965,0.056914390037891394
61,0.001245,0.24795657790259815
62,5e-06,0.0005439047617435945
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.00686,1.0900709929783108
67,0.01379,1.0982020401328467
68,1.5e-05,0.0010621047174789362
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.000295,0.014228589438188766
73,0.000685,0.05289537092234698
74,0.001065,0.07888189103285653
75,0.001065,0.06319173997707933
76,0.00094,0.053050152497095916
77,0.00073,0.040455238437136526
78,0.000825,0.04031138535937951
79,0.000425,0.018793363417738115
80,0.001255,0.06382107075849991
81,0.00504,0.05227762084471177
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.00677,0.9088513104346021
87,0.00692,0.7407702722037123
88,3.5e-05,0.0028220595512515037
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.00132,0.12475696961071364
101,0.00431,0.11008611781386925
102,0.00011,0.010688116930198197
103,0.0,0.0
104,0.0,0.0
105,9e-05,0.006464870274851005
106,0.007,0.5747579194631387
107,0.007325,0.9263627112526216
108,5e-06,0.0005017283353916214
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.001645,0.1365814190118304
121,0.00506,0.6738218591662143
122,0.002465,0.2690627911465289
123,0.002245,0.20106862592224567
124,0.002685,0.5641594891597473
125,0.00768,0.28362519960048027
126,0.01034,1.402090248309493
127,0.015475,0.9949500717860732
128,1e-05,0.0005626037081759927
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.002575,0.10595023520753435
133,0.004025,0.1665532034567288
134,0.00178,0.09324261569808767
135,0.002115,0.10153598056840797
136,0.005715,0.07198896823818003
137,0.002575,0.12835015392992127
138,0.00648,0.12382163299957345
139,0.00274,0.12486678810414378
140,0.00066,0.03818212956084313
141,0.00205,0.16329884186014149
142,0.001545,0.12258294963328634
143,0.00151,0.12639089388805388
144,0.002285,0.1182448871511613
145,0.007635,0.3829260161313475
146,0.019745,1.511399519511918
147,0.011345,1.4794113628476409
148,4.5e-05,0.005912613579441524
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.000955,0.04662555899536003
153,0.00212,0.1015351105897524
154,0.000985,0.05438517036088504
155,0.000855,0.04805680799953001
156,0.000915,0.05275647250912209
157,0.002375,0.18390882199140843
158,0.006215,0.42609098567070475
159,0.00408,0.13319585683086202
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.00011,0.0027108793797455404
166,0.010035,1.8814460521463223
167,0.01584,1.5146548905667654
168,3.5e-05,0.0028678931608737395
