cluster,count,density,crossing,betweenness,removal_impact,normalized_crossing,normalized_betweenness,normalized_removal_impact,normalized_density,bottleneck_score
0,714.0,0.00357,423.0,0.0003699763159053294,0.0,0.20181297709923665,0.01197694934815041,0.0,0.20792079207920788,0.15141368882362471
1,1797.0,0.008985,979.0,0.001513367566974857,0.0,0.46708015267175573,0.04899104595503216,0.0,0.5232964472917879,0.3590822644392515
2,694.0,0.00347,593.0,0.0010842971181685367,0.0,0.28291984732824427,0.03510108918964712,0.0,0.2020966802562609,0.2573919324410131
3,1628.0,0.00814,1177.0,0.0010526815993495379,0.0,0.5615458015267175,0.03407762511578046,0.0,0.4740827023878858,0.4533986159261323
4,1812.0,0.00906,1300.0,0.0014539410169843057,0.0,0.6202290076335878,0.04706727746344502,0.0,0.5276645311589983,0.5089969257493333
5,936.0,0.00468,723.0,0.002540689596307077,0.0,0.3449427480916031,0.0822477258574817,0.0,0.2725684333139196,0.3454199439549089
6,2044.0,0.01022,1341.0,0.005339075399144187,0.0,0.6397900763358778,0.17283764628292722,0.0,0.5952242283051834,0.63406045412725
7,2006.0,0.01003,1468.0,0.006232114917654219,2.986857825566756e-05,0.700381679389313,0.20174730514289646,0.0050059737156498835,0.5841584158415841,0.731887433495384
8,934.0,0.00467,864.0,0.009613407136175131,0.0,0.4122137404580153,0.3112071918748967,0.0,0.27198602213162487,0.6418251256934244
9,2872.0,0.01436,1723.0,0.012865113259126235,5.952380952379299e-05,0.8220419847328244,0.41647209088432796,0.009976190476187705,0.8363424577751892,0.9975875287607834
10,2100.0,0.0105,1515.0,0.009298461745690245,9.102804801727475e-05,0.7228053435114504,0.30101171495621704,0.015256300847695248,0.611531741409435,0.855613836892532
11,1036.0,0.00518,837.0,0.006778242149458629,0.00011890606420923723,0.3993320610687023,0.21942664814884372,0.01992865636146816,0.3016889924286546,0.5481806678504177
12,2604.0,0.01302,1341.0,0.006233866069108769,1.986491855383062e-05,0.6397900763358778,0.20180399377773722,0.003329360349622012,0.7582993593476994,0.6174336226589273
13,1132.0,0.00566,754.0,0.0008137538654856105,0.0,0.3597328244274809,0.026343007402875672,0.0,0.3296447291788002,0.2871824130767165
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
