cluster,count,density,crossing,betweenness,removal_impact,normalized_crossing,normalized_betweenness,normalized_removal_impact,normalized_density,bottleneck_score
0,714.0,0.00357,423.0,0.0,0.0,0.20181297709923665,0.0,0.0,0.20792079207920788,0.1394367394754743
1,1797.0,0.008985,979.0,0.0011018916766374687,0.0,0.46708015267175573,0.009158649389636625,0.0,0.5232964472917879,0.319249867873856
2,694.0,0.00347,593.0,0.005515255758999595,0.0,0.28291984732824427,0.04584143329314799,0.0,0.2020966802562609,0.268132276544514
3,1628.0,0.00814,1177.0,0.009626493278206397,0.0,0.5615458015267175,0.08001301639361898,0.0,0.4740827023878858,0.4993340072039708
4,1812.0,0.00906,1300.0,0.012774740256623956,4.4952391843957624e-05,0.6202290076335878,0.10618046177745034,0.0007744922511448532,0.5276645311589983,0.5688846023144836
5,936.0,0.00468,723.0,0.008517339300936138,0.0,0.3449427480916031,0.07079400456848339,0.0,0.2725684333139196,0.3339662226659106
6,2044.0,0.01022,1341.0,0.003736066937667419,0.0,0.6397900763358778,0.03105325859500712,0.0,0.5952242283051834,0.49227606643932986
7,2006.0,0.01003,1468.0,0.0050010597988710105,0.0,0.700381679389313,0.04156756443994429,0.0,0.5841584158415841,0.566701719076782
8,934.0,0.00467,864.0,0.042358172441153134,0.0,0.4122137404580153,0.3520705876989092,0.0,0.27198602213162487,0.682688521517437
9,2872.0,0.01436,1723.0,0.039170240299240565,0.0,0.8220419847328244,0.3255732891125105,0.0,0.8363424577751892,0.8967125365127782
10,2100.0,0.0105,1515.0,0.031315201739692676,4.7120763929530165e-05,0.7228053435114504,0.2602841634803865,0.0008118514952025302,0.611531741409435,0.800441836064209
11,1036.0,0.00518,837.0,0.028860297204485297,3.0259302986572944e-05,0.3993320610687023,0.23987960793314414,0.0005213425743728296,0.3016889924286546,0.549226313847623
12,2604.0,0.01302,1341.0,0.0016398827890496868,0.0,0.6397900763358778,0.013630297626748413,0.0,0.7582993593476994,0.42593056615831637
13,1132.0,0.00566,754.0,0.0,0.0,0.3597328244274809,0.0,0.0,0.3296447291788002,0.26083940567384084
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,3.0,1.5e-05,1.0,0.0,0.0,0.00047709923664122136,0.0,0.0,0.00087361677344205,0.00021501420460860634
18,445.0,0.002225,130.0,0.0016038053676905833,0.008567931456548347,0.06202290076335878,0.013330431078959861,0.14761831905344755,0.12958648806057074,0.184095704477595
19,157.0,0.000785,77.0,0.0,0.0,0.036736641221374045,0.0,0.0,0.04571927781013395,0.023020857878333863
20,359.0,0.001795,271.0,0.0034416744332039706,0.0,0.129293893129771,0.0286063413630469,0.0,0.10454280722189865,0.1265373923262483
21,624.0,0.00312,480.0,0.012914269246668171,0.0002503400136118617,0.22900763358778625,0.10734019201827101,0.004313149817854367,0.1817122888759464,0.2861472887611277
22,129.0,0.000645,123.0,0.005515255758999595,0.0,0.05868320610687023,0.04584143329314799,0.0,0.03756552125800815,0.09325498302261577
23,287.0,0.001435,94.0,0.006064611980065957,0.0,0.04484732824427481,0.050407545484970895,0.0,0.08357600465928945,0.07018207233145887
24,138.0,0.00069,119.0,0.007132175675737299,0.0,0.05677480916030534,0.05928086923998407,0.0,0.0401863715783343,0.10399976692678911
25,257.0,0.001285,208.0,0.0187479181210669,0.00020021431450260318,0.09923664122137404,0.15582802964847087,0.003449525793617767,0.07483983692486895,0.23606224558600203
26,947.0,0.004735,758.0,0.01724960254483526,0.00010872807685210051,0.3616412213740458,0.14337440346298896,0.0018732941574309816,0.27577169481654046,0.4241574105495036
27,718.0,0.00359,551.0,0.0882620719046451,0.0009629258593689964,0.26288167938931295,0.7336123759863006,0.01659041011871167,0.2090856144437973,0.950358781161186
28,173.0,0.000865,158.0,0.042358172441153134,0.0,0.07538167938931298,0.3520705876989092,0.0,0.05037856726849155,0.41233869690767466
29,230.0,0.00115,197.0,0.039170240299240565,0.0,0.09398854961832061,0.3255732891125105,0.0,0.0669772859638905,0.39946865294166395
30,243.0,0.001215,217.0,0.04499838373152306,9.24382112118479e-05,0.10353053435114504,0.3740153668779736,0.0015926333473374626,0.07076295864880605,0.4579096469818143
31,671.0,0.003355,440.0,0.04255856611797492,6.933388248795162e-05,0.2099236641221374,0.35373621006889716,0.0011945650170319998,0.19539895165987184,0.506234753710105
32,1559.0,0.007795,920.0,0.051828167571357206,0.0003077457360160035,0.4389312977099237,0.43078283043385546,0.005302202576775727,0.45398951659871867,0.7388194757409392
33,631.0,0.003155,508.0,0.013501482978803795,0.0024242424242424242,0.24236641221374045,0.11222096642054431,0.041767676767676766,0.18375072801397785,0.34122983699776815
34,9.0,4.5e-05,6.0,0.0,0.0,0.0028625954198473282,0.0,0.0,0.0026208503203261502,0.0020763403237494833
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,17.0,8.5e-05,13.0,0.0012379475174536005,0.0,0.006202290076335878,0.01028951167843231,0.0,0.0049504950495049506,0.015006653239916701
