cluster,count,density
0,714,0.00357
1,1797,0.008985
2,694,0.00347
3,1628,0.00814
4,1812,0.00906
5,936,0.00468
6,2044,0.01022
7,2006,0.01003
8,934,0.00467
9,2872,0.01436
10,2100,0.0105
11,1036,0.00518
12,2604,0.01302
13,1132,0.00566
14,0,0.0
15,0,0.0
16,0,0.0
17,3,1.5e-05
18,445,0.002225
19,157,0.000785
20,359,0.001795
21,624,0.00312
22,129,0.000645
23,287,0.001435
24,138,0.00069
25,257,0.001285
26,947,0.004735
27,718,0.00359
28,173,0.000865
29,230,0.00115
30,243,0.001215
31,671,0.003355
32,1559,0.007795
33,631,0.003155
34,9,4.5e-05
35,0,0.0
36,0,0.0
37,17,8.5e-05
38,261,0.001305
39,131,0.000655
40,702,0.00351
41,1065,0.005325
42,5,2.5e-05
43,0,0.0
44,0,0.0
45,4,2e-05
46,2387,0.011935
47,1951,0.009755
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,1108,0.00554
53,1410,0.00705
54,616,0.00308
55,953,0.004765
56,593,0.002965
57,529,0.002645
58,841,0.004205
59,139,0.000695
60,193,0.000965
61,385,0.001925
62,4,2e-05
63,0,0.0
64,0,0.0
65,0,0.0
66,809,0.004045
67,649,0.003245
68,0,0.0
69,0,0.0
70,0,0.0
71,0,0.0
72,79,0.000395
73,134,0.00067
74,206,0.00103
75,152,0.00076
76,128,0.00064
77,41,0.000205
78,86,0.00043
79,44,0.00022
80,629,0.003145
81,893,0.004465
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,1759,0.008795
87,1422,0.00711
88,0,0.0
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
100,350,0.00175
101,591,0.002955
102,40,0.0002
103,0,0.0
104,0,0.0
105,13,6.5e-05
106,932,0.00466
107,674,0.00337
108,0,0.0
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,0,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
119,0,0.0
120,863,0.004315
121,1893,0.009465
122,610,0.00305
123,1153,0.005765
124,1372,0.00686
125,701,0.003505
126,1826,0.00913
127,1056,0.00528
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,249,0.001245
133,338,0.00169
134,221,0.001105
135,666,0.00333
136,644,0.00322
137,593,0.002965
138,395,0.001975
139,86,0.00043
140,286,0.00143
141,684,0.00342
142,137,0.000685
143,389,0.001945
144,526,0.00263
145,355,0.001775
146,1305,0.006525
147,720,0.0036
148,0,0.0
149,0,0.0
150,0,0.0
151,0,0.0
152,112,0.00056
153,54,0.00027
154,20,0.0001
155,281,0.001405
156,235,0.001175
157,832,0.00416
158,743,0.003715
159,108,0.00054
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,22,0.00011
166,1610,0.00805
167,1077,0.005385
168,0,0.0
169,0,0.0
170,0,0.0
171,0,0.0
172,0,0.0
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,121,0.000605
178,1241,0.006205
179,180,0.0009
180,0,0.0
181,0,0.0
182,0,0.0
183,0,0.0
184,0,0.0
185,123,0.000615
186,1471,0.007355
187,1073,0.005365
188,6,3e-05
189,0,0.0
190,0,0.0
191,0,0.0
192,0,0.0
193,0,0.0
194,0,0.0
195,0,0.0
196,0,0.0
197,60,0.0003
198,1378,0.00689
199,225,0.001125
200,332,0.00166
201,765,0.003825
202,340,0.0017
203,789,0.003945
204,1083,0.005415
205,558,0.00279
206,1587,0.007935
207,1560,0.0078
208,726,0.00363
209,1190,0.00595
210,1161,0.005805
211,517,0.002585
212,1484,0.00742
213,902,0.00451
214,383,0.001915
215,1297,0.006485
216,806,0.00403
217,837,0.004185
218,1713,0.008565
219,259,0.001295
220,707,0.003535
221,1564,0.00782
222,368,0.00184
223,1007,0.005035
224,1191,0.005955
225,285,0.001425
226,1165,0.005825
227,1051,0.005255
228,330,0.00165
229,1464,0.00732
230,1209,0.006045
231,524,0.00262
232,2386,0.01193
233,1742,0.00871
234,566,0.00283
235,1925,0.009625
236,1136,0.00568
237,386,0.00193
238,987,0.004935
239,273,0.001365
240,814,0.00407
241,982,0.00491
242,82,0.00041
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,0,0.0
248,0,0.0
249,0,0.0
250,0,0.0
251,102,0.00051
252,1485,0.007425
253,777,0.003885
254,0,0.0
255,0,0.0
256,0,0.0
257,0,0.0
258,0,0.0
259,0,0.0
260,993,0.004965
261,1651,0.008255
262,2,1e-05
263,0,0.0
264,0,0.0
265,0,0.0
266,0,0.0
267,0,0.0
268,0,0.0
269,0,0.0
270,0,0.0
271,78,0.00039
272,2285,0.011425
273,1276,0.00638
274,81,0.000405
275,0,0.0
276,0,0.0
277,0,0.0
278,0,0.0
279,0,0.0
280,545,0.002725
281,1029,0.005145
282,414,0.00207
283,480,0.0024
284,541,0.002705
285,335,0.001675
286,269,0.001345
287,188,0.00094
288,0,0.0
289,0,0.0
290,0,0.0
291,61,0.000305
292,1283,0.006415
293,930,0.00465
294,302,0.00151
295,308,0.00154
296,277,0.001385
297,245,0.001225
298,247,0.001235
299,26,0.00013
300,1063,0.005315
301,2018,0.01009
302,784,0.00392
303,1020,0.0051
304,1014,0.00507
305,854,0.00427
306,1731,0.008655
307,1081,0.005405
308,0,0.0
309,0,0.0
310,0,0.0
311,5,2.5e-05
312,3434,0.01717
313,2332,0.01166
314,789,0.003945
315,1465,0.007325
316,995,0.004975
317,962,0.00481
318,1305,0.006525
319,268,0.00134
320,592,0.00296
321,735,0.003675
322,6,3e-05
323,0,0.0
324,0,0.0
325,111,0.000555
326,1026,0.00513
327,232,0.00116
328,0,0.0
329,0,0.0
330,0,0.0
331,81,0.000405
332,1286,0.00643
333,497,0.002485
334,0,0.0
335,0,0.0
336,0,0.0
337,220,0.0011
338,708,0.00354
339,57,0.000285
340,1021,0.005105
341,1726,0.00863
342,9,4.5e-05
343,0,0.0
344,0,0.0
345,0,0.0
346,1088,0.00544
347,952,0.00476
348,3,1.5e-05
349,0,0.0
350,0,0.0
351,0,0.0
352,3018,0.01509
353,1136,0.00568
354,0,0.0
355,0,0.0
356,0,0.0
357,11,5.5e-05
358,1063,0.005315
359,165,0.000825
360,442,0.00221
361,1082,0.00541
362,327,0.001635
363,160,0.0008
364,173,0.000865
365,150,0.00075
366,553,0.002765
367,813,0.004065
368,510,0.00255
369,336,0.00168
370,224,0.00112
371,402,0.00201
372,1548,0.00774
373,283,0.001415
374,0,0.0
375,0,0.0
376,0,0.0
377,4,2e-05
378,354,0.00177
379,24,0.00012
380,605,0.003025
381,1086,0.00543
382,575,0.002875
383,1112,0.00556
384,1154,0.00577
385,426,0.00213
386,1270,0.00635
387,1537,0.007685
388,811,0.004055
389,2523,0.012615
390,2062,0.01031
391,849,0.004245
392,2471,0.012355
393,1122,0.00561
394,0,0.0
395,0,0.0
396,0,0.0
397,0,0.0
398,439,0.002195
399,213,0.001065
