cluster,count,density,crossing,betweenness,removal_impact,normalized_crossing,normalized_betweenness,normalized_removal_impact,normalized_density,bottleneck_score
0,716.0,0.00358,542.0,0.0004494254105182863,0.0,0.704635761589404,0.020196436813597382,0.0,0.8285371702637889,0.4762710473238647
1,698.0,0.00349,677.0,0.0015599832022401008,0.0,0.8834437086092716,0.07010307258323921,0.0,0.8069544364508393,0.711460450257259
2,370.0,0.00185,358.0,0.0010981183710765863,0.0,0.4609271523178808,0.04934762871935202,0.0,0.4136690647482014,0.38617406161277235
3,397.0,0.001985,379.0,0.0012978620815856695,0.0,0.48874172185430464,0.05832378167776612,0.0,0.4460431654676258,0.413252553891783
4,486.0,0.00243,422.0,0.0007825205437037873,0.0,0.5456953642384106,0.03516518280092302,0.0,0.5527577937649879,0.4150332089098373
5,349.0,0.001745,326.0,0.011901728866589665,0.0,0.4185430463576159,0.5348440684505217,0.0,0.3884892086330935,0.8368403522182096
6,457.0,0.002285,431.0,0.0015181022170671714,0.0,0.5576158940397351,0.06822101017434953,0.0,0.5179856115107914,0.47044122076084727
7,292.0,0.00146,289.0,0.0012701149187217444,0.0,0.3695364238410596,0.05707686993574512,0.0,0.3201438848920863,0.33057012830917887
8,407.0,0.002035,392.0,0.0033774594551267954,0.0,0.5059602649006623,0.15177745823782235,0.0,0.45803357314148674,0.5203276511960386
9,548.0,0.00274,532.0,0.0003911668992710382,0.0,0.6913907284768211,0.01757839539065602,0.0,0.6270983213429255,0.5208396274645994
10,338.0,0.00169,331.0,0.01829977324060909,2.517623363543555e-05,0.4251655629139073,0.8223616317797939,0.004559187036526147,0.3752997601918465,1.1394964536726735
11,579.0,0.002895,443.0,0.0005091248881261219,0.0,0.5735099337748344,0.022879232888525516,0.0,0.6642685851318945,0.3971085911237916
12,397.0,0.001985,318.0,0.0006302308419633262,0.0,0.40794701986754967,0.028321534741468958,0.0,0.4460431654676258,0.3024556049687309
13,272.0,0.00136,251.0,0.0010020751753576599,0.0,0.31920529801324504,0.04503160588593829,0.0,0.2961630695443645,0.275387983035874
14,319.0,0.001595,318.0,0.011742708315758603,0.0,0.40794701986754967,0.5276979471325943,0.0,0.35251798561151076,0.8298895713166907
15,366.0,0.00183,349.0,0.0014857648895863227,0.0,0.44900662251655626,0.06676782400395831,0.0,0.40887290167865703,0.3931125760169174
16,320.0,0.0016,319.0,0.010994998665914229,0.0,0.40927152317880794,0.4940971084960249,0.0,0.3537170263788969,0.7972535237611638
17,464.0,0.00232,441.0,0.0018166726827119018,0.0,0.5708609271523178,0.08163827453607345,0.0,0.526378896882494,0.4945855326236431
18,580.0,0.0029,515.0,0.0008928790138453312,0.0,0.6688741721854304,0.04012451045996351,0.0,0.6654676258992804,0.5093583948756097
19,601.0,0.003005,574.0,0.001026783066232287,0.0,0.7470198675496689,0.046141937756740165,0.0,0.6906474820143884,0.5859675607020924
20,448.0,0.00224,422.0,0.0016200097819282025,0.0,0.5456953642384106,0.07280056808623944,0.0,0.5071942446043165,0.4663376589433551
21,572.0,0.00286,550.0,0.0006412232613455031,0.0,0.7152317880794702,0.028815515941207254,0.0,0.6558752997601919,0.5472847140926198
22,173.0,0.000865,161.0,0.002380579360931906,0.0,0.2,0.10697931073227339,0.0,0.1774580335731415,0.253741900660331
23,234.0,0.00117,220.0,0.000734664179317557,0.0,0.2781456953642384,0.03301459670402126,0.0,0.25059952038369304,0.2359804359531517
24,484.0,0.00242,481.0,0.0009543726504910053,0.0,0.623841059602649,0.042887933083353744,0.0,0.5503597122302157,0.501621079016938
25,507.0,0.002535,495.0,0.0008411754856351306,0.0,0.6423841059602649,0.03780103916506467,0.0,0.5779376498800959,0.5068038501613008
26,74.0,0.00037,20.0,1.0956243073094274e-06,0.0,0.013245033112582781,4.923554960654792e-05,0.0,0.05875299760191846,-0.00433163061838621
27,558.0,0.00279,551.0,0.001405033890609194,0.0,0.7165562913907285,0.0631399060411981,0.0,0.6390887290167865,0.5879695787268907
28,632.0,0.00316,528.0,0.00033942933503086734,0.0,0.686092715231788,0.0152533945726982,0.0,0.7278177458033572,0.4830007860634792
29,297.0,0.001485,144.0,0.000384833229957411,0.0,0.17748344370860927,0.017293770736381633,0.0,0.3261390887290168,0.09693548782628587
30,143.0,0.000715,143.0,0.0017086618893810712,0.0,0.176158940397351,0.0767844476014171,0.0,0.14148681055155876,0.21049734483330046
31,669.0,0.003345,649.0,0.0012828088727280579,0.0,0.8463576158940397,0.057647315295538126,0.0,0.7721822541966427,0.6723502549305851
32,299.0,0.001495,298.0,0.0007576983012036618,0.0,0.38145695364238413,0.03404971215664538,0.0,0.328537170263789,0.3169455147198928
33,482.0,0.00241,337.0,0.00014349734260456874,0.0,0.433112582781457,0.006448533939124895,0.0,0.5479616306954436,0.2751726275119488
34,128.0,0.00064,60.0,1.611783964545156e-05,0.0,0.06622516556291391,0.0007243091341801474,0.0,0.1235011990407674,0.02989911498486384
35,733.0,0.003665,618.0,0.0006402475619153137,0.0,0.8052980132450331,0.02877166961781366,0.0,0.8489208633093525,0.5793934238700411
36,392.0,0.00196,358.0,0.0007721788831320979,0.0,0.4609271523178808,0.03470044562897956,0.0,0.4400479616306954,0.36361320945765174
37,730.0,0.00365,651.0,0.00033447906235009947,0.0,0.8490066225165563,0.015030937481783137,0.0,0.8453237410071942,0.6104404376961813
38,454.0,0.00227,417.0,0.0005576616059859125,0.0,0.5390728476821192,0.025060392948576857,0.0,0.514388489208633,0.40981669386810615
39,301.0,0.001505,296.0,0.0007005337169899616,0.0,0.37880794701986753,0.03148083001062665,0.0,0.3309352517985612,0.3110082014909258
40,385.0,0.001925,324.0,0.00046908293320428626,0.0,0.41589403973509936,0.02107981346642574,0.0,0.4316546762589928,0.30747745032382723
41,260.0,0.0013,257.0,0.003128733932612586,0.0,0.3271523178807947,0.14060014342245805,0.0,0.2817745803357314,0.38322008720253337
42,406.0,0.00203,379.0,0.0003596500741239051,0.0,0.48874172185430464,0.016162081242074137,0.0,0.4568345323741007,0.3678534433841486
43,580.0,0.0029,562.0,0.0009572454508817557,0.0,0.7311258278145696,0.04301703199545788,0.0,0.6654676258992804,0.5745025720402434
44,266.0,0.00133,196.0,0.0008165408212813275,0.0,0.24635761589403973,0.036693997973352786,0.0,0.28896882494004794,0.19636096638537814
45,413.0,0.002065,382.0,0.00040320332964112286,0.0,0.49271523178807947,0.01811929272254106,0.0,0.4652278177458033,0.37126617918687954
46,507.0,0.002535,458.0,0.0009176037277834785,0.0,0.5933774834437087,0.04123559833149752,0.0,0.5779376498800959,0.4612317868111774
47,373.0,0.001865,370.0,0.0020226326007914235,0.0,0.4768211920529801,0.09089377361172597,0.0,0.41726618705035967,0.44253510954959824
48,67.0,0.000335,63.0,0.005468141966753429,0.0,0.07019867549668875,0.2457292826232447,0.0,0.050359712230215826,0.30082004445086874
49,354.0,0.00177,339.0,0.0012748529211067867,0.0,0.4357615894039735,0.057289787949619385,0.0,0.394484412470024,0.3747060536125857
50,357.0,0.001785,328.0,0.0009344527977443599,0.0,0.42119205298013246,0.04199276775020127,0.0,0.3980815347721822,0.34376036029867907
51,545.0,0.002725,529.0,0.0005631259837858031,0.0,0.6874172185430464,0.02530595307574867,0.0,0.6235011990407674,0.5256728119065648
52,244.0,0.00122,117.0,7.439632466354514e-05,0.0,0.14172185430463577,0.0033432481454451052,0.0,0.262589928057554,0.06628812403281467
