cluster,selected,selection_method,density,bottleneck_score,rank_density,rank_bottleneck
0,False,core_plus_bottleneck,0.002535,0.08588572942978179,134,194
1,False,core_plus_bottleneck,0.00463,0.16938778979590507,85,143
2,False,core_plus_bottleneck,0.00233,0.14962977977390057,143,151
3,False,core_plus_bottleneck,0.00234,0.18341239282499436,142,137
4,False,core_plus_bottleneck,0.00242,0.2928491261139083,138,99
5,False,core_plus_bottleneck,0.002845,0.1928900774543859,126,131
6,False,core_plus_bottleneck,0.00543,0.23340424461185594,70,118
7,True,core_plus_bottleneck,0.00845,0.3649851543639792,28,82
8,True,core_plus_bottleneck,0.00709,0.48882783151866527,39,63
9,True,core_plus_bottleneck,0.007515,0.6420026230262266,36,44
10,True,core_plus_bottleneck,0.012015,0.8610111654376414,11,29
11,True,core_plus_bottleneck,0.00812,0.4923539858792004,29,62
12,True,core_plus_bottleneck,0.00635,0.27385381971747463,58,111
13,False,core_plus_bottleneck,0.00229,0.06555430317351015,146,204
17,False,core_plus_bottleneck,0.00012,0.003900598309904838,237,243
18,True,core_plus_bottleneck,0.00532,0.6158833453719552,73,48
19,False,core_plus_bottleneck,0.003695,0.10591898924432241,105,180
20,False,core_plus_bottleneck,0.000895,0.040502560069168685,207,218
21,False,core_plus_bottleneck,0.00195,0.17921385563380027,160,139
22,False,core_plus_bottleneck,0.000435,0.1150970288348205,221,173
23,False,core_plus_bottleneck,0.00031,0.034384051186881606,225,220
24,False,core_plus_bottleneck,0.000285,0.048950864057488844,230,215
25,False,core_plus_bottleneck,0.002345,0.09957822274249134,141,184
26,True,core_plus_bottleneck,0.008625,1.032674557148861,26,19
27,True,core_plus_bottleneck,0.01015,0.9750420683805952,20,21
28,True,core_plus_bottleneck,0.002265,0.85591489852069,148,30
29,False,core_plus_bottleneck,0.001105,0.2511679437783697,195,115
30,False,core_plus_bottleneck,0.00418,0.28734739380662905,95,101
31,False,core_plus_bottleneck,0.004565,0.3404983615080703,88,91
32,True,core_plus_bottleneck,0.01502,1.3433120203441593,5,5
33,False,core_plus_bottleneck,0.004165,0.3350841418029251,97,93
34,False,core_plus_bottleneck,0.00031,0.015322134570496894,226,232
37,False,core_plus_bottleneck,1.5e-05,-0.0002277327935222672,253,261
38,False,core_plus_bottleneck,0.00247,0.2690341400648532,136,112
39,False,core_plus_bottleneck,0.00097,0.05230585510537224,200,213
40,False,core_plus_bottleneck,0.00091,0.052376206003258444,206,212
41,False,core_plus_bottleneck,0.00143,0.1001309507468884,183,183
42,False,core_plus_bottleneck,1.5e-05,0.002779884403665651,254,246
45,False,core_plus_bottleneck,2e-05,0.00041166385756401567,250,256
46,True,core_plus_bottleneck,0.006615,0.36483995972117483,51,83
47,True,core_plus_bottleneck,0.01244,1.0283626642561146,10,20
48,False,core_plus_bottleneck,3e-05,0.0016904571597365814,248,248
51,False,core_plus_bottleneck,2e-05,0.0011269714398243877,251,250
52,True,core_plus_bottleneck,0.0056,0.5971206543591958,66,50
53,True,core_plus_bottleneck,0.01002,0.7624224626404053,22,34
54,True,core_plus_bottleneck,0.00448,0.5822258595435778,92,53
55,False,core_plus_bottleneck,0.00361,0.3493664793173888,108,87
56,False,core_plus_bottleneck,0.003625,0.3523258533455776,107,86
57,False,core_plus_bottleneck,0.003735,0.3926249253853088,104,77
58,True,core_plus_bottleneck,0.006925,0.37714799693135515,42,79
59,True,core_plus_bottleneck,0.008615,0.07974110627719516,27,198
60,False,core_plus_bottleneck,0.000965,0.13265129422848151,201,161
61,False,core_plus_bottleneck,0.001245,0.40317474812679427,188,74
62,False,core_plus_bottleneck,5e-06,0.0002817428599560969,260,257
66,True,core_plus_bottleneck,0.00686,0.6791533176602264,44,42
67,True,core_plus_bottleneck,0.013805,1.1673016607048503,6,14
68,False,core_plus_bottleneck,1.5e-05,0.0008452285798682907,255,251
72,False,core_plus_bottleneck,0.000295,0.012359726289839352,229,235
73,False,core_plus_bottleneck,0.00069,0.0346985929743014,214,219
74,False,core_plus_bottleneck,0.001065,0.06528571751086484,196,205
75,False,core_plus_bottleneck,0.001065,0.18124866187472483,197,138
76,False,core_plus_bottleneck,0.00094,0.07241749096015344,203,201
77,False,core_plus_bottleneck,0.00073,0.09660220450421193,212,185
78,False,core_plus_bottleneck,0.000825,0.05050717382232577,210,214
79,False,core_plus_bottleneck,0.000425,0.018624853962414808,222,229
80,False,core_plus_bottleneck,0.001255,0.05896660212147389,187,206
81,False,core_plus_bottleneck,0.005045,0.1474335410372336,79,153
86,True,core_plus_bottleneck,0.00679,0.475380563625477,48,64
87,True,core_plus_bottleneck,0.006935,2.036816180491912,41,1
88,False,core_plus_bottleneck,3.5e-05,0.0005415848551719346,246,255
100,False,core_plus_bottleneck,0.00132,0.06631875129506326,185,203
101,False,core_plus_bottleneck,0.004315,0.11488689086488879,93,174
102,False,core_plus_bottleneck,0.00011,0.009285583660193534,239,238
105,False,core_plus_bottleneck,9e-05,0.0036407563146890003,241,244
106,True,core_plus_bottleneck,0.007,0.6659083667259934,40,43
107,True,core_plus_bottleneck,0.00733,1.5432278580466117,38,4
108,False,core_plus_bottleneck,5e-06,0.0002817428599560969,261,258
120,False,core_plus_bottleneck,0.001645,0.07996334701034495,171,196
121,False,core_plus_bottleneck,0.005065,0.4308612099067395,78,70
122,False,core_plus_bottleneck,0.002465,0.2408621558560394,137,116
123,False,core_plus_bottleneck,0.002245,0.25587187481632023,149,114
124,False,core_plus_bottleneck,0.002685,0.28701739035949586,130,103
125,True,core_plus_bottleneck,0.007685,0.17219194593389994,33,142
126,True,core_plus_bottleneck,0.010345,0.6224404168157515,19,46
127,True,core_plus_bottleneck,0.0155,1.8914739890328547,4,2
128,False,core_plus_bottleneck,1e-05,0.0005634857199121938,259,254
132,False,core_plus_bottleneck,0.002575,0.10685548539544258,132,179
133,False,core_plus_bottleneck,0.004025,0.18521443310758573,100,135
134,False,core_plus_bottleneck,0.00178,0.1414607068379616,164,159
135,False,core_plus_bottleneck,0.002115,0.16868545842937394,154,145
136,True,core_plus_bottleneck,0.005725,0.12547332734518077,63,164
137,False,core_plus_bottleneck,0.002575,0.1271698112196752,133,162
138,True,core_plus_bottleneck,0.006485,0.12177692193474711,53,166
139,False,core_plus_bottleneck,0.002745,0.1193479844120289,127,169
140,False,core_plus_bottleneck,0.00066,0.03254055822951237,216,221
141,False,core_plus_bottleneck,0.00205,0.11859536530976314,157,170
142,False,core_plus_bottleneck,0.001545,0.11799362111270018,175,171
143,False,core_plus_bottleneck,0.00151,0.20162389255440705,179,124
144,False,core_plus_bottleneck,0.0023,0.16902212763743696,145,144
145,True,core_plus_bottleneck,0.00764,0.28273262150459555,35,106
146,True,core_plus_bottleneck,0.01976,1.2289960431159024,1,10
147,True,core_plus_bottleneck,0.011355,1.2996038560495355,13,8
148,False,core_plus_bottleneck,4.5e-05,0.0021780319484746864,245,247
152,False,core_plus_bottleneck,0.000955,0.046659810429010795,202,216
153,False,core_plus_bottleneck,0.00212,0.1196230773864567,153,168
154,False,core_plus_bottleneck,0.000985,0.07201386230954049,199,202
155,False,core_plus_bottleneck,0.000855,0.09084722488993228,209,192
156,False,core_plus_bottleneck,0.000915,0.10729792639645702,205,177
157,False,core_plus_bottleneck,0.002375,0.3138485668146561,140,95
158,True,core_plus_bottleneck,0.006215,0.44131559394479897,60,68
159,False,core_plus_bottleneck,0.004085,0.11745629518530148,99,172
165,False,core_plus_bottleneck,0.00011,0.0033189346306933196,240,245
166,True,core_plus_bottleneck,0.010045,0.8725141920762128,21,27
167,True,core_plus_bottleneck,0.015875,1.3018812871744458,3,6
168,False,core_plus_bottleneck,3.5e-05,0.0016145462285624924,247,249
177,False,core_plus_bottleneck,0.000155,0.006230452120727703,235,242
178,True,core_plus_bottleneck,0.00665,0.5529719505123951,50,55
179,False,core_plus_bottleneck,0.00521,0.0928227990486191,76,190
185,False,core_plus_bottleneck,5e-06,0.0002817428599560969,262,259
186,True,core_plus_bottleneck,0.008665,1.3005943637679107,25,7
187,True,core_plus_bottleneck,0.01369,1.0902170500795125,7,16
188,False,core_plus_bottleneck,0.0002,0.012898756335654973,233,234
197,False,core_plus_bottleneck,2e-05,5.401006643382969e-05,252,260
198,True,core_plus_bottleneck,0.00552,1.0598718896536,69,17
199,False,core_plus_bottleneck,0.00215,0.36185995756961664,151,84
200,False,core_plus_bottleneck,0.000535,0.024066371566089206,218,226
201,False,core_plus_bottleneck,0.00155,0.07764926601943667,174,199
202,True,core_plus_bottleneck,0.007435,0.12531817147777724,37,165
203,True,core_plus_bottleneck,0.003315,0.5187348081309061,114,59
204,True,core_plus_bottleneck,0.00455,0.5019872160866371,89,61
205,True,core_plus_bottleneck,0.00451,0.7878589504788963,90,32
206,True,core_plus_bottleneck,0.01199,1.2365345127601572,12,9
207,True,core_plus_bottleneck,0.017575,1.8171641415840576,2,3
208,True,core_plus_bottleneck,0.00775,1.0349720316671398,30,18
209,True,core_plus_bottleneck,0.006525,0.8729255494715343,52,26
210,True,core_plus_bottleneck,0.006325,0.6890850821051404,59,41
211,True,core_plus_bottleneck,0.006835,0.6176501982341898,46,47
212,True,core_plus_bottleneck,0.00691,0.5165695048895671,43,60
213,False,core_plus_bottleneck,0.00562,0.4394475607519736,65,69
214,False,core_plus_bottleneck,0.00332,0.3009278559793686,113,97
215,False,core_plus_bottleneck,0.00353,0.47076499124536614,109,66
216,False,core_plus_bottleneck,0.004295,0.4200981131689661,94,71
217,True,core_plus_bottleneck,0.005005,0.7102984417642467,80,39
218,True,core_plus_bottleneck,0.009595,0.7260256977632771,24,37
219,False,core_plus_bottleneck,0.00321,0.28721305916729123,117,102
220,False,core_plus_bottleneck,0.002985,0.15899202355557737,120,150
221,True,core_plus_bottleneck,0.011185,1.1928662995864947,14,11
222,True,core_plus_bottleneck,0.0064,0.8907007802568443,55,24
223,True,core_plus_bottleneck,0.00524,0.6011173191479101,75,49
224,True,core_plus_bottleneck,0.00494,0.5872678801932556,81,52
225,False,core_plus_bottleneck,0.00481,0.41791151879895394,84,72
226,False,core_plus_bottleneck,0.005535,0.38971607770574707,68,78
227,True,core_plus_bottleneck,0.00769,0.5232241181682076,32,57
