query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids,ep_id,num_virtual_edges_used,num_real_option_edges_used,virtual_edge_ratio
0,21,132,False,0,inf,,,0,0,0,0.0
1,4,261,True,9,91.2876950934514,4 26 66 107 146 186 205 203 221 261,-1 36 88 127 165 202 236 224 -1,1,2,7,0.2222222222222222
2,47,2,False,0,inf,,,2,0,0,0.0
3,81,186,False,0,inf,,,3,0,0,0.0
4,220,302,True,3,30.28867513459481,220 241 281 302,-1 399 -1,4,2,1,0.6666666666666666
5,158,305,False,0,inf,,,5,0,0,0.0
6,238,8,False,0,inf,,,6,0,0,0.0
7,120,21,False,0,inf,,,7,0,0,0.0
8,59,167,False,0,inf,,,8,0,0,0.0
9,389,306,False,0,inf,,,9,0,0,0.0
10,312,26,True,10,92.72821186155409,312 273 252 231 209 208 187 147 107 66 26,-1 416 400 368 272 262 205 167 120 -1,10,2,8,0.2
11,199,55,False,0,inf,,,11,0,0,0.0
12,318,294,False,0,inf,,,12,0,0,0.0
13,187,215,True,5,47.383872855750994,187 208 210 232 233 215,-1 266 288 382 -1,13,2,3,0.4
14,80,127,False,0,inf,,,14,0,0,0.0
15,261,10,True,10,96.46273385813303,261 221 203 205 186 146 106 67 47 28 10,-1 309 223 235 198 157 112 91 66 -1,15,2,8,0.2
16,318,273,False,0,inf,,,16,0,0,0.0
17,313,208,True,5,44.226772878138426,313 273 252 231 230 208,-1 416 400 373 -1,17,2,3,0.4
18,41,293,False,0,inf,,,18,0,0,0.0
19,320,146,True,7,66.90315958112078,320 281 261 221 203 205 186 146,-1 419 412 309 223 235 -1,19,2,5,0.2857142857142857
20,166,361,True,8,77.1826973769149,166 206 224 222 241 281 321 341 361,-1 250 333 320 399 422 438 -1,20,2,6,0.25
21,284,221,False,0,inf,,,21,0,0,0.0
22,132,222,False,0,inf,,,22,0,0,0.0
23,260,221,True,2,20.0,260 241 221,-1 -1,23,2,0,1.0
24,61,369,False,0,inf,,,24,0,0,0.0
25,7,237,False,0,inf,,,25,0,0,0.0
26,186,292,True,6,56.46698691154083,186 207 209 231 252 273 292,-1 258 279 376 404 -1,26,2,4,0.3333333333333333
27,273,227,True,4,38.32714473395412,273 252 231 209 227,-1 400 368 -1,27,2,2,0.5
28,360,72,True,16,155.58089208967064,360 341 301 261 221 203 205 186 146 106 67 47 28 10 32 52 72,-1 439 429 412 309 223 235 198 157 112 91 66 48 22 55 -1,28,2,14,0.125
29,284,19,False,0,inf,,,29,0,0,0.0
30,284,366,False,0,inf,,,30,0,0,0.0
31,384,379,False,0,inf,,,31,0,0,0.0
32,19,10,False,0,inf,,,32,0,0,0.0
33,313,18,False,0,inf,,,33,0,0,0.0
34,41,56,False,0,inf,,,34,0,0,0.0
35,318,301,False,0,inf,,,35,0,0,0.0
36,318,221,False,0,inf,,,36,0,0,0.0
37,41,227,False,0,inf,,,37,0,0,0.0
38,159,222,False,0,inf,,,38,0,0,0.0
39,399,281,False,0,inf,,,39,0,0,0.0
40,136,207,False,0,inf,,,40,0,0,0.0
41,47,179,False,0,inf,,,41,0,0,0.0
42,384,227,False,0,inf,,,42,0,0,0.0
43,27,106,True,3,25.03542181734879,27 67 66 106,-1 92 -1,43,2,1,0.6666666666666666
44,79,75,False,0,inf,,,44,0,0,0.0
45,18,121,False,0,inf,,,45,0,0,0.0
46,55,27,True,5,45.20708051101444,55 53 32 10 9 27,-1 74 52 18 -1,46,2,3,0.4
47,383,391,False,0,inf,,,47,0,0,0.0
48,178,302,False,0,inf,,,48,0,0,0.0
49,379,317,False,0,inf,,,49,0,0,0.0
50,392,241,True,12,110.75013268438714,392 372 353 313 273 252 231 209 207 206 224 222 241,-1 443 441 433 416 400 368 271 256 250 333 -1,50,2,10,0.16666666666666666
51,41,319,False,0,inf,,,51,0,0,0.0
52,59,187,False,0,inf,,,52,0,0,0.0
53,121,346,False,0,inf,,,53,0,0,0.0
54,30,211,True,8,81.5121437185341,30 28 47 87 127 167 207 209 211,-1 51 70 110 149 194 258 -1,54,2,6,0.25
55,138,72,False,0,inf,,,55,0,0,0.0
56,370,208,True,8,73.25430840652865,370 372 353 313 273 252 231 230 208,-1 443 441 433 416 400 373 -1,56,2,6,0.25
57,186,26,True,4,41.0,186 146 106 66 26,-1 157 111 -1,57,2,2,0.5
58,56,53,True,2,20.0,56 54 53,-1 -1,58,2,0,1.0
59,121,107,False,0,inf,,,59,0,0,0.0
60,41,167,False,0,inf,,,60,0,0,0.0
61,60,80,True,1,10.0,60 80,-1,61,1,0,1.0
62,159,340,False,0,inf,,,62,0,0,0.0
63,127,232,True,5,47.297688066031974,127 167 207 208 210 232,-1 194 257 266 -1,63,2,3,0.4
64,380,252,False,0,inf,,,64,0,0,0.0
65,284,208,False,0,inf,,,65,0,0,0.0
66,155,234,False,0,inf,,,66,0,0,0.0
67,79,157,False,0,inf,,,67,0,0,0.0
68,381,53,False,0,inf,,,68,0,0,0.0
69,120,47,False,0,inf,,,69,0,0,0.0
70,18,318,False,0,inf,,,70,0,0,0.0
71,381,372,False,0,inf,,,71,0,0,0.0
72,347,399,False,0,inf,,,72,0,0,0.0
73,312,398,False,0,inf,,,73,0,0,0.0
74,209,139,False,0,inf,,,74,0,0,0.0
75,272,8,True,9,89.92531184399425,272 232 230 208 187 147 107 67 27 8,-1 380 359 262 205 167 121 89 -1,75,2,7,0.2222222222222222
76,215,253,True,2,20.0,215 233 253,-1 -1,76,2,0,1.0
77,100,218,False,0,inf,,,77,0,0,0.0
78,359,307,False,0,inf,,,78,0,0,0.0
79,198,133,False,0,inf,,,79,0,0,0.0
80,313,67,True,9,82.15086159236446,313 273 252 231 209 208 187 147 107 67,-1 416 400 368 272 262 205 167 -1,80,2,7,0.2222222222222222
81,159,352,False,0,inf,,,81,0,0,0.0
82,304,166,False,0,inf,,,82,0,0,0.0
83,52,201,True,11,109.26036803397554,52 32 10 28 47 87 127 167 206 224 223 201,-1 52 21 51 70 110 149 193 250 334 -1,83,2,9,0.18181818181818182
84,120,158,False,0,inf,,,84,0,0,0.0
85,213,4,True,9,86.0153804130292,213 231 209 208 187 147 107 66 26 4,-1 368 272 262 205 167 120 81 -1,85,2,7,0.2222222222222222
86,241,27,True,8,77.62049873446009,241 222 204 205 186 146 106 67 27,-1 316 230 235 198 157 112 -1,86,2,6,0.25
87,232,73,True,12,112.81925121846623,232 230 208 187 147 107 67 47 28 10 32 52 73,-1 359 262 205 167 121 91 66 48 22 55 -1,87,2,10,0.16666666666666666
88,304,301,False,0,inf,,,88,0,0,0.0
89,281,13,True,12,121.96664854427266,281 261 221 203 205 186 146 106 67 27 9 11 13,-1 412 309 223 235 198 157 112 89 39 14 -1,89,2,10,0.16666666666666666
90,139,212,False,0,inf,,,90,0,0,0.0
91,4,261,True,9,91.2876950934514,4 26 66 107 146 186 205 203 221 261,-1 36 88 127 165 202 236 224 -1,91,2,7,0.2222222222222222
92,124,292,True,8,73.83704276118371,124 146 187 207 209 231 252 273 292,-1 166 210 258 279 376 404 -1,92,2,6,0.25
93,210,370,False,0,inf,,,93,0,0,0.0
94,215,307,False,0,inf,,,94,0,0,0.0
95,73,9,True,4,35.07322167008194,73 52 32 11 9,-1 71 53 -1,95,2,2,0.5
96,147,284,False,0,inf,,,96,0,0,0.0
97,139,305,False,0,inf,,,97,0,0,0.0
98,383,187,False,0,inf,,,98,0,0,0.0
99,215,237,True,1,10.0,215 237,-1,99,1,0,1.0
