query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids,ep_id,num_virtual_edges_used,num_real_option_edges_used,virtual_edge_ratio
0,158,212,True,8,34.141369572208625,158 178 197 217 236 235 234 233 212,-1 453 472 574 677 672 667 -1,0,2,6,0.25
1,203,303,True,7,30.461178217224838,203 222 221 241 261 281 282 303,-1 602 599 702 726 750 -1,1,2,5,0.2857142857142857
2,1,12,True,11,46.53825992551729,1 2 3 4 5 6 7 8 9 10 11 12,-1 9 13 17 22 27 32 36 40 45 -1,2,2,9,0.18181818181818182
3,392,381,True,11,46.6938478066861,392 391 390 389 388 387 386 385 384 383 382 381,-1 1126 1122 1117 1113 1109 1104 1100 1096 1091 -1,3,2,9,0.18181818181818182
4,41,9,True,9,38.588017651064916,41 21 2 3 4 5 6 7 8 9,-1 73 9 13 17 22 27 32 -1,4,2,7,0.2222222222222222
5,347,353,True,7,30.404198176244364,347 367 368 389 390 391 372 353,-1 1039 1046 1118 1123 1125 -1,5,2,5,0.2857142857142857
6,283,384,True,8,33.61015662318559,283 304 305 326 346 366 386 385 384,-1 856 862 937 975 1034 1104 -1,6,2,6,0.25
7,367,292,True,9,38.44149010284343,367 388 389 390 391 372 352 332 312 292,-1 1114 1118 1123 1125 1059 982 944 -1,7,2,7,0.2222222222222222
8,381,392,True,11,46.63808971451598,381 382 383 384 385 386 387 388 389 390 391 392,-1 1088 1092 1097 1101 1105 1110 1114 1118 1123 -1,8,2,9,0.18181818181818182
9,384,383,True,1,5.0,384 383,-1,9,1,0,1.0
10,315,229,True,7,30.280485741556422,315 294 273 252 251 231 230 229,-1 802 735 708 704 646 -1,10,2,5,0.2857142857142857
11,238,132,False,0,inf,,,11,0,0,0.0
12,30,126,True,8,34.503323257811786,30 9 8 27 47 67 87 107 126,-1 39 37 109 174 229 271 -1,12,2,6,0.25
13,223,340,True,8,34.53450693973204,223 222 221 241 261 281 301 321 340,-1 602 599 702 726 752 841 -1,13,2,6,0.25
14,227,47,True,9,38.55221279535414,227 206 186 166 146 126 106 86 66 47,-1 512 460 437 394 330 287 263 -1,14,2,7,0.2222222222222222
15,387,301,True,8,34.966190953457,387 367 347 326 305 304 303 302 301,-1 1037 977 933 859 855 850 -1,15,2,6,0.25
16,300,366,True,8,34.5354124786301,300 301 302 303 304 305 326 346 366,-1 839 846 851 856 862 937 -1,16,2,6,0.25
17,227,312,True,8,34.03131308458889,227 208 209 210 231 252 272 292 312,-1 526 531 539 649 710 733 -1,17,2,6,0.25
18,124,7,True,7,30.693952514048444,124 125 106 86 66 46 26 7,-1 323 287 263 220 165 -1,18,2,5,0.2857142857142857
19,380,201,True,9,38.54252731889662,380 361 341 321 301 281 261 241 221 201,-1 1007 966 926 836 748 723 697 -1,19,2,7,0.2222222222222222
20,306,201,True,8,35.15800852068505,306 305 304 283 282 261 241 221 201,-1 859 852 761 754 723 697 -1,20,2,6,0.25
21,144,1,True,9,38.76219278472095,144 123 122 121 101 81 61 41 21 1,-1 314 310 303 278 259 216 158 -1,21,2,7,0.2222222222222222
22,260,383,True,7,30.451189159596527,260 281 301 321 341 361 362 383,-1 752 841 930 970 1010 -1,22,2,5,0.2857142857142857
23,10,40,True,10,42.61652029952266,10 9 8 7 6 5 24 23 22 21 40,-1 39 35 31 26 23 88 85 81 -1,23,2,8,0.2
24,384,304,True,6,26.917539320467107,384 365 366 346 326 305 304,-1 1028 1031 972 933 -1,24,2,4,0.3333333333333333
25,127,4,True,7,30.45510699039045,127 106 86 66 46 26 25 4,-1 287 263 220 165 98 -1,25,2,5,0.2857142857142857
26,318,392,True,9,38.53491025245796,318 317 316 315 314 313 333 353 373 392,-1 907 902 897 892 888 953 991 -1,26,2,7,0.2222222222222222
27,229,124,True,7,30.57964856566549,229 208 207 187 166 146 145 124,-1 525 520 465 437 396 -1,27,2,5,0.2857142857142857
28,301,227,True,9,39.99504431881149,301 281 261 241 222 223 204 205 206 227,-1 748 723 698 603 606 504 508 -1,28,2,7,0.2222222222222222
29,198,230,True,8,34.43659005698174,198 217 236 235 234 233 232 231 230,-1 574 677 672 667 660 653 -1,29,2,6,0.25
30,215,135,True,8,34.5372326445774,215 216 217 198 178 177 157 156 135,-1 566 571 474 451 447 421 -1,30,2,6,0.25
31,221,381,True,8,34.529640212058894,221 241 261 281 301 321 341 361 381,-1 702 726 752 841 930 970 -1,31,2,6,0.25
32,124,203,True,8,34.59843370015322,124 145 146 166 186 206 205 204 203,-1 391 398 440 463 514 507 -1,32,2,6,0.25
33,10,40,True,10,42.61652029952266,10 9 8 7 6 5 24 23 22 21 40,-1 39 35 31 26 23 88 85 81 -1,33,2,8,0.2
34,306,220,True,7,31.055410685476538,306 305 304 283 282 261 241 220,-1 859 852 761 754 723 -1,34,2,5,0.2857142857142857
35,55,6,True,9,38.56652885133193,55 54 53 32 11 10 9 8 7 6,-1 186 180 128 48 44 39 35 -1,35,2,7,0.2222222222222222
36,144,0,True,9,38.76219278472095,144 123 122 121 101 81 61 41 21 0,-1 314 310 303 278 259 216 158 -1,36,2,7,0.2222222222222222
37,390,252,True,8,34.38293388575184,390 371 372 352 332 312 292 272 252,-1 1055 1059 982 944 877 787 -1,37,2,6,0.25
38,7,187,True,9,38.504212350670194,7 26 46 66 86 106 126 146 166 187,-1 101 168 223 265 291 335 398 -1,38,2,7,0.2222222222222222
39,398,313,True,8,34.567990784988616,398 378 358 338 317 316 315 314 313,-1 1071 993 955 907 902 897 -1,39,2,6,0.25
40,76,6,True,10,42.63394883757825,76 55 54 53 32 11 10 9 8 7 6,-1 190 186 180 128 48 44 39 35 -1,40,2,8,0.2
41,233,138,True,8,34.76493196555617,233 214 215 216 217 198 178 158 138,-1 556 561 566 571 474 450 -1,41,2,6,0.25
42,58,9,True,9,38.58759251588767,58 57 56 55 54 53 32 31 30 9,-1 201 194 190 186 180 131 126 -1,42,2,7,0.2222222222222222
43,381,220,True,8,34.439929483688104,381 361 341 321 301 281 261 241 220,-1 1007 966 926 836 748 723 -1,43,2,6,0.25
44,153,238,True,8,34.853317352267545,153 154 155 156 157 178 197 217 238,-1 410 413 418 424 453 472 -1,44,2,6,0.25
45,199,253,True,7,30.359316436486388,199 218 237 236 235 234 233 253,-1 582 681 677 672 667 -1,45,2,5,0.2857142857142857
46,153,238,True,8,34.853317352267545,153 154 155 156 157 178 197 217 238,-1 410 413 418 424 453 472 -1,46,2,6,0.25
47,346,260,True,7,30.865201484255266,346 326 305 304 303 302 281 260,-1 933 859 855 850 842 -1,47,2,5,0.2857142857142857
48,41,10,True,10,42.65686049014707,41 21 2 3 4 5 6 7 8 9 10,-1 73 9 13 17 22 27 32 36 -1,48,2,8,0.2
49,155,236,True,6,27.332560271711078,155 156 157 178 197 217 236,-1 418 424 453 472 -1,49,2,4,0.3333333333333333
50,3,147,True,8,34.162177912309794,3 4 25 46 66 86 106 126 147,-1 20 94 168 223 265 291 -1,50,2,6,0.25
51,139,212,True,9,38.21225769270946,139 158 178 197 217 236 235 234 233 212,-1 431 453 472 574 677 672 667 -1,51,2,7,0.2222222222222222
52,238,133,True,9,38.82461626890241,238 218 198 178 177 157 156 135 134 133,-1 578 474 451 447 421 414 348 -1,52,2,7,0.2222222222222222
53,386,301,True,8,34.568836525520396,386 385 384 383 382 361 341 321 301,-1 1100 1096 1091 1084 1007 966 -1,53,2,6,0.25
54,327,260,True,7,30.489969463830178,327 306 305 304 303 302 281 260,-1 866 859 855 850 842 -1,54,2,5,0.2857142857142857
55,23,120,True,7,30.524753535505614,23 22 21 41 61 81 101 120,-1 81 77 162 219 262 -1,55,2,5,0.2857142857142857
56,358,273,True,6,26.690535362988143,358 338 317 316 295 294 273,-1 955 907 899 808 -1,56,2,4,0.3333333333333333
57,4,52,True,8,34.41118072225967,4 25 26 27 28 29 30 31 52,-1 93 99 107 114 119 123 -1,57,2,6,0.25
58,186,235,True,9,37.83412952176461,186 207 208 209 210 211 212 213 234 235,-1 522 526 531 536 541 546 554 -1,58,2,7,0.2222222222222222
59,223,123,True,9,38.60834608350609,223 204 205 206 186 166 146 145 144 123,-1 504 508 512 460 437 396 390 -1,59,2,7,0.2222222222222222
