cluster,num_segments,num_episodes,min_h,median_h,mean_h,max_h
0,5344,30,1,6.0,9.222866766467066,25
1,22244,72,1,10.0,11.039830965653659,25
2,3542,73,1,4.0,4.702428006775833,20
3,12517,95,1,6.0,9.017576096508748,25
4,16496,93,1,7.0,10.048617846750728,25
5,6047,84,1,5.0,6.042169670911195,25
6,18460,109,1,8.0,10.051408450704225,25
7,17617,107,1,8.0,10.074927626724186,25
8,4155,105,1,3.0,3.995667870036101,18
9,32711,126,1,9.0,10.815352633670631,25
10,15064,126,1,6.0,8.785448751991503,25
11,6126,100,1,4.0,5.744857982370226,25
12,33943,88,1,10.0,11.191909966708895,25
13,7926,47,1,6.0,9.042770628311885,25
17,3,1,1,8.0,6.0,9
18,6824,14,1,10.5,11.376905041031653,25
19,735,13,1,4.0,5.7129251700680275,25
20,2078,34,1,4.0,5.222329162656401,20
21,3413,62,1,4.0,5.04629358335775,21
22,459,21,1,3.0,4.150326797385621,18
23,4535,18,1,12.0,12.092613009922822,25
24,501,20,1,3.0,3.528942115768463,11
25,1427,28,1,5.0,6.522775052557813,25
26,5741,85,1,5.0,6.348022992510016,25
27,4112,74,1,4.0,5.584630350194552,25
28,716,29,1,4.0,5.696927374301676,25
29,861,31,1,3.0,3.735191637630662,13
30,749,41,1,3.0,3.3190921228304404,12
31,6347,59,1,8.0,9.743500866551127,25
32,15706,105,1,8.0,9.461352349420604,25
33,3453,65,1,4.0,5.193454966695627,25
34,16,2,1,2.0,2.625,7
37,46,2,1,3.0,3.6956521739130435,9
38,1462,24,1,4.0,5.235978112175102,23
39,718,14,1,4.0,5.16991643454039,18
40,8047,35,1,9.0,10.535354790605194,25
41,11364,49,1,8.0,9.958465329109469,25
42,6,1,1,1.5,1.6666666666666667,3
45,1,1,1,1.0,1.0,1
46,23879,97,1,8.0,10.289124335189916,25
47,16893,84,1,7.0,9.94459243473628,25
52,11591,64,1,8.0,10.097575705288586,25
53,9228,103,1,5.0,6.202319029042046,25
54,2829,70,1,4.0,4.530929657122658,21
55,8831,69,1,8.0,9.790623938398822,25
56,2708,61,1,4.0,4.982644017725258,25
57,2608,54,1,4.0,4.575920245398773,24
58,9298,49,1,8.0,10.213594321359432,25
59,641,14,1,4.0,6.589703588143526,25
60,841,25,1,4.0,4.126040428061831,14
61,1785,42,1,4.0,4.446498599439776,25
62,6,1,1,1.5,1.6666666666666667,3
66,4500,82,1,4.0,5.647333333333333,25
67,3838,67,1,5.0,6.879624804585721,25
72,235,10,1,2.0,3.1319148936170214,25
73,341,25,1,2.0,3.0175953079178885,12
74,804,30,1,3.0,3.9203980099502487,15
75,464,25,1,3.0,3.1206896551724137,10
76,442,19,1,3.0,3.6515837104072397,14
77,69,10,1,2.0,2.1884057971014492,6
78,287,12,1,3.0,3.3867595818815333,14
79,131,8,1,3.0,3.0381679389312977,9
80,4231,37,1,6.0,8.65610966674545,25
81,8145,42,1,8.0,10.20024554941682,25
86,14854,86,1,7.0,9.285377676046856,25
87,10582,81,1,6.0,9.359005859005858,25
100,1636,37,1,4.0,5.0843520782396086,25
101,3378,47,1,4.0,6.153641207815276,25
102,136,6,1,3.0,3.448529411764706,10
105,25,3,1,3.0,3.24,8
106,5294,83,1,5.0,6.020967132602947,25
