baseline,node_selection,H,node_budget,num_edges,unsupported_edge_rate,path_coverage_strict,path_coverage_virtual,mean_path_cost_strict,mean_path_cost_virtual,hop_count_cost,num_queries_strict,num_reachable_strict,num_queries_virtual,num_reachable_virtual
support_density,density,5,40,34,0.0,0.0,0.006,0.0,6.361306045276557,,50,0,500.0,3.0
kNN_same_nodes,density,5,40,34,0.7058823529411765,0.1,,,,5.0,50,5,,
kNN_geometry_same_nodes,density,5,40,34,0.5882352941176471,0.12,,,,6.166666666666667,50,6,,
grid_adjacent_same_nodes,density,5,40,30,0.0,0.0,,,,0.0,50,0,,
random_same_edge_budget,density,5,40,34,0.9411764705882353,0.08,,,,2.5,50,4,,
support_bottleneck,bottleneck,5,40,95,0.0,0.23333333333333334,0.03,31.812226860105678,28.388386596533223,,30,7,500.0,15.0
kNN_same_nodes,bottleneck,5,40,95,0.3473684210526316,0.23333333333333334,,,,4.428571428571429,30,7,,
kNN_geometry_same_nodes,bottleneck,5,40,95,0.30526315789473685,0.23333333333333334,,,,4.571428571428571,30,7,,
grid_adjacent_same_nodes,bottleneck,5,40,64,0.0,0.23333333333333334,,,,9.714285714285714,30,7,,
random_same_edge_budget,bottleneck,5,40,95,0.9368421052631579,0.7666666666666667,,,,3.4782608695652173,30,23,,
support_core_plus_bottleneck,core_plus_bottleneck,5,40,67,0.0,0.045454545454545456,0.026,30.826984185024,28.404104625278503,,44,2,500.0,13.0
kNN_same_nodes,core_plus_bottleneck,5,40,67,0.417910447761194,0.25,,,,4.909090909090909,44,11,,
kNN_geometry_same_nodes,core_plus_bottleneck,5,40,67,0.3283582089552239,0.20454545454545456,,,,5.555555555555555,44,9,,
grid_adjacent_same_nodes,core_plus_bottleneck,5,40,50,0.0,0.045454545454545456,,,,9.0,44,2,,
random_same_edge_budget,core_plus_bottleneck,5,40,67,0.9402985074626866,0.3181818181818182,,,,3.4285714285714284,44,14,,
support_all_upper_bound,all,5,40,1141,0.0,0.992,0.996,34.192191891801706,35.73335953804925,,500,496,500.0,498.0
kNN_same_nodes,all,5,40,1141,0.5451358457493427,0.34,,,,4.4,500,170,,
kNN_geometry_same_nodes,all,5,40,1141,0.5398773006134969,0.34,,,,4.682352941176471,500,170,,
grid_adjacent_same_nodes,all,5,40,824,0.06674757281553398,1.0,,,,9.634,500,500,,
random_same_edge_budget,all,5,40,1141,0.9798422436459246,0.982,,,,3.928716904276986,500,491,,
support_density,density,5,80,162,0.0,0.0380952380952381,0.018,21.047897551154087,24.156277892251573,,210,8,500.0,9.0
kNN_same_nodes,density,5,80,162,0.49382716049382713,0.2761904761904762,,,,4.827586206896552,210,58,,
kNN_geometry_same_nodes,density,5,80,162,0.4074074074074074,0.21904761904761905,,,,5.891304347826087,210,46,,
grid_adjacent_same_nodes,density,5,80,116,0.0,0.0380952380952381,,,,5.75,210,8,,
random_same_edge_budget,density,5,80,162,0.9876543209876543,0.7095238095238096,,,,5.456375838926174,210,149,,
support_bottleneck,bottleneck,5,80,275,0.0,0.693069306930693,0.272,34.07904978066483,35.840574491525956,,101,70,500.0,136.0
kNN_same_nodes,bottleneck,5,80,275,0.37454545454545457,0.38613861386138615,,,,4.871794871794871,101,39,,
kNN_geometry_same_nodes,bottleneck,5,80,275,0.34545454545454546,0.43564356435643564,,,,5.340909090909091,101,44,,
grid_adjacent_same_nodes,bottleneck,5,80,172,0.0,0.46534653465346537,,,,9.595744680851064,101,47,,
random_same_edge_budget,bottleneck,5,80,275,0.9563636363636364,0.9405940594059405,,,,3.6736842105263157,101,95,,
support_core_plus_bottleneck,core_plus_bottleneck,5,80,217,0.0,0.23129251700680273,0.102,32.97062316468875,32.94750681870431,,147,34,500.0,51.0
kNN_same_nodes,core_plus_bottleneck,5,80,217,0.4009216589861751,0.40816326530612246,,,,5.283333333333333,147,60,,
kNN_geometry_same_nodes,core_plus_bottleneck,5,80,217,0.35023041474654376,0.4557823129251701,,,,5.865671641791045,147,67,,
grid_adjacent_same_nodes,core_plus_bottleneck,5,80,144,0.0,0.23129251700680273,,,,9.852941176470589,147,34,,
random_same_edge_budget,core_plus_bottleneck,5,80,217,0.9585253456221198,0.9183673469387755,,,,4.4148148148148145,147,135,,
support_all_upper_bound,all,5,80,1141,0.0,0.992,0.996,34.192191891801706,35.73335953804925,,500,496,500.0,498.0
kNN_same_nodes,all,5,80,1141,0.5451358457493427,0.34,,,,4.4,500,170,,
kNN_geometry_same_nodes,all,5,80,1141,0.5398773006134969,0.34,,,,4.682352941176471,500,170,,
grid_adjacent_same_nodes,all,5,80,824,0.06674757281553398,1.0,,,,9.634,500,500,,
random_same_edge_budget,all,5,80,1141,0.9798422436459246,0.982,,,,3.928716904276986,500,491,,
support_density,density,5,120,374,0.0,0.4368932038834951,0.39,36.99159163194873,38.64718675238536,,309,135,500.0,195.0
kNN_same_nodes,density,5,120,374,0.42780748663101603,0.43042071197411,,,,5.135338345864661,309,133,,
kNN_geometry_same_nodes,density,5,120,374,0.36363636363636365,0.47249190938511326,,,,5.8561643835616435,309,146,,
grid_adjacent_same_nodes,density,5,120,246,0.0,0.4368932038834951,,,,10.925925925925926,309,135,,
random_same_edge_budget,density,5,120,374,0.9732620320855615,0.8770226537216829,,,,4.070110701107011,309,271,,
support_bottleneck,bottleneck,5,120,467,0.0,0.9414893617021277,0.65,34.06269712700238,35.79175281751081,,188,177,500.0,325.0
kNN_same_nodes,bottleneck,5,120,467,0.41113490364025695,0.4521276595744681,,,,5.047058823529412,188,85,,
kNN_geometry_same_nodes,bottleneck,5,120,467,0.3897216274089936,0.4627659574468085,,,,5.436781609195402,188,87,,
grid_adjacent_same_nodes,bottleneck,5,120,298,0.0,0.8031914893617021,,,,11.920529801324504,188,151,,
random_same_edge_budget,bottleneck,5,120,467,0.9635974304068522,0.9042553191489362,,,,3.388235294117647,188,170,,
support_core_plus_bottleneck,core_plus_bottleneck,5,120,398,0.0,0.46258503401360546,0.376,35.215451372037464,37.497027699651134,,294,136,500.0,188.0
kNN_same_nodes,core_plus_bottleneck,5,120,398,0.44221105527638194,0.3435374149659864,,,,4.920792079207921,294,101,,
kNN_geometry_same_nodes,core_plus_bottleneck,5,120,398,0.4045226130653266,0.38095238095238093,,,,5.508928571428571,294,112,,
grid_adjacent_same_nodes,core_plus_bottleneck,5,120,262,0.0,0.4387755102040816,,,,10.248062015503876,294,129,,
random_same_edge_budget,core_plus_bottleneck,5,120,398,0.9798994974874372,0.8979591836734694,,,,3.928030303030303,294,264,,
support_all_upper_bound,all,5,120,1141,0.0,0.992,0.996,34.192191891801706,35.73335953804925,,500,496,500.0,498.0
kNN_same_nodes,all,5,120,1141,0.5451358457493427,0.34,,,,4.4,500,170,,
