query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids,ep_id,num_virtual_edges_used,num_real_option_edges_used,virtual_edge_ratio
0,158,212,True,8,34.86459147676142,158 178 198 217 236 235 234 233 212,-1 170 182 250 324 319 314 -1,0,2,6,0.25
1,203,303,True,7,30.737080617618098,203 222 221 241 261 281 302 303,-1 256 254 328 338 351 -1,1,2,5,0.2857142857142857
2,1,12,False,0,inf,,,2,0,0,0.0
3,392,381,False,0,inf,,,3,0,0,0.0
4,41,9,False,0,inf,,,4,0,0,0.0
5,347,353,True,7,30.404198176244364,347 367 368 389 390 391 372 353,-1 442 447 459 461 462 -1,5,2,5,0.2857142857142857
6,283,384,False,0,inf,,,6,0,0,0.0
7,367,292,True,9,38.44149010284343,367 388 389 390 391 372 352 332 312 292,-1 457 459 461 462 448 431 417 -1,7,2,7,0.2222222222222222
8,381,392,False,0,inf,,,8,0,0,0.0
9,384,383,True,1,5.0,384 383,-1,9,1,0,1.0
10,315,229,True,7,30.80792662531669,315 294 273 252 232 231 230 229,-1 364 343 329 302 297 -1,10,2,5,0.2857142857142857
11,238,132,False,0,inf,,,11,0,0,0.0
12,30,126,True,8,34.503323257811786,30 9 8 27 47 67 87 107 126,-1 13 11 41 73 90 99 -1,12,2,6,0.25
13,223,340,True,8,34.53450693973204,223 222 221 241 261 281 301 321 340,-1 256 254 328 338 350 375 -1,13,2,6,0.25
14,227,47,True,9,38.55221279535414,227 206 186 166 146 126 106 86 66 47,-1 197 171 160 148 128 102 91 -1,14,2,7,0.2222222222222222
15,387,301,True,8,34.966190953457,387 367 347 326 305 304 303 302 301,-1 441 429 414 383 381 379 -1,15,2,6,0.25
16,300,366,True,8,34.69235260971341,300 301 302 303 304 305 326 347 366,-1 374 378 380 382 385 416 -1,16,2,6,0.25
17,227,312,True,8,34.03131308458889,227 208 209 210 231 252 272 292 312,-1 211 216 223 299 331 341 -1,17,2,6,0.25
18,124,7,True,7,30.693952514048444,124 125 106 86 66 46 26 7,-1 122 102 91 81 64 -1,18,2,5,0.2857142857142857
19,380,201,False,0,inf,,,19,0,0,0.0
20,306,201,True,9,38.64703800223852,306 305 304 303 302 281 261 241 221 201,-1 383 381 379 376 348 336 325 -1,20,2,7,0.2222222222222222
21,144,1,False,0,inf,,,21,0,0,0.0
22,260,383,False,0,inf,,,22,0,0,0.0
23,10,40,False,0,inf,,,23,0,0,0.0
24,384,304,False,0,inf,,,24,0,0,0.0
25,127,4,False,0,inf,,,25,0,0,0.0
26,318,392,True,9,38.56196809495055,318 317 316 315 314 313 332 352 372 392,-1 409 407 405 402 398 420 434 -1,26,2,7,0.2222222222222222
27,229,124,True,7,30.57964856566549,229 208 207 187 166 146 145 124,-1 210 205 176 160 150 -1,27,2,5,0.2857142857142857
28,301,227,True,9,39.99504431881149,301 281 261 241 222 223 204 205 206 227,-1 348 336 326 257 259 189 193 -1,28,2,7,0.2222222222222222
29,198,230,True,8,34.43659005698174,198 217 236 235 234 233 232 231 230,-1 250 324 319 314 308 302 -1,29,2,6,0.25
30,215,135,False,0,inf,,,30,0,0,0.0
31,221,381,False,0,inf,,,31,0,0,0.0
32,124,203,True,8,34.59843370015322,124 145 146 166 186 206 205 204 203,-1 146 152 163 174 199 192 -1,32,2,6,0.25
33,10,40,False,0,inf,,,33,0,0,0.0
34,306,220,True,8,34.544440167030004,306 305 304 303 302 281 261 241 220,-1 383 381 379 376 348 336 -1,34,2,6,0.25
35,55,6,True,9,38.56652885133193,55 54 53 32 11 10 9 8 7 6,-1 76 74 60 22 18 13 9 -1,35,2,7,0.2222222222222222
36,144,0,False,0,inf,,,36,0,0,0.0
37,390,252,True,8,34.4141549882243,390 391 372 352 332 312 292 272 252,-1 462 448 431 417 388 352 -1,37,2,6,0.25
38,7,187,True,9,38.504212350670194,7 26 46 66 86 106 126 146 166 187,-1 33 67 84 93 105 133 152 -1,38,2,7,0.2222222222222222
39,398,313,True,8,34.567990784988616,398 378 358 338 317 316 315 314 313,-1 451 439 427 409 407 405 -1,39,2,6,0.25
40,76,6,True,10,42.63394883757825,76 55 54 53 32 11 10 9 8 7 6,-1 78 76 74 60 22 18 13 9 -1,40,2,8,0.2
41,233,138,False,0,inf,,,41,0,0,0.0
42,58,9,False,0,inf,,,42,0,0,0.0
43,381,220,False,0,inf,,,43,0,0,0.0
44,153,238,False,0,inf,,,44,0,0,0.0
45,199,253,True,7,30.37591774907802,199 218 217 236 235 234 233 253,-1 252 250 324 319 314 -1,45,2,5,0.2857142857142857
46,153,238,False,0,inf,,,46,0,0,0.0
47,346,260,True,7,30.865201484255266,346 326 305 304 303 302 281 260,-1 414 383 381 379 376 -1,47,2,5,0.2857142857142857
48,41,10,False,0,inf,,,48,0,0,0.0
49,155,236,False,0,inf,,,49,0,0,0.0
50,3,147,False,0,inf,,,50,0,0,0.0
51,139,212,False,0,inf,,,51,0,0,0.0
52,238,133,False,0,inf,,,52,0,0,0.0
53,386,301,True,8,34.966190953457,386 367 347 326 305 304 303 302 301,-1 441 429 414 383 381 379 -1,53,2,6,0.25
54,327,260,True,7,30.489969463830178,327 306 305 304 303 302 281 260,-1 386 383 381 379 376 -1,54,2,5,0.2857142857142857
55,23,120,False,0,inf,,,55,0,0,0.0
56,358,273,True,6,26.707583715542,358 338 317 316 315 294 273,-1 427 409 407 404 -1,56,2,4,0.3333333333333333
57,4,52,False,0,inf,,,57,0,0,0.0
58,186,235,True,9,37.98695891287926,186 207 208 209 210 231 232 213 234 235,-1 207 211 216 223 298 301 232 -1,58,2,7,0.2222222222222222
59,223,123,True,9,38.60834608350609,223 204 205 206 186 166 146 145 144 123,-1 189 193 197 171 160 150 145 -1,59,2,7,0.2222222222222222
60,107,210,True,8,34.45063685143054,107 126 146 166 186 207 208 209 210,-1 133 152 163 175 207 211 -1,60,2,6,0.25
61,358,353,True,8,34.53261240046554,358 338 317 316 315 314 313 333 353,-1 427 409 407 405 402 399 -1,61,2,6,0.25
62,380,392,False,0,inf,,,62,0,0,0.0
63,209,198,True,9,38.08792360572697,209 230 231 232 213 234 235 216 217 198,-1 294 298 301 232 315 318 244 -1,63,2,7,0.2222222222222222
64,261,347,True,7,30.771966775697468,261 281 302 303 304 305 326 347,-1 351 378 380 382 385 -1,64,2,5,0.2857142857142857
65,299,393,False,0,inf,,,65,0,0,0.0
66,138,232,True,9,40.05357371326603,138 157 178 198 217 236 235 234 233 232,-1 159 170 182 250 324 319 314 -1,66,2,7,0.2222222222222222
67,46,52,True,6,26.187521492770365,46 27 28 29 30 31 52,-1 39 46 51 55 -1,67,2,4,0.3333333333333333
68,152,238,False,0,inf,,,68,0,0,0.0
69,9,127,True,7,30.41906520837772,9 28 27 47 67 87 107 127,-1 45 41 73 90 99 -1,69,2,5,0.2857142857142857
70,24,53,False,0,inf,,,70,0,0,0.0
