cluster,selected,selection_method,density,bottleneck_score,rank_density,rank_bottleneck
0,False,bottleneck,0.003585,0.14025164268504475,120,182
1,False,bottleneck,0.00907,0.3167032095721405,21,122
2,False,bottleneck,0.00347,0.2603284461114603,125,136
3,False,bottleneck,0.0082,0.4477987774953572,28,85
4,False,bottleneck,0.0091,0.5708371775563242,19,65
5,False,bottleneck,0.00468,0.2972332506137532,92,129
6,False,bottleneck,0.010255,0.4942256235210543,13,77
7,False,bottleneck,0.010105,0.5426091782944411,15,71
8,False,bottleneck,0.00467,0.44278117330053407,93,87
9,True,bottleneck,0.01447,0.8979178206761399,3,27
10,False,bottleneck,0.010545,0.6435638621308869,11,52
11,False,bottleneck,0.00518,0.4773074013808554,75,81
12,False,bottleneck,0.01313,0.43437802956184957,4,90
13,False,bottleneck,0.005725,0.26786882451950045,61,135
17,False,bottleneck,1.5e-05,0.0002139694961552164,258,254
18,False,bottleneck,0.00224,0.2748189330623374,155,133
19,False,bottleneck,0.00079,0.022785072120114158,212,226
20,False,bottleneck,0.001795,0.10761013973360863,166,190
21,False,bottleneck,0.003125,0.21366093214958526,134,154
22,False,bottleneck,0.000645,0.10340608405279894,220,191
23,False,bottleneck,0.00144,0.048884457371901086,180,217
24,False,bottleneck,0.00069,0.09826148706605403,216,195
25,False,bottleneck,0.001285,0.14604285803590386,191,179
26,False,bottleneck,0.00467,0.6157022221184753,94,57
27,True,bottleneck,0.00359,1.2483050882681392,119,6
28,False,bottleneck,0.000865,0.13872549184585622,208,183
29,False,bottleneck,0.001155,0.6535390451973578,198,50
30,False,bottleneck,0.001225,0.2051865350558051,194,157
31,True,bottleneck,0.00336,0.7038170681089723,128,39
32,False,bottleneck,0.007805,0.5472985106568845,31,69
33,False,bottleneck,0.00316,0.586989255123132,133,62
34,False,bottleneck,4.5e-05,0.002061690788512975,249,248
37,False,bottleneck,8.5e-05,0.030854207625194113,246,224
38,False,bottleneck,0.001305,0.19135263746963022,190,162
39,False,bottleneck,0.000655,0.03131232383867153,219,222
40,False,bottleneck,0.00354,0.12607432710642724,122,188
41,False,bottleneck,0.005345,0.2999362179629233,69,128
42,False,bottleneck,2.5e-05,0.004088329514580324,253,245
45,False,bottleneck,2e-05,0.0001275390726461412,255,255
46,True,bottleneck,0.01195,1.1664980998843537,8,10
47,False,bottleneck,0.009835,0.658386063454484,16,48
52,False,bottleneck,0.00558,0.5689117131441633,63,67
53,False,bottleneck,0.00707,0.6145816993069612,42,58
54,False,bottleneck,0.00308,0.5797911426204267,135,64
55,False,bottleneck,0.0048,0.3575098193411884,89,112
56,False,bottleneck,0.002965,0.4071246256518127,137,99
57,False,bottleneck,0.002645,0.3408782592771814,148,118
58,False,bottleneck,0.004235,0.24268714678655726,101,145
59,False,bottleneck,0.000695,0.022494135379810647,215,228
60,False,bottleneck,0.000965,0.08439023029664507,205,199
61,False,bottleneck,0.001925,0.2862921377827039,164,132
62,False,bottleneck,2e-05,0.0015473213726934672,256,251
66,False,bottleneck,0.00398,0.3842525631156757,109,105
67,False,bottleneck,0.003255,0.6414720104863385,130,54
72,False,bottleneck,0.000395,0.0173082956435876,233,232
73,False,bottleneck,0.00067,0.06052151705488216,218,208
74,False,bottleneck,0.00103,0.07144681547666562,204,204
75,False,bottleneck,0.00076,0.1369255584263865,213,184
76,False,bottleneck,0.00064,0.06171081848533297,221,207
77,False,bottleneck,0.000205,0.017659595586950943,240,231
78,False,bottleneck,0.00043,0.03195094935459233,229,221
79,False,bottleneck,0.000225,0.0056109176711610035,239,241
80,False,bottleneck,0.00317,0.18328640465651386,132,166
81,False,bottleneck,0.00449,0.3837797313718477,98,106
86,True,bottleneck,0.008785,1.1216278354671452,22,14
87,True,bottleneck,0.00718,0.9820359200257925,40,22
100,False,bottleneck,0.00176,0.12947986087073754,170,185
101,False,bottleneck,0.002955,0.33748610545286317,139,119
102,False,bottleneck,0.0002,0.014999952960252229,241,235
105,False,bottleneck,6.5e-05,0.004555533694571326,247,243
106,True,bottleneck,0.004595,0.8607825119832312,96,31
107,True,bottleneck,0.00337,0.8814227627528947,127,29
120,False,bottleneck,0.00435,0.2560120390689332,99,138
121,False,bottleneck,0.00952,0.6495529827524277,18,51
122,False,bottleneck,0.00305,0.4416800045906272,136,89
123,False,bottleneck,0.005805,0.47731711132259325,57,80
124,False,bottleneck,0.00689,0.6901232461389545,44,41
125,False,bottleneck,0.003505,0.30887955897061703,123,126
126,False,bottleneck,0.009095,0.6850386993644425,20,42
127,True,bottleneck,0.00532,1.181694780615308,71,9
132,False,bottleneck,0.001245,0.04520859264846459,192,218
133,False,bottleneck,0.001695,0.12631707941935494,171,187
134,False,bottleneck,0.001105,0.08919101905352211,201,197
135,False,bottleneck,0.00334,0.2721787524385506,129,134
136,False,bottleneck,0.003255,0.23693612053738355,131,146
137,False,bottleneck,0.002965,0.22503932313254255,138,150
138,False,bottleneck,0.002,0.07284408578446303,160,203
139,False,bottleneck,0.000435,0.017090113022197442,228,233
140,False,bottleneck,0.00144,0.08869062203317242,181,198
141,False,bottleneck,0.00345,0.20258872700155117,126,159
142,False,bottleneck,0.000685,0.06049601334577748,217,209
143,False,bottleneck,0.00196,0.1909022653567986,162,163
144,False,bottleneck,0.002645,0.2054002707652713,149,156
145,False,bottleneck,0.001775,0.3421796239066125,168,117
146,True,bottleneck,0.006465,1.2918859947622392,47,3
147,False,bottleneck,0.003625,0.34793528116491385,118,116
152,False,bottleneck,0.000565,0.020220964644953182,224,230
153,False,bottleneck,0.00027,0.03635598561363934,238,220
154,False,bottleneck,0.0001,0.01657756860921688,245,234
155,False,bottleneck,0.001405,0.1485009058187913,184,178
156,False,bottleneck,0.00118,0.1584845927422271,196,173
157,False,bottleneck,0.004165,0.24927209447458124,104,141
158,False,bottleneck,0.003715,0.5358779082873368,115,73
159,False,bottleneck,0.00054,0.05267431254262234,226,213
165,False,bottleneck,0.00011,0.005670702949719417,244,240
166,True,bottleneck,0.00776,0.8569818594474089,33,32
167,True,bottleneck,0.005095,1.3357884073864643,82,2
177,False,bottleneck,0.000605,0.03904996601665562,223,219
178,False,bottleneck,0.00622,0.5668323279398094,52,68
179,False,bottleneck,0.000905,0.12536951124189435,207,189
185,False,bottleneck,0.00062,-0.008351068681713113,222,260
186,True,bottleneck,0.00718,1.2843709165327069,41,4
187,True,bottleneck,0.005175,1.1419228689989793,76,12
188,False,bottleneck,3e-05,0.0018477212923577587,251,250
197,False,bottleneck,0.0003,0.01314149667708554,236,236
198,False,bottleneck,0.006905,0.6242252993529385,43,55
199,False,bottleneck,0.001125,0.0571562659538303,199,210
200,False,bottleneck,0.00166,0.10334485329938835,174,192
201,False,bottleneck,0.003815,0.2337683854536567,114,148
202,False,bottleneck,0.00165,0.1610378633544082,175,172
203,False,bottleneck,0.00391,0.420505443133842,111,94
204,True,bottleneck,0.00524,0.7820937747631929,74,34
205,False,bottleneck,0.002745,0.5395771851089068,145,72
206,True,bottleneck,0.007895,1.067174264901552,29,19
207,True,bottleneck,0.007825,1.3972225133438927,30,1
208,True,bottleneck,0.00363,0.901984607927955,117,26
209,True,bottleneck,0.006,1.2040851850136032,54,7
210,False,bottleneck,0.005835,0.665031004775942,56,46
211,False,bottleneck,0.002585,0.35559798926010366,151,113
212,False,bottleneck,0.00752,0.5858748306458231,36,63
213,False,bottleneck,0.004515,0.40527943068192657,97,100
214,False,bottleneck,0.001915,0.4101470785549331,165,98
215,False,bottleneck,0.006525,0.6704601283040799,46,44
216,False,bottleneck,0.00407,0.41615096501680415,105,96
217,False,bottleneck,0.00419,0.5697363003069251,103,66
218,True,bottleneck,0.008605,0.8816696613244259,26,28
219,False,bottleneck,0.001315,0.08047256224915397,189,200
220,False,bottleneck,0.00349,0.29411727645584745,124,130
221,False,bottleneck,0.007795,0.5931135772653867,32,60
222,True,bottleneck,0.001795,0.9050989791035347,167,25
223,False,bottleneck,0.00495,0.4482084322085275,85,84
224,False,bottleneck,0.005755,0.6191565157353949,58,56
225,False,bottleneck,0.001425,0.18434414970554172,182,165
226,False,bottleneck,0.005885,0.4615167349457846,55,82
227,False,bottleneck,0.005305,0.3779954333962453,72,110
228,False,bottleneck,0.00165,0.22363139569007942,176,151
229,False,bottleneck,0.007375,0.6570534259161989,38,49
230,True,bottleneck,0.006075,0.6928147497270761,53,40
231,True,bottleneck,0.00262,1.1411627055128795,150,13
232,True,bottleneck,0.01199,1.0962254186468878,7,18
233,True,bottleneck,0.008765,1.1619791581108354,23,11
234,False,bottleneck,0.00283,0.3826013493588073,142,107
235,True,bottleneck,0.00972,0.7237432083932548,17,37
236,False,bottleneck,0.00571,0.6119887066641122,62,59
237,False,bottleneck,0.00193,0.2059522452592291,163,155
238,False,bottleneck,0.004995,0.25799169126432625,84,137
239,False,bottleneck,0.001375,0.06900389557804566,186,205
240,False,bottleneck,0.003985,0.20127935742803282,108,160
241,True,bottleneck,0.00492,1.1119894608452026,88,16
242,False,bottleneck,0.000415,-0.0033876390177937053,230,259
251,False,bottleneck,0.00051,0.028481674729403918,227,225
252,True,bottleneck,0.007445,1.1940024538182468,37,8
253,False,bottleneck,0.0039,0.25249512176229233,112,139
260,False,bottleneck,0.004935,0.3803723468349041,86,109
261,False,bottleneck,0.008305,0.524234110076884,27,74
262,False,bottleneck,1e-05,0.0007736606863467336,260,253
271,False,bottleneck,0.00039,0.006509728433400512,234,239
272,False,bottleneck,0.011495,0.680761705411858,10,43
273,True,bottleneck,0.006425,0.8389728572309009,48,33
274,False,bottleneck,0.00041,-0.002354687060919746,231,258
280,False,bottleneck,0.00268,0.1573221126681728,147,174
281,True,bottleneck,0.00515,0.9348398527024541,78,24
282,False,bottleneck,0.00207,0.14142732173778683,159,181
283,False,bottleneck,0.0024,0.2464587211465257,154,143
284,False,bottleneck,0.002715,0.16435636237942086,146,171
285,False,bottleneck,0.001675,0.15447231148438229,173,175
286,False,bottleneck,0.001355,0.07714186254526498,187,201
287,False,bottleneck,0.000945,0.052287461125738885,206,214
291,False,bottleneck,0.00031,0.0042425431470093315,235,244
292,True,bottleneck,0.00642,1.1119155647980608,49,17
293,False,bottleneck,0.004665,0.6637254553314909,95,47
294,False,bottleneck,0.00151,0.247049473283392,179,142
295,False,bottleneck,0.00154,0.19981295828437853,178,161
296,False,bottleneck,0.00139,0.18313780251218428,185,167
297,False,bottleneck,0.001225,0.10136424190815181,195,193
298,False,bottleneck,0.001235,0.054886124148979705,193,211
299,False,bottleneck,0.00013,0.010057588922507538,242,237
300,False,bottleneck,0.00528,0.4116628089621737,73,97
301,True,bottleneck,0.01014,0.752293892421816,14,35
302,False,bottleneck,0.00392,0.3154795153213111,110,123
303,False,bottleneck,0.00512,0.5022402655473627,81,76
304,False,bottleneck,0.005095,0.3238738158098885,83,121
305,False,bottleneck,0.00427,0.45711702681465477,100,83
306,False,bottleneck,0.0087,0.48059737202926056,24,79
307,False,bottleneck,0.00547,0.29008576212527676,67,131
311,False,bottleneck,2.5e-05,0.001934151715866834,254,249
312,True,bottleneck,0.017355,1.0306249533555365,1,21
313,True,bottleneck,0.011675,1.0310349539355537,9,20
314,False,bottleneck,0.003895,0.3735448779339313,113,111
315,False,bottleneck,0.007305,0.6423751221008027,39,53
316,False,bottleneck,0.004935,0.3489044765671307,87,115
317,False,bottleneck,0.00477,0.5899983588744228,91,61
318,False,bottleneck,0.00653,0.33510756530484703,45,120
319,False,bottleneck,0.00134,0.05028037644567193,188,215
320,False,bottleneck,0.002865,0.179092048340529,141,168
321,False,bottleneck,0.00368,0.54501111574303,116,70
322,False,bottleneck,3e-05,0.0023209820590402008,252,247
325,False,bottleneck,0.000555,0.031106648925182664,225,223
326,False,bottleneck,0.005135,0.389921676410541,80,103
327,False,bottleneck,0.001165,0.12641032966074855,197,186
331,False,bottleneck,0.000405,-0.00037521357068090195,232,257
332,True,bottleneck,0.006355,1.1193297827327333,51,15
333,False,bottleneck,0.002475,0.22809069445264427,153,149
337,False,bottleneck,0.001105,0.053960178259952044,202,212
338,False,bottleneck,0.003545,0.404090924222363,121,101
339,False,bottleneck,0.000295,0.022596358868640296,237,227
340,False,bottleneck,0.00514,0.30925114840300405,79,125
341,False,bottleneck,0.00867,0.4920301440106474,25,78
342,False,bottleneck,4.5e-05,0.004642825984315204,250,242
346,False,bottleneck,0.005485,0.30442383712740995,66,127
347,False,bottleneck,0.004785,0.44168359075276953,90,88
348,False,bottleneck,1.5e-05,0.0011604910295201004,259,252
352,False,bottleneck,0.01511,0.6701754396575299,2,45
353,False,bottleneck,0.00574,0.5158712420005324,60,75
357,False,bottleneck,5.5e-05,0.0023620907081772667,248,246
358,True,bottleneck,0.005325,1.2567413729599695,70,5
359,False,bottleneck,0.000845,0.020514508638415557,210,229
360,False,bottleneck,0.00221,0.14855843946135497,157,177
361,False,bottleneck,0.00541,0.38114217487639973,68,108
362,False,bottleneck,0.001635,0.1416299808260635,177,180
363,False,bottleneck,0.0008,0.0621296591614629,211,206
364,False,bottleneck,0.000865,0.09282020718624516,209,196
365,False,bottleneck,0.00075,0.07385094400348659,214,202
366,False,bottleneck,0.002765,0.21513512475890656,144,152
367,False,bottleneck,0.004065,0.4287786546538285,106,92
368,False,bottleneck,0.00255,0.3895040489994134,152,104
369,False,bottleneck,0.00169,0.17223662213316565,172,170
