query_id,reachable,num_adjacent_edge_pairs,strict_compatible_rate
0,True,3,1.0
1,True,2,1.0
2,True,2,1.0
3,True,3,1.0
4,False,0,0.0
5,True,3,1.0
6,False,0,0.0
7,True,3,1.0
8,True,2,0.5
9,False,0,0.0
10,True,2,0.5
11,True,2,0.5
12,True,2,1.0
13,True,2,0.5
14,True,0,1.0
15,False,0,0.0
16,True,2,1.0
17,False,0,0.0
18,True,1,1.0
19,True,2,0.5
20,True,2,0.5
21,True,2,1.0
22,True,2,0.5
23,True,2,0.5
24,True,2,0.5
25,True,2,0.5
26,True,3,0.6666666666666666
27,False,0,0.0
28,True,3,1.0
29,False,0,0.0
30,False,0,0.0
31,True,2,1.0
