cluster,num_segments,num_episodes,min_h,median_h,mean_h,max_h
7,17617,107,1,8.0,10.074927626724186,25
8,4155,105,1,3.0,3.995667870036101,18
9,32711,126,1,9.0,10.815352633670631,25
10,15064,126,1,6.0,8.785448751991503,25
18,6824,14,1,10.5,11.376905041031653,25
26,5741,85,1,5.0,6.348022992510016,25
27,4112,74,1,4.0,5.584630350194552,25
32,15706,105,1,8.0,9.461352349420604,25
46,23879,97,1,8.0,10.289124335189916,25
47,16893,84,1,7.0,9.94459243473628,25
86,14854,86,1,7.0,9.285377676046856,25
126,11320,124,1,5.0,7.704593639575972,25
146,7055,109,1,4.0,6.191353649893692,25
147,3430,59,1,4.0,6.32128279883382,25
166,11814,88,1,6.0,8.246402573218216,25
186,10634,94,1,6.0,8.590652623659958,25
198,9932,93,1,6.0,7.5455094643576315,25
206,9528,116,1,5.0,7.101700251889169,25
207,10733,117,1,6.0,8.024690207770428,25
208,4548,64,1,5.0,5.7240545294635,24
209,6449,87,1,5.0,7.801364552643821,25
218,11038,113,1,5.0,7.546657003080268,25
221,11809,88,1,6.0,9.075366246083496,25
229,10809,75,1,7.0,10.20316402997502,25
230,7264,70,1,5.0,8.768997797356828,25
231,2609,60,1,4.0,5.3545419701034875,24
232,18007,133,1,7.0,9.578386183150997,25
233,9945,121,1,5.0,7.252287581699346,25
235,16193,97,1,8.0,10.423207558821714,25
252,10838,98,1,6.0,8.044104078243219,25
261,15413,69,1,8.0,10.005644585739311,25
272,21634,105,1,8.0,10.122723490801516,25
292,7512,108,1,5.0,6.800053248136315,25
312,39632,120,1,9.0,10.927508074283407,25
313,14294,145,1,5.0,8.116062683643486,25
332,7150,109,1,4.0,5.8076923076923075,25
352,34828,116,1,9.0,10.634575628804411,25
372,12845,112,1,6.0,8.231374075515765,25
389,26117,120,1,9.0,10.583489681050656,25
390,15057,124,1,6.0,8.586571030085674,25
