edge_id,src,dst,num_segments,num_episodes,num_unique_starts,num_unique_terminations,min_h,median_h,mean_h,max_h,num_unique_start_goal_pairs,num_unique_episodes,support_density_per_episode,support_count,reverse_support_raw,reverse_support_certified,reverse_support_count,asymmetry,src_density,dst_density,src_bottleneck_score,dst_bottleneck_score,edge_bottleneck_score,cost,cost_support_unit
0,7,8,602,42,199,207,1,4.0,3.6561461794019934,5,602,42,14.333333333333334,602,624,624,624,-0.01794453507340945,0.010105,0.00467,0.5800016512476838,0.7368347664948858,0.7368347664948858,4.070888120500833,unique_starts
1,7,27,338,31,126,130,1,4.0,3.4437869822485205,5,338,31,10.903225806451612,338,257,257,257,0.13613445378151237,0.010105,0.00359,0.5800016512476838,1.0828043461587458,1.0828043461587458,4.089087080637475,unique_starts
2,8,7,624,49,224,214,1,4.0,3.628205128205128,5,624,49,12.73469387755102,624,602,602,602,0.01794453507340945,0.00467,0.010105,0.7368347664948858,0.5800016512476838,0.7368347664948858,4.066815310478106,unique_starts
3,8,9,628,43,211,211,1,4.0,3.6544585987261144,5,628,43,14.604651162790697,628,769,769,769,-0.10093056549749456,0.00467,0.01447,0.7368347664948858,0.9798789539186675,0.9798789539186675,4.068842839082151,unique_starts
4,8,27,122,18,53,53,1,4.0,4.016393442622951,5,122,18,6.777777777777778,122,23,23,23,0.6827586206896505,0.00467,0.00359,0.7368347664948858,1.0828043461587458,1.0828043461587458,4.137360563948689,unique_starts
5,9,8,769,58,270,264,1,4.0,3.6306892067620287,5,769,58,13.258620689655173,769,628,628,628,0.10093056549749456,0.01447,0.00467,0.9798789539186675,0.7368347664948858,0.9798789539186675,4.0608580619450185,unique_starts
6,9,10,2085,66,719,696,1,4.0,3.631654676258993,5,2085,66,31.59090909090909,2085,2433,2433,2433,-0.07702523240371845,0.01447,0.010545,0.9798789539186675,0.9515908662170119,0.9798789539186675,4.03729370703141,unique_starts
7,9,30,36,6,21,13,1,4.0,3.8333333333333335,5,36,6,6.0,36,68,68,68,-0.30769230769230477,0.01447,0.001225,0.9798789539186675,0.5622489774048703,0.9798789539186675,4.218217890235993,unique_starts
8,10,9,2433,80,815,836,1,4.0,3.6206329634196464,5,2433,80,30.4125,2433,2085,2085,2085,0.07702523240371845,0.010545,0.01447,0.9515908662170119,0.9798789539186675,0.9798789539186675,4.0350284722052026,unique_starts
9,10,11,555,37,185,185,1,4.0,3.6666666666666665,5,555,37,15.0,555,731,731,731,-0.13685847589424563,0.010545,0.00518,0.9515908662170119,0.6020644764586397,0.9515908662170119,4.0735214622093805,unique_starts
10,10,30,167,15,64,62,1,3.0,3.281437125748503,5,167,15,11.133333333333333,167,241,241,241,-0.1813725490196074,0.010545,0.001225,0.9515908662170119,0.5622489774048703,0.9515908662170119,3.125,unique_starts
