query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids,ep_id,num_virtual_edges_used,num_real_option_edges_used,virtual_edge_ratio
0,158,212,True,8,34.86459147676142,158 178 198 217 236 235 234 233 212,-1 142 154 220 289 284 279 -1,0,2,6,0.25
1,203,303,False,0,inf,,,1,0,0,0.0
2,1,12,False,0,inf,,,2,0,0,0.0
3,392,381,False,0,inf,,,3,0,0,0.0
4,41,9,False,0,inf,,,4,0,0,0.0
5,347,353,False,0,inf,,,5,0,0,0.0
6,283,384,False,0,inf,,,6,0,0,0.0
7,367,292,False,0,inf,,,7,0,0,0.0
8,381,392,False,0,inf,,,8,0,0,0.0
9,384,383,True,1,5.0,384 383,-1,9,1,0,1.0
10,315,229,False,0,inf,,,10,0,0,0.0
11,238,132,False,0,inf,,,11,0,0,0.0
12,30,126,True,8,34.503323257811786,30 9 8 27 47 67 87 107 126,-1 14 13 37 63 83 92 -1,12,2,6,0.25
13,223,340,False,0,inf,,,13,0,0,0.0
14,227,47,True,9,38.55221279535414,227 206 186 166 146 126 106 86 66 47,-1 169 143 132 121 109 93 84 -1,14,2,7,0.2222222222222222
15,387,301,False,0,inf,,,15,0,0,0.0
16,300,366,False,0,inf,,,16,0,0,0.0
17,227,312,True,8,34.03131308458889,227 208 209 210 231 252 272 292 312,-1 183 187 193 264 298 308 -1,17,2,6,0.25
18,124,7,True,9,38.758263985408355,124 145 146 126 106 86 66 47 27 7,-1 120 121 109 93 84 75 60 -1,18,2,7,0.2222222222222222
19,380,201,False,0,inf,,,19,0,0,0.0
20,306,201,False,0,inf,,,20,0,0,0.0
21,144,1,False,0,inf,,,21,0,0,0.0
22,260,383,False,0,inf,,,22,0,0,0.0
23,10,40,False,0,inf,,,23,0,0,0.0
24,384,304,False,0,inf,,,24,0,0,0.0
25,127,4,True,8,34.707196841504455,127 107 87 67 47 27 6 5 4,-1 99 89 80 60 33 5 -1,25,2,6,0.25
26,318,392,False,0,inf,,,26,0,0,0.0
27,229,124,True,7,30.57964856566549,229 208 207 187 166 146 145 124,-1 182 177 148 132 123 -1,27,2,5,0.2857142857142857
28,301,227,True,9,39.99504431881149,301 281 261 241 222 223 204 205 206 227,-1 315 303 293 229 231 161 165 -1,28,2,7,0.2222222222222222
29,198,230,True,8,34.43659005698174,198 217 236 235 234 233 232 231 230,-1 220 289 284 279 273 267 -1,29,2,6,0.25
30,215,135,False,0,inf,,,30,0,0,0.0
31,221,381,False,0,inf,,,31,0,0,0.0
