cluster,num_segments,num_episodes,min_h,median_h,mean_h,max_h
1,7056,72,1,3.0,2.824263038548753,5
4,6679,93,1,3.0,2.7680790537505615,5
6,7370,109,1,3.0,2.756987788331072,5
7,7118,106,1,3.0,2.7416409103680808,5
9,11039,126,1,3.0,2.8056889210979254,5
10,7194,126,1,3.0,2.711148179038087,5
12,10372,88,1,3.0,2.8410142691862705,5
27,2459,74,1,3.0,2.7295648637657584,5
46,8824,97,1,3.0,2.791251133272892,5
47,6921,84,1,3.0,2.748446756249097,5
54,1977,70,1,2.0,2.671219018715225,5
55,3484,69,1,3.0,2.772675086107922,5
56,1898,61,1,2.0,2.654899894625922,5
86,6372,86,1,3.0,2.76789077212806,5
121,6776,80,1,3.0,2.761806375442739,5
126,6035,124,1,3.0,2.6969345484672744,5
146,4241,109,1,3.0,2.695119075689696,5
166,5451,88,1,3.0,2.753072830673271,5
186,4896,94,1,3.0,2.739174836601307,5
187,3233,71,1,2.0,2.6702752861119703,5
206,5225,116,1,3.0,2.6999043062200956,5
207,5258,117,1,3.0,2.721186763027767,5
208,2649,63,1,3.0,2.7659494148735373,5
209,3640,87,1,2.0,2.6244505494505495,5
229,4637,75,1,2.0,2.654518007332327,5
230,3645,70,1,2.0,2.6087791495198904,5
231,1686,60,1,3.0,2.6725978647686834,5
232,7904,133,1,3.0,2.695723684210526,5
233,5558,121,1,2.0,2.663727959697733,5
235,6444,97,1,3.0,2.6944444444444446,5
241,3117,73,1,3.0,2.67404555662496,5
252,5222,98,1,3.0,2.7481807736499424,5
272,8333,104,1,3.0,2.7693507740309613,5
301,7408,120,1,3.0,2.775917926565875,5
312,13120,120,1,3.0,2.8121951219512193,5
313,7644,145,1,3.0,2.6780481423338567,5
352,11678,116,1,3.0,2.8277958554547014,5
389,9269,119,1,3.0,2.7779695760060417,5
390,7196,124,1,3.0,2.7285992217898833,5
392,9392,90,1,3.0,2.820272572402044,5
