query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids
0,1,12,False,0,inf,,
1,55,6,False,0,inf,,
2,390,252,False,0,inf,,
3,7,187,False,0,inf,,
4,186,235,False,0,inf,,
5,4,121,False,0,inf,,
6,312,206,False,0,inf,,
7,121,46,False,0,inf,,
8,1,12,False,0,inf,,
9,7,55,False,0,inf,,
10,4,126,False,0,inf,,
11,272,187,True,8,32.80595823001738,272 252 232 231 230 209 208 207 187,62 59 54 51 48 42 39 36
12,9,126,False,0,inf,,
13,86,187,False,0,inf,,
14,126,10,False,0,inf,,
15,272,389,False,0,inf,,
16,389,272,False,0,inf,,
17,121,47,False,0,inf,,
18,1,12,False,0,inf,,
19,86,1,False,0,inf,,
20,12,1,False,0,inf,,
21,55,6,False,0,inf,,
22,233,392,False,0,inf,,
23,55,7,False,0,inf,,
24,312,232,False,0,inf,,
25,6,187,False,0,inf,,
26,55,6,False,0,inf,,
27,121,4,False,0,inf,,
28,121,4,False,0,inf,,
29,6,56,False,0,inf,,
30,86,229,False,0,inf,,
31,126,10,False,0,inf,,
32,252,186,True,7,28.848010140030617,252 232 231 230 209 208 207 186,59 54 51 48 42 39 35
33,10,126,False,0,inf,,
34,47,207,False,0,inf,,
35,207,46,False,0,inf,,
36,121,4,False,0,inf,,
37,55,6,False,0,inf,,
38,56,6,False,0,inf,,
39,7,166,False,0,inf,,
40,6,55,False,0,inf,,
41,241,209,False,0,inf,,
42,56,7,False,0,inf,,
43,55,7,False,0,inf,,
