cluster,selected,selection_method,density,bottleneck_score,rank_density,rank_bottleneck
0,False,core_plus_bottleneck,0.00357,0.13957664844312323,120,182
1,True,core_plus_bottleneck,0.008985,0.316470839586252,21,124
2,False,core_plus_bottleneck,0.00347,0.26195836863543637,125,137
3,True,core_plus_bottleneck,0.00814,0.4504179581753107,28,85
4,True,core_plus_bottleneck,0.00906,0.5715183745747777,20,65
5,False,core_plus_bottleneck,0.00468,0.29913681080426924,93,130
6,True,core_plus_bottleneck,0.01022,0.4961814987946058,13,77
7,True,core_plus_bottleneck,0.01003,0.5438863272198353,15,72
8,False,core_plus_bottleneck,0.00467,0.44522782026290825,94,87
9,True,core_plus_bottleneck,0.01436,0.8985525442843167,3,27
10,True,core_plus_bottleneck,0.0105,0.6429955164427399,11,53
11,False,core_plus_bottleneck,0.00518,0.4795554217631592,78,80
12,True,core_plus_bottleneck,0.01302,0.4361623375069996,4,91
13,False,core_plus_bottleneck,0.00566,0.26468005706579933,62,135
17,False,core_plus_bottleneck,1.5e-05,0.00021501420460860634,258,254
18,False,core_plus_bottleneck,0.002225,0.27421629593750835,155,133
19,False,core_plus_bottleneck,0.000785,0.023020857878333863,212,226
20,False,core_plus_bottleneck,0.001795,0.10831604496562622,167,191
21,False,core_plus_bottleneck,0.00312,0.21500872576018745,134,154
22,False,core_plus_bottleneck,0.000645,0.10375808411299706,220,192
23,False,core_plus_bottleneck,0.001435,0.04906443412085318,180,217
24,False,core_plus_bottleneck,0.00069,0.09858975196190087,216,195
25,False,core_plus_bottleneck,0.001285,0.1466019275517016,191,179
26,True,core_plus_bottleneck,0.004735,0.6213388971265686,92,57
27,True,core_plus_bottleneck,0.00359,1.2497514449618035,119,6
28,False,core_plus_bottleneck,0.000865,0.1391708631858659,208,183
29,True,core_plus_bottleneck,0.00115,0.6532209442873017,198,50
30,False,core_plus_bottleneck,0.001215,0.20596604920194184,195,157
31,True,core_plus_bottleneck,0.003355,0.7049675539909721,128,39
32,True,core_plus_bottleneck,0.007795,0.5495509391370124,33,69
33,False,core_plus_bottleneck,0.003155,0.5884380071157341,132,62
34,False,core_plus_bottleneck,4.5e-05,0.0020763403237494833,249,248
37,False,core_plus_bottleneck,8.5e-05,0.03088827641946104,246,224
38,False,core_plus_bottleneck,0.001305,0.1919003050301699,189,163
39,False,core_plus_bottleneck,0.000655,0.0315089225928482,219,222
40,False,core_plus_bottleneck,0.00351,0.12635530475722237,123,188
41,False,core_plus_bottleneck,0.005325,0.3011084601212552,73,128
42,False,core_plus_bottleneck,2.5e-05,0.004095188655281012,253,245
45,False,core_plus_bottleneck,2e-05,0.00012765252726440132,255,255
46,True,core_plus_bottleneck,0.011935,1.1683070268428546,7,10
47,True,core_plus_bottleneck,0.009755,0.657878239899672,16,48
52,False,core_plus_bottleneck,0.00554,0.5699317261947737,65,67
53,True,core_plus_bottleneck,0.00705,0.6165293323386316,42,58
54,False,core_plus_bottleneck,0.00308,0.5813209717953979,135,64
55,False,core_plus_bottleneck,0.004765,0.35821428576498054,90,112
56,False,core_plus_bottleneck,0.002965,0.40801068940037033,138,99
