query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids,ep_id
0,158,212,True,6,54.2766671101331,158 198 218 236 235 233 212,132 178 228 225,0
1,203,303,True,4,37.43545476855341,203 221 241 281 303,180 232,1
2,1,12,True,7,61.34628563616871,1 3 4 6 7 9 10 12,2 4 7 11 15,2
3,392,381,True,15,144.04823577267365,392 372 332 292 252 231 209 207 206 224 222 241 281 301 341 381,294 280 254 233 203 155 145 141 186 184 232 253 267,3
4,41,9,False,0,inf,,,4
5,347,353,False,0,inf,,,5
6,283,384,True,19,175.54835294982536,283 301 281 241 222 204 206 207 209 231 252 292 313 353 372 390 389 387 386 384,266 251 230 181 133 139 147 160 210 238 259 277 292 297 308 305 303,6
7,367,292,True,5,47.82492955024238,367 389 390 372 332 292,306 307 294,7
8,381,392,False,0,inf,,,8
9,384,383,True,1,10.0,384 383,,9
10,315,229,True,5,44.195121055610215,315 293 273 252 231 229,261 247 233,10
11,238,132,False,0,inf,,,11
12,30,126,True,5,48.78997912890998,30 9 27 46 86 126,16 33 52,12
13,223,340,True,6,54.9112397926248,223 221 241 281 301 341 340,180 232 253 267,13
14,227,47,True,9,69.24775189705184,227 206 186 166 146 127 107 87 67 47,136 121 109 104 99 83 71,14
15,387,301,True,15,140.43189468885888,387 389 390 372 332 292 252 231 209 207 206 224 222 241 261 301,306 307 294 280 254 233 203 155 145 141 186 184 231,15
16,300,366,True,17,161.5104946376072,300 281 241 222 204 206 207 209 231 252 292 313 353 372 390 389 387 366,251 230 181 133 139 147 160 210 238 259 277 292 297 308 305,16
17,227,312,True,6,57.15636651493813,227 208 209 231 252 292 312,151 160 210 238,17
18,124,7,True,6,51.52577750678232,124 126 106 86 46 26 7,93 76 65 48,18
19,380,201,False,0,inf,,,19
20,306,201,False,0,inf,,,20
21,144,1,True,9,75.91770682645614,144 146 126 106 86 46 26 4 3 1,103 93 76 65 48 24 3,21
22,260,383,True,18,168.23434678458216,260 241 222 204 206 207 209 231 252 292 313 353 372 390 389 387 386 384 383,230 181 133 139 147 160 210 238 259 277 292 297 308 305 303 301,22
23,10,40,False,0,inf,,,23
24,384,304,False,0,inf,,,24
25,127,4,True,5,44.50103897198255,127 106 86 46 26 4,76 65 48,25
26,318,392,False,0,inf,,,26
27,229,124,True,5,41.16058286950357,229 207 187 167 146 124,144 127 114,27
28,301,227,True,6,60.06286509905058,301 281 241 222 224 226 227,251 230 183 187,28
29,198,230,True,6,54.276315673663795,198 218 236 235 233 232 230,178 228 225 220,29
30,215,135,False,0,inf,,,30
31,221,381,True,5,47.88403331453525,221 241 281 301 341 381,232 253 267,31
32,124,203,True,5,47.63718089972264,124 146 187 206 204 203,108 129 138,32
33,10,40,False,0,inf,,,33
34,306,220,False,0,inf,,,34
35,55,6,True,6,54.52417442339961,55 53 32 31 29 7 6,59 46 42 35,35
36,144,0,True,10,86.06677802495612,144 146 126 106 86 46 26 4 3 1 0,103 93 76 65 48 24 3 1,36
37,390,252,True,4,41.15470053837925,390 372 332 292 252,294 280,37
38,7,187,True,6,54.95049883366941,7 26 46 86 126 146 187,28 52 70 97,38
39,398,313,False,0,inf,,,39
40,76,6,False,0,inf,,,40
41,233,138,False,0,inf,,,41
42,58,9,False,0,inf,,,42
43,381,220,False,0,inf,,,43
44,153,238,False,0,inf,,,44
45,199,253,True,5,47.259158244024825,199 218 236 235 233 253,178 228 225,45
46,153,238,False,0,inf,,,46
47,346,260,False,0,inf,,,47
48,41,10,False,0,inf,,,48
49,155,236,False,0,inf,,,49
