edge_id,src,dst,num_segments,num_episodes,num_unique_starts,num_unique_terminations,min_h,median_h,mean_h,max_h,num_unique_start_goal_pairs,num_unique_episodes,support_density_per_episode,support_count,reverse_support_raw,reverse_support_certified,reverse_support_count,asymmetry,src_density,dst_density,src_bottleneck_score,dst_bottleneck_score,edge_bottleneck_score,cost,cost_support_unit
0,3,4,1704,65,570,579,1,4.0,3.646713615023474,5,1704,65,26.215384615384615,1704,1380,1380,1380,0.10505836575875484,0.0082,0.0091,0.44934035023466784,0.495599078783463,0.495599078783463,4.04188539082917,unique_starts
1,4,3,1380,42,481,464,1,4.0,3.6202898550724636,5,1380,42,32.857142857142854,1380,1704,1704,1704,-0.10505836575875484,0.0091,0.0082,0.495599078783463,0.44934035023466784,0.495599078783463,4.045596075258755,unique_starts
2,6,7,1896,59,646,635,1,4.0,3.6234177215189876,5,1896,59,32.13559322033898,1896,1763,1763,1763,0.03634872916097293,0.010255,0.010105,0.527723816805098,0.5800016512476838,0.5800016512476838,4.039344473768232,unique_starts
3,6,27,17,5,11,8,2,4.0,4.176470588235294,5,17,5,3.4,17,78,78,78,-0.642105263157888,0.010255,0.00359,0.527723816805098,1.0828043461587458,1.0828043461587458,4.301511344577763,unique_starts
4,7,6,1763,54,600,604,1,4.0,3.615428247305729,5,1763,54,32.648148148148145,1763,1896,1896,1896,-0.03634872916097293,0.010105,0.010255,0.5800016512476838,0.527723816805098,0.5800016512476838,4.040824829046386,unique_starts
5,7,8,602,42,199,207,1,4.0,3.6561461794019934,5,602,42,14.333333333333334,602,624,624,624,-0.01794453507340945,0.010105,0.00467,0.5800016512476838,0.7368347664948858,0.7368347664948858,4.070888120500833,unique_starts
6,7,27,338,31,126,130,1,4.0,3.4437869822485205,5,338,31,10.903225806451612,338,257,257,257,0.13613445378151237,0.010105,0.00359,0.5800016512476838,1.0828043461587458,1.0828043461587458,4.089087080637475,unique_starts
7,8,7,624,49,224,214,1,4.0,3.628205128205128,5,624,49,12.73469387755102,624,602,602,602,0.01794453507340945,0.00467,0.010105,0.7368347664948858,0.5800016512476838,0.7368347664948858,4.066815310478106,unique_starts
8,8,9,628,43,211,211,1,4.0,3.6544585987261144,5,628,43,14.604651162790697,628,769,769,769,-0.10093056549749456,0.00467,0.01447,0.7368347664948858,0.9798789539186675,0.9798789539186675,4.068842839082151,unique_starts
9,8,27,122,18,53,53,1,4.0,4.016393442622951,5,122,18,6.777777777777778,122,23,23,23,0.6827586206896505,0.00467,0.00359,0.7368347664948858,1.0828043461587458,1.0828043461587458,4.137360563948689,unique_starts
10,9,8,769,58,270,264,1,4.0,3.6306892067620287,5,769,58,13.258620689655173,769,628,628,628,0.10093056549749456,0.01447,0.00467,0.9798789539186675,0.7368347664948858,0.9798789539186675,4.0608580619450185,unique_starts
11,9,10,2085,66,719,696,1,4.0,3.631654676258993,5,2085,66,31.59090909090909,2085,2433,2433,2433,-0.07702523240371845,0.01447,0.010545,0.9798789539186675,0.9515908662170119,0.9798789539186675,4.03729370703141,unique_starts
12,10,9,2433,80,815,836,1,4.0,3.6206329634196464,5,2433,80,30.4125,2433,2085,2085,2085,0.07702523240371845,0.010545,0.01447,0.9515908662170119,0.9798789539186675,0.9798789539186675,4.0350284722052026,unique_starts
13,12,32,304,28,117,115,1,4.0,3.460526315789474,5,304,28,10.857142857142858,304,545,545,545,-0.28386336866902206,0.01313,0.007805,0.4474103966327606,0.8349615336791261,0.8349615336791261,4.092450032704205,unique_starts
14,27,6,78,12,33,37,1,4.0,3.9615384615384617,5,78,12,6.5,78,17,17,17,0.642105263157888,0.00359,0.010255,1.0828043461587458,0.527723816805098,1.0828043461587458,4.174077655955698,unique_starts
15,27,7,257,24,97,94,1,4.0,3.4163424124513617,5,257,24,10.708333333333334,257,338,338,338,-0.13613445378151237,0.00359,0.010105,1.0828043461587458,0.5800016512476838,1.0828043461587458,4.101534616513362,unique_starts
16,27,8,23,4,10,12,2,4.0,4.086956521739131,5,23,4,5.75,23,122,122,122,-0.6827586206896505,0.00359,0.00467,1.0828043461587458,0.7368347664948858,1.0828043461587458,4.316227766016838,unique_starts
17,27,46,36,7,17,18,2,4.0,4.111111111111111,5,36,7,5.142857142857143,36,9,9,9,0.5999999999999867,0.00359,0.01195,1.0828043461587458,1.0604081513013455,1.0828043461587458,4.242535625036333,unique_starts
