cluster,num_segments,num_episodes,min_h,median_h,mean_h,max_h
1,22244,72,1,10.0,11.039830965653659,25
3,12517,95,1,6.0,9.017576096508748,25
4,16496,93,1,7.0,10.048617846750728,25
6,18460,109,1,8.0,10.051408450704225,25
7,17617,107,1,8.0,10.074927626724186,25
9,32711,126,1,9.0,10.815352633670631,25
10,15064,126,1,6.0,8.785448751991503,25
12,33943,88,1,10.0,11.191909966708895,25
32,15706,105,1,8.0,9.461352349420604,25
46,23879,97,1,8.0,10.289124335189916,25
47,16893,84,1,7.0,9.94459243473628,25
86,14854,86,1,7.0,9.285377676046856,25
87,10582,81,1,6.0,9.359005859005858,25
121,16842,80,1,7.0,9.865633535209595,25
126,11320,124,1,5.0,7.704593639575972,25
166,11814,88,1,6.0,8.246402573218216,25
206,9528,116,1,5.0,7.101700251889169,25
207,10733,117,1,6.0,8.024690207770428,25
212,9523,86,1,6.0,9.247506038013231,25
218,11038,113,1,5.0,7.546657003080268,25
221,11809,88,1,6.0,9.075366246083496,25
229,10809,75,1,7.0,10.20316402997502,25
232,18007,133,1,7.0,9.578386183150997,25
233,9945,121,1,5.0,7.252287581699346,25
235,16193,97,1,8.0,10.423207558821714,25
252,10838,98,1,6.0,8.044104078243219,25
261,15413,69,1,8.0,10.005644585739311,25
272,21634,105,1,8.0,10.122723490801516,25
301,17789,120,1,7.0,9.449940974759683,25
306,13997,92,1,7.0,9.413088518968351,25
312,39632,120,1,9.0,10.927508074283407,25
313,14294,145,1,5.0,8.116062683643486,25
315,14897,89,1,9.0,10.45895146673827,25
341,18377,75,1,8.0,9.994286336181096,25
352,34828,116,1,9.0,10.634575628804411,25
372,12845,112,1,6.0,8.231374075515765,25
387,12621,94,1,7.0,9.178908168924808,25
389,26117,120,1,9.0,10.583489681050656,25
390,15057,124,1,6.0,8.586571030085674,25
392,30117,90,1,10.0,11.256134409137696,25
