query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids,ep_id,num_virtual_edges_used,num_real_option_edges_used,virtual_edge_ratio
0,158,212,True,3,73.05698028822982,158 218 235 212,-1 78 -1,0,2,1,0.6666666666666666
1,203,303,True,3,71.06509445549041,203 221 261 303,-1 79 -1,1,2,1,0.6666666666666666
2,1,12,True,4,92.14436744586932,1 4 7 9 12,-1 9 21 -1,2,2,2,0.5
3,392,381,False,0,inf,,,3,0,0,0.0
4,41,9,True,4,92.13400474559975,41 1 4 6 9,-1 1 8 -1,4,2,2,0.5
5,347,353,True,3,73.09407208683837,347 389 392 353,-1 149 -1,5,2,1,0.6666666666666666
6,283,384,False,0,inf,,,6,0,0,0.0
7,367,292,True,3,74.16012815380509,367 390 352 292,-1 150 -1,7,2,1,0.6666666666666666
8,381,392,False,0,inf,,,8,0,0,0.0
9,384,383,True,1,25.0,384 383,-1,9,1,0,1.0
10,315,229,True,4,86.20481097718971,315 312 252 232 229,-1 118 102 -1,10,2,2,0.5
11,238,132,False,0,inf,,,11,0,0,0.0
12,30,126,True,4,91.16929736988443,30 6 46 86 126,-1 16 46 -1,12,2,2,0.5
13,223,340,True,4,92.14757306537464,223 221 261 301 340,-1 79 108 -1,13,2,2,0.5
14,227,47,True,4,92.13171581068333,227 166 126 86 47,-1 64 61 -1,14,2,2,0.5
15,387,301,False,0,inf,,,15,0,0,0.0
16,300,366,False,0,inf,,,16,0,0,0.0
17,227,312,True,4,85.28848024179244,227 229 232 252 312,-1 83 88 -1,17,2,2,0.5
18,124,7,True,4,91.12919359663329,124 126 86 46 7,-1 61 53 -1,18,2,2,0.5
19,380,201,True,4,92.1338224706698,380 341 301 261 201,-1 132 116 -1,19,2,2,0.5
20,306,201,False,0,inf,,,20,0,0,0.0
21,144,1,True,5,116.62919359663329,144 126 86 46 4 1,-1 61 53 42 -1,21,2,3,0.4
22,260,383,True,3,70.06851887098276,260 301 341 383,-1 117 -1,22,2,1,0.6666666666666666
23,10,40,True,4,91.15245775363776,10 6 3 1 40,-1 11 2 -1,23,2,2,0.5
24,384,304,False,0,inf,,,24,0,0,0.0
25,127,4,True,3,70.0668153104781,127 86 46 4,-1 53 -1,25,2,1,0.6666666666666666
26,318,392,True,4,89.11451520682576,318 315 313 352 392,-1 131 128 -1,26,2,2,0.5
27,229,124,True,3,71.07516460280029,229 206 166 124,-1 67 -1,27,2,1,0.6666666666666666
28,301,227,False,0,inf,,,28,0,0,0.0
29,198,230,True,3,68.04987546680539,198 235 233 230,-1 99 -1,29,2,1,0.6666666666666666
30,215,135,False,0,inf,,,30,0,0,0.0
31,221,381,True,4,91.15099748086699,221 261 301 341 381,-1 108 117 -1,31,2,2,0.5
32,124,203,True,3,70.07018624063436,124 166 206 203,-1 65 -1,32,2,1,0.6666666666666666
33,10,40,True,4,91.15245775363776,10 6 3 1 40,-1 11 2 -1,33,2,2,0.5
34,306,220,False,0,inf,,,34,0,0,0.0
35,55,6,True,3,70.04647394123401,55 32 10 6,-1 40 -1,35,2,1,0.6666666666666666
36,144,0,True,5,116.62919359663329,144 126 86 46 4 0,-1 61 53 42 -1,36,2,3,0.4
37,390,252,True,3,71.0436435780472,390 352 312 252,-1 133 -1,37,2,1,0.6666666666666666
38,7,187,True,4,91.14036821759575,7 46 86 126 187,-1 46 56 -1,38,2,2,0.5
39,398,313,False,0,inf,,,39,0,0,0.0
40,76,6,False,0,inf,,,40,0,0,0.0
41,233,138,False,0,inf,,,41,0,0,0.0
42,58,9,False,0,inf,,,42,0,0,0.0
43,381,220,True,4,92.1338224706698,381 341 301 261 220,-1 132 116 -1,43,2,2,0.5
44,153,238,False,0,inf,,,44,0,0,0.0
45,199,253,True,3,73.05698028822982,199 218 235 253,-1 78 -1,45,2,1,0.6666666666666666
46,153,238,False,0,inf,,,46,0,0,0.0
47,346,260,False,0,inf,,,47,0,0,0.0
48,41,10,True,4,92.13400474559975,41 1 4 6 10,-1 1 8 -1,48,2,2,0.5
49,155,236,False,0,inf,,,49,0,0,0.0
50,3,147,True,4,91.16929736988443,3 6 46 86 147,-1 16 46 -1,50,2,2,0.5
51,139,212,False,0,inf,,,51,0,0,0.0
52,238,133,False,0,inf,,,52,0,0,0.0
53,386,301,False,0,inf,,,53,0,0,0.0
54,327,260,False,0,inf,,,54,0,0,0.0
55,23,120,False,0,inf,,,55,0,0,0.0
56,358,273,False,0,inf,,,56,0,0,0.0
57,4,52,True,4,92.15851777134291,4 7 9 12 52,-1 21 28 -1,57,2,2,0.5
58,186,235,True,3,73.23570226039551,186 229 232 235,-1 83 -1,58,2,1,0.6666666666666666
59,223,123,True,4,92.14450212732844,223 206 166 126 123,-1 67 64 -1,59,2,2,0.5
60,107,210,True,3,71.08111071056538,107 166 207 210,-1 66 -1,60,2,1,0.6666666666666666
61,358,353,False,0,inf,,,61,0,0,0.0
62,380,392,False,0,inf,,,62,0,0,0.0
63,209,198,True,4,97.33390865198886,209 232 235 218 198,-1 87 97 -1,63,2,2,0.5
64,261,347,False,0,inf,,,64,0,0,0.0
65,299,393,False,0,inf,,,65,0,0,0.0
66,138,232,False,0,inf,,,66,0,0,0.0
67,46,52,True,4,92.15851777134291,46 7 9 12 52,-1 21 28 -1,67,2,2,0.5
68,152,238,False,0,inf,,,68,0,0,0.0
69,9,127,True,3,71.06189844605902,9 47 87 127,-1 52 -1,69,2,1,0.6666666666666666
70,24,53,True,4,94.35142071510863,24 6 10 12 53,-1 15 34 -1,70,2,2,0.5
71,233,220,False,0,inf,,,71,0,0,0.0
72,19,13,False,0,inf,,,72,0,0,0.0
73,19,32,False,0,inf,,,73,0,0,0.0
74,155,235,False,0,inf,,,74,0,0,0.0
75,301,227,False,0,inf,,,75,0,0,0.0
76,4,52,True,4,92.15851777134291,4 7 9 12 52,-1 21 28 -1,76,2,2,0.5
77,18,13,False,0,inf,,,77,0,0,0.0
78,201,126,False,0,inf,,,78,0,0,0.0
79,218,133,False,0,inf,,,79,0,0,0.0
