cluster,num_segments,num_episodes,min_h,median_h,mean_h,max_h
0,827,39,1,2.0,2.4812575574365177,5
1,1260,25,1,2.0,2.6547619047619047,5
2,2695,31,1,3.0,2.7346938775510203,5
3,1912,54,1,2.0,2.4728033472803346,5
4,2376,32,1,3.0,2.736952861952862,5
5,1262,24,1,3.0,2.763866877971474,5
6,1798,37,1,2.0,2.622358175750834,5
7,2075,35,1,3.0,2.696867469879518,5
8,1448,64,1,2.0,2.4205801104972378,5
9,8,8,1,1.0,1.0,1
10,2207,33,1,3.0,2.695967376529225,5
11,443,38,1,2.0,2.2234762979683973,5
12,142,49,1,1.0,1.1126760563380282,2
13,57,43,1,1.0,1.087719298245614,2
14,163,49,1,2.0,2.6748466257668713,5
15,532,19,1,2.0,2.593984962406015,5
16,2084,30,1,3.0,2.722648752399232,5
17,209,33,1,2.0,1.9904306220095693,5
18,1023,18,1,3.0,2.7673509286412514,5
19,734,37,1,2.0,2.4209809264305178,5
20,669,29,1,2.0,2.500747384155456,5
21,2,2,1,1.0,1.0,1
22,2192,74,1,2.0,2.615419708029197,5
23,971,59,1,2.0,2.2687950566426363,5
24,1997,39,1,3.0,2.7075613420130193,5
25,921,26,1,2.0,2.59500542888165,5
26,771,43,1,2.0,2.2127107652399483,5
27,952,1,1,3.0,2.892857142857143,5
28,1145,49,1,2.0,2.381659388646288,5
29,1031,29,1,2.0,2.5431619786614936,5
30,1632,39,1,2.0,2.65625,5
31,203,84,1,1.0,1.2315270935960592,3
32,550,2,1,3.0,2.8545454545454545,5
33,526,2,1,3.0,2.929657794676806,5
34,90,74,1,1.0,1.0,1
35,1098,39,1,2.0,2.558287795992714,5
36,957,43,1,2.0,2.498432601880878,5
37,1503,37,1,2.0,2.636726546906188,5
38,1201,37,1,2.0,2.5512073272273104,5
39,1315,50,1,2.0,2.514068441064639,5
40,1389,47,1,2.0,2.5262778977681783,5
41,1415,24,1,3.0,2.700353356890459,5
42,1518,59,1,2.0,2.474308300395257,5
43,409,99,1,1.0,1.466992665036675,3
44,854,30,1,2.0,2.5971896955503513,5
45,10,7,1,1.0,1.1,2
46,1723,41,1,2.0,2.6262333139872314,5
47,1669,20,1,3.0,2.76752546434991,5
48,987,25,1,2.0,2.60790273556231,5
49,832,2,1,3.0,2.9038461538461537,5
50,2482,24,1,3.0,2.775181305398872,5
51,1089,36,1,2.0,2.4719926538108354,5
52,1875,5,1,3.0,2.8928,5
53,1198,26,1,3.0,2.7262103505843074,5
54,1305,26,1,3.0,2.7877394636015325,5
55,1077,36,1,2.0,2.604456824512535,5
56,1588,53,1,2.0,2.447732997481108,5
57,1337,40,1,2.0,2.519820493642483,5
58,1621,38,1,2.0,2.6403454657618752,5
59,1343,31,1,2.0,2.535368577810871,5
60,1532,27,1,3.0,2.744125326370757,5
61,31,25,1,1.0,1.0,1
62,1055,30,1,2.0,2.637914691943128,5
63,1847,45,1,2.0,2.5858148348673526,5
64,757,11,1,3.0,2.706737120211361,5
65,303,30,1,2.0,2.597359735973597,5
66,737,8,1,3.0,2.6974219810040707,5
67,1379,30,1,3.0,2.7302393038433648,5
68,1429,28,1,2.0,2.6599020293911826,5
69,1373,27,1,3.0,2.7130371449380917,5
70,686,3,1,3.0,2.806122448979592,5
71,1691,1,1,3.0,2.9946777054997042,5
72,37,3,1,2.0,2.3513513513513513,5
73,1059,32,1,2.0,2.5420207743153918,5
74,50,38,1,1.0,1.1,2
75,1198,7,1,3.0,2.7896494156928213,5
76,1163,36,1,3.0,2.6809974204643163,5
77,1173,46,1,2.0,2.400682011935209,5
78,1552,21,1,3.0,2.7731958762886597,5
79,1819,47,1,2.0,2.5684442001099503,5
80,1599,45,1,2.0,2.559724828017511,5
81,1068,6,1,3.0,2.7724719101123596,5
82,783,42,1,2.0,2.284802043422733,5
83,947,45,1,2.0,2.4836325237592396,5
84,1908,40,1,2.0,2.669287211740042,5
85,633,41,1,2.0,2.3412322274881516,5
86,1094,30,1,2.0,2.583180987202925,5
87,1259,24,1,2.0,2.6163621922160445,5
88,1857,31,1,3.0,2.7151319332256327,5
89,417,42,1,2.0,2.2661870503597124,5
90,1296,46,1,2.0,2.5709876543209877,5
91,1035,10,1,3.0,2.7710144927536233,5
92,1305,36,1,2.0,2.5900383141762453,5
93,1212,38,1,2.0,2.538778877887789,5
94,798,26,1,2.0,2.6478696741854635,5
95,1192,39,1,2.0,2.5125838926174495,5
96,944,20,1,2.0,2.663135593220339,5
97,1412,19,1,3.0,2.7960339943342776,5
98,2063,26,1,3.0,2.7421231216674746,5
99,1388,11,1,3.0,2.8177233429394812,5
100,1606,36,1,2.0,2.6270236612702367,5
101,1975,5,1,3.0,2.9053164556962026,5
102,645,38,1,2.0,2.324031007751938,5
103,24,6,1,1.0,1.25,2
104,612,40,1,2.0,2.281045751633987,5
105,658,1,1,3.0,2.9620060790273555,5
106,160,36,1,2.0,1.9625,5
107,400,1,1,3.0,2.95,5
108,1255,41,1,2.0,2.5912350597609564,5
109,1924,32,1,3.0,2.7463617463617465,5
110,547,16,1,2.0,2.612431444241316,5
111,639,17,1,3.0,2.6870109546165883,5
112,1669,25,1,2.0,2.6051527860994605,5
113,1274,52,1,2.0,2.497645211930926,5
114,1800,21,1,3.0,2.73,5
115,1426,44,1,2.0,2.539971949509116,5
116,1152,2,1,3.0,2.9053819444444446,5
117,1596,50,1,2.0,2.537593984962406,5
118,1882,21,1,3.0,2.749202975557917,5
119,1554,23,1,3.0,2.7213642213642215,5
120,1967,61,1,2.0,2.5226232841891205,5
121,162,117,1,1.0,1.0,1
122,1160,16,1,3.0,2.831896551724138,5
123,1304,24,1,3.0,2.709355828220859,5
124,1052,38,1,2.0,2.637832699619772,5
125,3155,34,1,3.0,2.8044374009508717,5
126,1697,29,1,3.0,2.7931644077784323,5
127,215,4,1,2.0,2.627906976744186,5
128,906,27,1,2.0,2.573951434878587,5
129,299,61,1,1.0,1.3277591973244147,3
130,1104,46,1,2.0,2.384963768115942,5
131,1223,25,1,3.0,2.69664758789861,5
132,818,43,1,2.0,2.444987775061125,5
133,2347,33,1,3.0,2.74009373668513,5
134,1370,19,1,2.0,2.6598540145985403,5
135,825,43,1,2.0,2.39030303030303,5
136,958,33,1,2.0,2.5647181628392484,5
137,587,35,1,2.0,2.3918228279386713,5
138,1883,21,1,3.0,2.741370154009559,5
139,1556,80,1,2.0,2.4646529562982007,5
140,1746,26,1,2.0,2.5836197021764034,5
141,224,87,1,1.0,1.2276785714285714,3
142,841,37,1,2.0,2.4482758620689653,5
143,2224,39,1,3.0,2.714478417266187,5
144,2223,27,1,3.0,2.721097615834458,5
145,873,22,1,2.0,2.6575028636884306,5
146,1411,45,1,2.0,2.3720765414599576,5
147,2685,37,1,3.0,2.706145251396648,5
148,701,23,1,3.0,2.7004279600570613,5
149,913,53,1,2.0,2.340635268346112,5
150,1192,3,1,3.0,2.8305369127516777,5
151,999,48,1,2.0,2.344344344344344,5
152,1199,15,1,3.0,2.773978315262719,5
153,995,42,1,2.0,2.492462311557789,5
154,209,13,1,2.0,2.45933014354067,5
155,1308,27,1,2.5,2.6712538226299696,5
156,53,45,1,1.0,1.0377358490566038,2
157,969,56,1,2.0,2.3364293085655317,5
158,68,37,1,1.0,1.1176470588235294,2
159,640,1,1,3.0,2.890625,5
160,864,30,1,2.0,2.5324074074074074,5
161,815,45,1,2.0,2.445398773006135,5
162,464,4,1,3.0,2.7607758620689653,5
163,48,27,1,1.0,1.2708333333333333,4
164,1298,51,1,2.0,2.5901386748844377,5
165,1305,57,1,2.0,2.6168582375478926,5
166,1647,43,1,2.0,2.5209471766848814,5
167,1331,69,1,2.0,2.3764087152516904,5
168,633,20,1,2.0,2.5971563981042656,5
169,1424,56,1,2.0,2.423455056179775,5
170,1977,17,1,3.0,2.8937784522003036,5
171,1674,65,1,2.0,2.441457586618877,5
172,1748,52,1,2.0,2.623569794050343,5
173,1284,42,1,2.0,2.5311526479750777,5
174,1182,30,1,2.0,2.6116751269035534,5
175,2832,59,1,2.0,2.5769774011299433,5
176,2050,33,1,3.0,2.738048780487805,5
177,1237,30,1,2.0,2.635408245755861,5
178,943,30,1,2.0,2.556733828207847,5
179,1,1,1,1.0,1.0,1
180,1053,57,1,2.0,2.2630579297245963,5
181,1128,24,1,3.0,2.675531914893617,5
182,1088,38,1,2.0,2.5027573529411766,5
183,971,40,1,2.0,2.497425334706488,5
184,1434,45,1,2.0,2.569037656903766,5
185,1357,2,1,3.0,2.948415622697126,5
186,38,33,1,1.0,1.0,1
187,1006,2,1,3.0,2.9373757455268388,5
188,1272,16,1,3.0,2.743710691823899,5
189,887,11,1,3.0,2.847801578354002,5
190,1242,9,1,3.0,2.8059581320450886,5
191,1327,39,1,2.0,2.5779954785229844,5
192,48,24,1,1.5,1.8958333333333333,5
193,66,3,1,2.0,2.121212121212121,5
194,1318,20,1,3.0,2.7071320182094083,5
195,19,16,1,1.0,1.0,1
196,1821,26,1,3.0,2.742998352553542,5
197,698,1,1,3.0,2.9498567335243555,5
198,11,11,1,1.0,1.0,1
199,1168,67,1,2.0,2.3176369863013697,5
200,819,41,1,2.0,2.4957264957264957,5
201,1034,21,1,3.0,2.6885880077369437,5
202,813,3,1,3.0,2.809348093480935,5
203,1522,34,1,2.0,2.5913272010512483,5
204,700,40,1,2.0,2.374285714285714,5
205,40,27,1,1.0,1.475,5
206,1411,45,1,2.0,2.508150248051028,5
207,1428,57,1,2.0,2.392857142857143,5
208,252,77,1,1.0,1.4841269841269842,5
209,1294,4,1,3.0,2.8894899536321486,5
210,1254,7,1,3.0,2.878787878787879,5
211,13,12,1,1.0,1.0,1
212,712,37,1,2.0,2.4691011235955056,5
213,1599,29,1,2.0,2.622889305816135,5
214,1120,12,1,3.0,2.7973214285714287,5
215,500,25,1,2.0,2.492,5
216,944,25,1,2.0,2.625,5
217,1991,50,1,2.0,2.6549472626820694,5
218,1173,33,1,2.0,2.6146632566069905,5
