query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids
0,229,404,True,3,10.189617496338764,229 308 18 404,3068 4272 307
1,7,380,True,3,11.03369248256626,7 420 475 380,124 5785 6542
2,401,477,True,4,11.048730540962008,401 371 192 346 477,5495 5114 2613 4794
3,315,106,True,4,9.774820474732067,315 200 401 371 106,4362 2737 5495 5107
4,428,224,True,3,12.11699475211007,428 474 309 224,5916 6531 4299
5,327,27,False,0,inf,,
6,55,461,True,3,10.753980805528522,55 485 376 461,766 6715 5192
7,64,67,True,4,11.442917179103787,64 157 402 345 67,874 2134 5516 4771
8,440,380,True,4,12.785071254195774,440 161 424 492 380,6097 2181 5852 6794
9,0,470,True,3,10.106778751562075,0 338 200 470,10 4700 2740
10,480,240,True,3,10.195089379784227,480 292 407 240,6628 4049 5598
11,67,207,True,3,11.81125937613379,67 89 196 207,900 1206 2661
12,152,177,True,3,11.922575813034268,152 142 201 177,2038 1878 2748
13,5,53,True,4,12.298458041572038,5 196 1 221 53,77 2655 25 2982
14,214,96,True,2,7.115355071650411,214 298 96,2897 4137
15,338,321,True,3,10.733426358973048,338 0 474 321,4695 17 6533
16,352,59,True,4,14.323826914415712,352 232 464 66 59,4845 3135 6397 894
17,475,393,False,0,inf,,
18,84,119,True,3,8.854700367302241,84 316 404 119,1128 4389 5533
19,385,369,True,3,9.994208919454888,385 24 301 369,5305 393 4198
20,402,500,True,5,15.042734480376318,402 375 271 164 356 500,5518 5167 3758 2221 4941
21,389,98,True,2,7.0101100286299705,389 208 98,5352 2853
22,372,506,True,3,12.038745818580452,372 115 244 506,5137 1509 3313
23,311,203,True,5,11.251999332512927,311 87 408 271 1 203,4315 1179 5615 3746 23
24,421,192,True,4,10.955467524472484,421 199 252 371 192,5792 2698 3459 5114
25,327,98,True,3,9.316227766016837,327 10 94 98,4534 173 1251
26,327,507,True,2,7.414334025374177,327 118 507,4536 1551
27,390,300,True,4,14.283111768791546,390 327 153 361 300,5373 4539 2053 5001
28,39,36,True,3,11.137979449385746,39 383 273 36,585 5276 3790
29,147,395,True,3,9.328555788006021,147 331 323 395,1967 4609 4508
30,184,40,True,4,15.456687082846106,184 290 264 188 40,2540 3994 3672 2559
31,39,208,True,3,11.155314742198854,39 371 289 208,584 5121 3976
32,432,48,True,3,10.619198016580032,432 470 485 48,5967 6448 6696
33,97,400,True,4,15.609574428123498,97 384 290 475 400,1301 5298 4007 6543
34,401,301,True,3,7.654320376686505,401 371 325 301,5495 5122 4525
35,67,256,True,3,12.516571708814839,67 361 245 256,906 4997 3322
36,443,446,True,4,13.215360710159073,443 36 123 267 446,6139 527 1624 3701
37,257,214,True,2,7.658248290463863,257 291 214,3528 4017
38,246,495,True,3,12.596758262751171,246 97 227 495,3337 1297 3048
39,471,261,True,2,7.457368067922541,471 36 261,6451 534
40,494,45,True,3,11.685476582645176,494 109 270 45,6810 1433 3735
41,117,182,True,3,12.461699857695248,117 10 173 182,1521 177 2369
42,453,511,True,4,10.259647855194883,453 289 371 192 511,6271 3978 5114 2619
43,152,51,True,2,7.446789017603232,152 361 51,2039 4985
44,441,326,True,3,11.988647904455174,441 7 28 326,6112 109 437
