baseline,node_selection,H,node_budget,num_edges,unsupported_edge_rate,path_coverage_strict,path_coverage_virtual,mean_path_cost_strict,mean_path_cost_virtual,hop_count_cost,num_queries_strict,num_reachable_strict,num_queries_virtual,num_reachable_virtual
support_density,density,5,64,216,0.0,0.0,0.48,0.0,14.691006322988159,,0,0,100.0,48.0
kNN_same_nodes,density,5,64,195,0.6153846153846154,0.0,,,,0.0,0,0,,
random_same_edge_budget,density,5,64,216,0.9212962962962964,0.0,,,,0.0,0,0,,
support_bottleneck,bottleneck,5,64,298,0.0,1.0,0.83,10.351615044897493,15.688268487827967,,1,1,100.0,83.0
kNN_same_nodes,bottleneck,5,64,185,0.5567567567567567,0.0,,,,0.0,1,0,,
random_same_edge_budget,bottleneck,5,64,298,0.906040268456376,1.0,,,,1.0,1,1,,
support_core_plus_bottleneck,core_plus_bottleneck,5,64,284,0.0,1.0,0.81,11.357897198022918,15.53030529489471,,1,1,100.0,81.0
kNN_same_nodes,core_plus_bottleneck,5,64,163,0.5950920245398773,0.0,,,,0.0,1,0,,
random_same_edge_budget,core_plus_bottleneck,5,64,284,0.9154929577464788,1.0,,,,2.0,1,1,,
support_all_upper_bound,all,5,64,7040,0.0,0.95,1.0,10.836434528051866,11.689586676196871,,100,95,100.0,100.0
kNN_same_nodes,all,5,64,7040,0.6235795454545454,0.99,,,,3.97979797979798,100,99,,
random_same_edge_budget,all,5,64,7040,0.9589488636363636,1.0,,,,2.66,100,100,,
support_density,density,5,128,699,0.0,0.8,0.9,19.319575178495576,16.025356850058593,,5,4,100.0,90.0
kNN_same_nodes,density,5,128,559,0.59391771019678,0.8,,,,5.0,5,4,,
random_same_edge_budget,density,5,128,699,0.9413447782546496,1.0,,,,2.8,5,5,,
support_bottleneck,bottleneck,5,128,1052,0.0,0.7142857142857143,0.96,12.92071073813916,14.059372583953168,,7,5,100.0,96.0
kNN_same_nodes,bottleneck,5,128,605,0.5239669421487604,0.4285714285714285,,,,4.666666666666667,7,3,,
random_same_edge_budget,bottleneck,5,128,1052,0.9315589353612168,1.0,,,,2.7142857142857144,7,7,,
support_core_plus_bottleneck,core_plus_bottleneck,5,128,1018,0.0,1.0,0.92,11.926564690449553,13.771890311797694,,8,8,100.0,92.0
kNN_same_nodes,core_plus_bottleneck,5,128,603,0.5555555555555556,0.75,,,,4.333333333333333,8,6,,
random_same_edge_budget,core_plus_bottleneck,5,128,1018,0.9106090373280944,1.0,,,,2.125,8,8,,
support_all_upper_bound,all,5,128,7040,0.0,0.95,1.0,10.836434528051866,11.689586676196871,,100,95,100.0,100.0
kNN_same_nodes,all,5,128,7040,0.6235795454545454,0.99,,,,3.97979797979798,100,99,,
random_same_edge_budget,all,5,128,7040,0.9589488636363636,1.0,,,,2.66,100,100,,
support_density,density,5,192,1493,0.0,1.0,0.95,11.332453893827752,13.70357220423867,,17,17,100.0,95.0
kNN_same_nodes,density,5,192,1086,0.5598526703499079,0.6470588235294118,,,,4.090909090909091,17,11,,
random_same_edge_budget,density,5,192,1493,0.9457468184862692,1.0,,,,2.764705882352941,17,17,,
support_bottleneck,bottleneck,5,192,2150,0.0,1.0,0.97,12.044792856463834,12.826029386947585,,14,14,100.0,97.0
