query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids,ep_id,num_virtual_edges_used,num_real_option_edges_used,virtual_edge_ratio
0,229,404,True,2,10.0,229 149 404,-1 -1,0,2,0,1.0
1,7,380,True,1,5.0,7 380,-1,1,1,0,1.0
2,401,477,True,3,12.707106781186548,401 315 485 477,-1 708 -1,2,2,1,0.6666666666666666
3,315,106,True,3,12.288675134594813,315 100 171 106,-1 210 -1,3,2,1,0.6666666666666666
4,428,224,True,3,13.316227766016837,428 474 309 224,-1 997 -1,4,2,1,0.6666666666666666
5,327,27,True,3,13.185695338177052,327 109 259 27,-1 220 -1,5,2,1,0.6666666666666666
6,55,461,True,2,10.0,55 85 461,-1 -1,6,2,0,1.0
7,64,67,True,3,11.577350269189626,64 163 371 67,-1 354 -1,7,2,1,0.6666666666666666
8,440,380,True,2,10.0,440 7 380,-1 -1,8,2,0,1.0
9,0,470,True,2,10.0,0 167 470,-1 -1,9,2,0,1.0
10,480,240,True,3,13.5,480 157 85 240,-1 338 -1,10,2,1,0.6666666666666666
11,67,207,True,4,16.514712060933373,67 243 508 485 207,-1 522 1046 -1,11,2,2,0.5
12,152,177,True,4,15.84461151110205,152 10 112 259 177,-1 38 228 -1,12,2,2,0.5
13,5,53,True,5,19.84934986015358,5 157 402 247 371 53,-1 344 871 536 -1,13,2,3,0.4
14,214,96,True,4,15.704350396189817,214 23 157 315 96,-1 86 342 -1,14,2,2,0.5
15,338,321,True,3,14.21320071635561,338 402 474 321,-1 877 -1,15,2,1,0.6666666666666666
16,352,59,True,5,22.57895964815686,352 85 375 355 362 59,-1 205 791 763 -1,16,2,3,0.4
17,475,393,False,0,inf,,,17,0,0,0.0
18,84,119,True,2,10.0,84 115 119,-1 -1,18,2,0,1.0
19,385,369,True,2,10.0,385 259 369,-1 -1,19,2,0,1.0
20,402,500,True,4,18.35546188596382,402 290 8 149 500,-1 654 31 -1,20,2,2,0.5
21,389,98,True,2,10.0,389 23 98,-1 -1,21,2,0,1.0
22,372,506,True,3,14.316227766016837,372 485 167 506,-1 1006 -1,22,2,1,0.6666666666666666
23,311,203,True,4,14.460333460333525,311 171 271 1 203,-1 400 613 -1,23,2,2,0.5
24,421,192,True,3,14.316227766016837,421 115 375 192,-1 237 -1,24,2,1,0.6666666666666666
25,327,98,True,3,12.577350269189626,327 199 402 98,-1 459 -1,25,2,1,0.6666666666666666
26,327,507,True,2,10.0,327 171 507,-1 -1,26,2,0,1.0
27,390,300,True,3,14.131306432859724,390 294 281 300,-1 670 -1,27,2,1,0.6666666666666666
