query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids
0,385,369,True,3,19.56167431652758,385 157 376 369,4922 1996 4832
1,402,500,True,5,25.152711071357366,402 7 196 207 303 500,5110 112 2696 2867 4017
2,311,203,True,5,24.215949646896167,311 87 196 207 303 203,4083 1120 2696 2867 4009
3,147,395,True,3,19.823770881694507,147 309 135 395,1840 4052 1596
4,184,40,True,5,39.33770422421192,184 315 173 73 362 40,2566 4116 2333 949 4690
5,39,208,True,4,23.76612986592969,39 494 232 147 208,623 6126 3112 1833
6,147,26,True,2,22.82978222657524,147 227 26,1836 3021
7,39,73,True,4,16.49032150174356,39 117 10 173 73,595 1358 195 2333
8,143,271,True,4,18.068567684117323,143 163 410 164 271,1742 2090 5281 2117
9,509,385,True,3,18.991217414927696,509 361 217 385,6317 4669 2966
10,494,172,True,5,19.719024918626538,494 474 163 410 164 172,6143 5925 2090 5281 2113
11,440,117,True,3,13.404700538379252,440 263 405 117,5619 3570 5215
