cluster,selected,selection_method,density,bottleneck_score,rank_density,rank_bottleneck
0,False,bottleneck,0.001705,0.3375990584525463,323,231
1,False,bottleneck,0.002275,0.48933229191993516,166,70
2,False,bottleneck,0.00384,0.3501472844367674,4,216
3,True,bottleneck,0.003565,0.6286217318491387,9,19
4,False,bottleneck,0.0034,0.30112887455264437,20,278
5,False,bottleneck,0.001905,0.19241203283442537,268,393
6,False,bottleneck,0.003095,0.42152009373078086,34,126
7,True,bottleneck,0.00345,0.5062871159227141,14,62
8,True,bottleneck,0.00305,0.5598156811542085,45,30
9,False,bottleneck,0.00098,0.33462821694591344,457,236
10,False,bottleneck,0.003525,0.4902315890717661,10,68
11,False,bottleneck,0.00109,0.24238089324198467,437,354
12,False,bottleneck,0.001385,0.43843839990031797,395,109
13,True,bottleneck,0.001505,0.554199568997198,372,36
14,False,bottleneck,0.00121,0.39572117346775515,423,155
15,False,bottleneck,0.00087,0.11091794117518448,470,451
16,False,bottleneck,0.00306,0.32374754927357735,39,250
17,False,bottleneck,0.000765,0.2399368752080521,479,356
18,False,bottleneck,0.0016,0.17984939853843618,349,406
19,False,bottleneck,0.00141,0.2207564877082267,388,369
20,False,bottleneck,0.001275,0.20859096631354235,415,379
21,False,bottleneck,0.001335,0.46391095683033756,402,89
22,True,bottleneck,0.00375,0.554682753323046,7,35
23,True,bottleneck,0.00229,0.5166872953819983,157,56
24,False,bottleneck,0.002975,0.31122477629687284,50,265
25,False,bottleneck,0.00167,0.278236260059995,337,305
26,True,bottleneck,0.00219,0.5460267701283138,190,44
27,False,bottleneck,0.00113,0.0777292158100822,433,474
28,False,bottleneck,0.002415,0.48414822177825134,124,77
29,False,bottleneck,0.00195,0.3154569336393076,254,261
30,False,bottleneck,0.002565,0.2926725061045117,104,290
31,False,bottleneck,0.001575,0.49121049726505284,355,66
32,False,bottleneck,0.00067,0.014823733900701803,488,496
33,False,bottleneck,0.0006,0.030280366796919044,492,489
34,True,bottleneck,0.00163,0.5157103559978387,342,57
35,False,bottleneck,0.001965,0.2718421604730644,247,315
36,False,bottleneck,0.0019,0.37172267444818,271,183
37,False,bottleneck,0.002415,0.3664855548951146,125,191
38,False,bottleneck,0.002105,0.2993489378834023,214,282
39,False,bottleneck,0.002705,0.491588710850435,85,65
40,False,bottleneck,0.00248,0.42261524346679114,119,123
41,False,bottleneck,0.00215,0.2572005329048014,203,336
42,False,bottleneck,0.002905,0.4880551784329049,59,72
43,True,bottleneck,0.00192,0.6987109017675688,263,9
44,False,bottleneck,0.00161,0.2306285750991387,345,362
45,False,bottleneck,0.000315,0.09167948451536423,508,466
46,False,bottleneck,0.00281,0.37724270188224196,75,177
47,False,bottleneck,0.00232,0.21683329429046738,149,372
48,False,bottleneck,0.00193,0.30119584453443077,258,277
