cluster,num_segments,num_episodes,min_h,median_h,mean_h,max_h
3,1912,54,1,2.0,2.4728033472803346,5
7,2075,35,1,3.0,2.696867469879518,5
8,1448,64,1,2.0,2.4205801104972378,5
13,57,43,1,1.0,1.087719298245614,2
22,2192,74,1,2.0,2.615419708029197,5
23,971,59,1,2.0,2.2687950566426363,5
26,771,43,1,2.0,2.2127107652399483,5
34,90,74,1,1.0,1.0,1
43,409,99,1,1.0,1.466992665036675,3
56,1588,53,1,2.0,2.447732997481108,5
80,1599,45,1,2.0,2.559724828017511,5
117,1596,50,1,2.0,2.537593984962406,5
120,1967,61,1,2.0,2.5226232841891205,5
121,162,117,1,1.0,1.0,1
129,299,61,1,1.0,1.3277591973244147,3
139,1556,80,1,2.0,2.4646529562982007,5
141,224,87,1,1.0,1.2276785714285714,3
146,1411,45,1,2.0,2.3720765414599576,5
149,913,53,1,2.0,2.340635268346112,5
151,999,48,1,2.0,2.344344344344344,5
157,969,56,1,2.0,2.3364293085655317,5
163,48,27,1,1.0,1.2708333333333333,4
167,1331,69,1,2.0,2.3764087152516904,5
169,1424,56,1,2.0,2.423455056179775,5
171,1674,65,1,2.0,2.441457586618877,5
173,1284,42,1,2.0,2.5311526479750777,5
175,2832,59,1,2.0,2.5769774011299433,5
179,1,1,1,1.0,1.0,1
199,1168,67,1,2.0,2.3176369863013697,5
205,40,27,1,1.0,1.475,5
207,1428,57,1,2.0,2.392857142857143,5
208,252,77,1,1.0,1.4841269841269842,5
230,1746,53,1,2.0,2.5635738831615122,5
233,484,72,1,1.0,1.6962809917355373,5
238,1177,37,1,2.0,2.468139337298216,5
243,1390,63,1,2.0,2.527338129496403,5
248,91,65,1,1.0,1.0,1
251,1189,69,1,2.0,2.370058873002523,5
253,379,93,1,1.0,1.4485488126649078,4
259,52,30,1,1.0,1.7115384615384615,5
266,2149,38,1,2.0,2.5267566309911587,5
271,153,66,1,1.0,1.738562091503268,5
273,1595,65,1,2.0,2.5272727272727273,5
281,2147,42,1,2.0,2.5910572892408013,5
290,1569,58,1,2.0,2.5379222434671767,5
309,1550,41,1,2.0,2.525161290322581,5
313,305,51,1,1.0,1.3868852459016394,3
315,1625,29,1,2.0,2.5378461538461536,5
316,1288,53,1,2.0,2.520186335403727,5
319,289,95,1,1.0,1.2110726643598615,3
371,25,24,1,1.0,1.28,4
381,171,50,1,1.0,1.1695906432748537,2
385,2165,43,1,2.0,2.6203233256351037,5
404,915,56,1,2.0,2.3114754098360657,5
406,1494,53,1,2.0,2.4912985274431056,5
410,432,87,1,1.5,2.0069444444444446,5
415,773,39,1,2.0,2.332470892626132,5
429,1504,86,1,2.0,2.2799202127659575,5
449,81,61,1,1.0,1.0123456790123457,2
463,160,114,1,1.0,1.0,1
474,1072,55,1,2.0,2.4151119402985075,5
485,986,51,1,2.0,2.4036511156186613,5
487,1589,46,1,2.0,2.526117054751416,5
488,282,35,1,1.0,1.3971631205673758,3
