cluster,count,density
0,341,0.001705
1,455,0.002275
2,768,0.00384
3,713,0.003565
4,680,0.0034
5,381,0.001905
6,619,0.003095
7,690,0.00345
8,610,0.00305
9,196,0.00098
10,705,0.003525
11,218,0.00109
12,277,0.001385
13,301,0.001505
14,242,0.00121
15,174,0.00087
16,612,0.00306
17,153,0.000765
18,320,0.0016
19,282,0.00141
20,255,0.001275
21,267,0.001335
22,750,0.00375
23,458,0.00229
24,595,0.002975
25,334,0.00167
26,438,0.00219
27,226,0.00113
28,483,0.002415
29,390,0.00195
30,513,0.002565
31,315,0.001575
32,134,0.00067
33,120,0.0006
34,326,0.00163
35,393,0.001965
36,380,0.0019
37,483,0.002415
38,421,0.002105
39,541,0.002705
40,496,0.00248
41,430,0.00215
42,581,0.002905
43,384,0.00192
44,322,0.00161
45,63,0.000315
46,562,0.00281
47,464,0.00232
48,386,0.00193
49,195,0.000975
50,688,0.00344
51,419,0.002095
52,454,0.00227
53,357,0.001785
54,368,0.00184
55,419,0.002095
56,617,0.003085
57,501,0.002505
58,540,0.0027
59,466,0.00233
60,460,0.0023
61,300,0.0015
62,372,0.00186
63,636,0.00318
64,247,0.001235
65,160,0.0008
66,227,0.001135
67,418,0.00209
68,458,0.00229
69,422,0.00211
70,182,0.00091
71,344,0.00172
72,18,9e-05
73,414,0.00207
74,263,0.001315
75,321,0.001605
76,384,0.00192
77,468,0.00234
78,433,0.002165
79,665,0.003325
80,621,0.003105
81,301,0.001505
82,348,0.00174
83,368,0.00184
84,637,0.003185
85,317,0.001585
86,370,0.00185
87,456,0.00228
88,570,0.00285
89,217,0.001085
90,455,0.002275
91,299,0.001495
92,440,0.0022
93,425,0.002125
94,264,0.00132
95,457,0.002285
96,319,0.001595
97,391,0.001955
98,612,0.00306
99,371,0.001855
100,560,0.0028
101,458,0.00229
102,270,0.00135
103,30,0.00015
104,281,0.001405
105,140,0.0007
106,173,0.000865
107,86,0.00043
108,444,0.00222
109,597,0.002985
110,180,0.0009
111,213,0.001065
112,592,0.00296
113,482,0.00241
114,526,0.00263
115,571,0.002855
116,266,0.00133
117,599,0.002995
118,543,0.002715
119,469,0.002345
120,702,0.00351
121,424,0.00212
122,308,0.00154
123,411,0.002055
124,354,0.00177
125,835,0.004175
126,484,0.00242
127,67,0.000335
128,316,0.00158
129,335,0.001675
130,436,0.00218
131,359,0.001795
132,345,0.001725
133,691,0.003455
134,445,0.002225
135,370,0.00185
136,418,0.00209
137,260,0.0013
138,557,0.002785
139,630,0.00315
140,592,0.00296
141,333,0.001665
142,337,0.001685
143,685,0.003425
144,652,0.00326
145,280,0.0014
146,578,0.00289
147,824,0.00412
148,231,0.001155
149,449,0.002245
150,314,0.00157
151,458,0.00229
152,339,0.001695
153,396,0.00198
154,84,0.00042
155,404,0.00202
156,285,0.001425
157,448,0.00224
158,197,0.000985
159,150,0.00075
160,305,0.001525
161,403,0.002015
162,132,0.00066
163,151,0.000755
164,551,0.002755
165,428,0.00214
166,578,0.00289
167,581,0.002905
168,207,0.001035
169,615,0.003075
170,501,0.002505
171,686,0.00343
172,594,0.00297
173,535,0.002675
174,401,0.002005
175,1006,0.00503
176,586,0.00293
177,399,0.001995
178,336,0.00168
179,330,0.00165
180,463,0.002315
181,361,0.001805
182,413,0.002065
183,366,0.00183
184,522,0.00261
185,297,0.001485
186,252,0.00126
187,229,0.001145
188,371,0.001855
189,237,0.001185
190,338,0.00169
191,458,0.00229
192,117,0.000585
193,31,0.000155
194,401,0.002005
195,240,0.0012
196,574,0.00287
197,152,0.00076
198,185,0.000925
199,536,0.00268
200,338,0.00169
201,350,0.00175
202,218,0.00109
203,502,0.00251
204,304,0.00152
205,138,0.00069
206,529,0.002645
207,581,0.002905
208,364,0.00182
209,305,0.001525
210,314,0.00157
211,78,0.00039
212,299,0.001495
213,514,0.00257
214,304,0.00152
215,202,0.00101
216,332,0.00166
217,629,0.003145
218,391,0.001955
219,381,0.001905
220,348,0.00174
221,381,0.001905
222,568,0.00284
223,385,0.001925
224,687,0.003435
225,183,0.000915
226,77,0.000385
227,500,0.0025
228,480,0.0024
229,612,0.00306
230,688,0.00344
231,450,0.00225
232,420,0.0021
233,382,0.00191
234,480,0.0024
235,56,0.00028
236,339,0.001695
237,393,0.001965
238,481,0.002405
239,449,0.002245
240,522,0.00261
241,390,0.00195
242,344,0.00172
243,569,0.002845
244,472,0.00236
245,214,0.00107
246,476,0.00238
247,577,0.002885
248,427,0.002135
249,261,0.001305
250,180,0.0009
251,535,0.002675
252,696,0.00348
253,364,0.00182
254,312,0.00156
255,406,0.00203
256,303,0.001515
257,437,0.002185
258,502,0.00251
259,204,0.00102
260,319,0.001595
261,601,0.003005
262,556,0.00278
263,426,0.00213
264,269,0.001345
265,312,0.00156
266,760,0.0038
267,427,0.002135
268,510,0.00255
269,213,0.001065
270,218,0.00109
271,471,0.002355
272,552,0.00276
273,640,0.0032
274,419,0.002095
275,369,0.001845
276,199,0.000995
277,180,0.0009
278,299,0.001495
279,586,0.00293
280,457,0.002285
281,733,0.003665
282,289,0.001445
283,432,0.00216
284,336,0.00168
285,261,0.001305
286,375,0.001875
287,418,0.00209
288,571,0.002855
289,282,0.00141
290,581,0.002905
291,399,0.001995
292,365,0.001825
293,223,0.001115
294,506,0.00253
295,80,0.0004
296,477,0.002385
297,327,0.001635
298,387,0.001935
299,505,0.002525
300,382,0.00191
301,372,0.00186
302,208,0.00104
303,494,0.00247
304,603,0.003015
305,65,0.000325
306,462,0.00231
307,443,0.002215
308,344,0.00172
309,611,0.003055
310,383,0.001915
311,518,0.00259
312,170,0.00085
313,321,0.001605
314,459,0.002295
315,614,0.00307
316,500,0.0025
317,483,0.002415
318,611,0.003055
319,449,0.002245
320,457,0.002285
321,518,0.00259
322,217,0.001085
323,373,0.001865
324,656,0.00328
325,399,0.001995
326,481,0.002405
327,420,0.0021
328,556,0.00278
329,534,0.00267
330,144,0.00072
331,404,0.00202
332,532,0.00266
333,254,0.00127
334,455,0.002275
335,653,0.003265
336,257,0.001285
337,423,0.002115
338,431,0.002155
339,357,0.001785
340,528,0.00264
341,300,0.0015
342,239,0.001195
343,408,0.00204
344,386,0.00193
345,426,0.00213
346,439,0.002195
347,527,0.002635
348,434,0.00217
349,308,0.00154
350,288,0.00144
351,99,0.000495
352,367,0.001835
353,278,0.00139
354,447,0.002235
355,434,0.00217
356,414,0.00207
357,428,0.00214
358,169,0.000845
359,269,0.001345
360,247,0.001235
361,483,0.002415
362,503,0.002515
363,389,0.001945
364,439,0.002195
365,150,0.00075
366,360,0.0018
367,260,0.0013
368,72,0.00036
369,399,0.001995
370,132,0.00066
371,144,0.00072
372,377,0.001885
373,353,0.001765
374,127,0.000635
375,491,0.002455
376,386,0.00193
377,110,0.00055
378,544,0.00272
379,276,0.00138
380,241,0.001205
381,319,0.001595
382,612,0.00306
383,590,0.00295
384,341,0.001705
385,762,0.00381
386,311,0.001555
387,477,0.002385
388,470,0.00235
389,575,0.002875
390,462,0.00231
391,380,0.0019
392,201,0.001005
393,71,0.000355
394,398,0.00199
395,358,0.00179
396,70,0.00035
397,480,0.0024
398,648,0.00324
399,256,0.00128
400,366,0.00183
401,325,0.001625
402,434,0.00217
403,202,0.00101
404,438,0.00219
405,393,0.001965
406,561,0.002805
407,292,0.00146
408,393,0.001965
409,256,0.00128
410,501,0.002505
411,480,0.0024
412,240,0.0012
413,462,0.00231
414,541,0.002705
415,372,0.00186
416,306,0.00153
417,214,0.00107
418,166,0.00083
419,221,0.001105
420,298,0.00149
421,341,0.001705
422,275,0.001375
423,398,0.00199
424,337,0.001685
425,411,0.002055
426,368,0.00184
427,415,0.002075
428,269,0.001345
429,660,0.0033
430,526,0.00263
431,240,0.0012
432,579,0.002895
433,590,0.00295
434,260,0.0013
435,400,0.002
436,308,0.00154
437,354,0.00177
438,249,0.001245
439,437,0.002185
440,501,0.002505
441,455,0.002275
442,289,0.001445
443,338,0.00169
444,372,0.00186
445,186,0.00093
446,282,0.00141
447,453,0.002265
448,323,0.001615
449,362,0.00181
450,199,0.000995
451,188,0.00094
452,352,0.00176
453,313,0.001565
454,192,0.00096
455,506,0.00253
456,70,0.00035
457,366,0.00183
458,407,0.002035
459,72,0.00036
460,442,0.00221
461,315,0.001575
462,670,0.00335
463,432,0.00216
464,345,0.001725
465,288,0.00144
466,181,0.000905
467,373,0.001865
468,167,0.000835
469,361,0.001805
470,444,0.00222
471,415,0.002075
472,267,0.001335
473,373,0.001865
474,467,0.002335
475,385,0.001925
476,218,0.00109
477,355,0.001775
478,477,0.002385
479,376,0.00188
480,321,0.001605
481,590,0.00295
482,368,0.00184
483,173,0.000865
484,247,0.001235
485,431,0.002155
486,156,0.00078
487,618,0.00309
488,293,0.001465
489,397,0.001985
490,220,0.0011
491,453,0.002265
492,345,0.001725
493,478,0.00239
494,577,0.002885
495,480,0.0024
496,513,0.002565
497,495,0.002475
498,199,0.000995
499,353,0.001765
500,528,0.00264
501,392,0.00196
502,442,0.00221
503,246,0.00123
504,279,0.001395
505,475,0.002375
506,338,0.00169
507,444,0.00222
508,447,0.002235
509,463,0.002315
510,354,0.00177
511,180,0.0009
