cluster,selected,selection_method,density,bottleneck_score,rank_density,rank_bottleneck
0,True,core_plus_bottleneck,0.00358,0.45950620974117795,13,113
1,True,core_plus_bottleneck,0.00349,0.673442512637898,15,11
2,False,core_plus_bottleneck,0.00185,0.36694691349808706,290,231
3,False,core_plus_bottleneck,0.001985,0.3862611626141144,255,206
4,False,core_plus_bottleneck,0.00243,0.4054202172241348,149,183
5,False,core_plus_bottleneck,0.001745,0.343214689408575,317,258
6,False,core_plus_bottleneck,0.002285,0.4292429283663892,185,150
7,False,core_plus_bottleneck,0.00146,0.29558422765740916,375,316
8,False,core_plus_bottleneck,0.002035,0.37766658168456246,240,219
9,True,core_plus_bottleneck,0.00274,0.5242537007500745,82,57
10,False,core_plus_bottleneck,0.00169,0.4041657564420045,327,186
11,True,core_plus_bottleneck,0.002895,0.39314181639102885,61,195
12,False,core_plus_bottleneck,0.001985,0.28439827839810244,256,328
13,False,core_plus_bottleneck,0.00136,0.24046978337090574,389,379
14,False,core_plus_bottleneck,0.001595,0.3840756948690108,349,210
15,False,core_plus_bottleneck,0.00183,0.34024253873048904,300,263
16,False,core_plus_bottleneck,0.0016,0.3560745572764336,346,242
17,False,core_plus_bottleneck,0.00232,0.43793006254340455,178,140
18,True,core_plus_bottleneck,0.0029,0.4864463837903914,56,88
19,True,core_plus_bottleneck,0.003005,0.5792481366426947,43,29
20,False,core_plus_bottleneck,0.00224,0.44483992050569743,197,133
21,True,core_plus_bottleneck,0.00286,0.5296172487830693,70,55
22,False,core_plus_bottleneck,0.000865,0.1658772992562437,459,427
23,False,core_plus_bottleneck,0.00117,0.23102293816137703,420,388
24,True,core_plus_bottleneck,0.00242,0.4773710221014241,152,95
25,True,core_plus_bottleneck,0.002535,0.48084329139645143,121,92
26,False,core_plus_bottleneck,0.00037,0.0015754008975808996,498,496
27,True,core_plus_bottleneck,0.00279,0.5589797486781822,78,41
28,True,core_plus_bottleneck,0.00316,0.478536569401684,33,94
29,False,core_plus_bottleneck,0.001485,0.09487052959413754,371,457
30,False,core_plus_bottleneck,0.000715,0.16637554172482413,470,426
31,True,core_plus_bottleneck,0.003345,0.6538500530061797,21,14
32,False,core_plus_bottleneck,0.001495,0.28916537936150627,365,322
33,False,core_plus_bottleneck,0.00241,0.2752584845596616,155,344
34,False,core_plus_bottleneck,0.00064,0.05455906404789999,479,475
35,True,core_plus_bottleneck,0.003665,0.5761382399254016,9,31
36,False,core_plus_bottleneck,0.00196,0.35199211266866526,265,248
37,True,core_plus_bottleneck,0.00365,0.6011990158805095,10,25
38,False,core_plus_bottleneck,0.00227,0.4048165447025026,188,184
39,False,core_plus_bottleneck,0.001505,0.28675321366537887,362,324
40,False,core_plus_bottleneck,0.001925,0.30322196343730246,274,309
41,False,core_plus_bottleneck,0.0013,0.25923292276378157,406,364
42,False,core_plus_bottleneck,0.00203,0.3830456265885289,243,214
43,True,core_plus_bottleneck,0.0029,0.5619696820657238,57,40
44,False,core_plus_bottleneck,0.00133,0.1968743857695911,396,410
45,False,core_plus_bottleneck,0.002065,0.37283627883790393,233,223
46,False,core_plus_bottleneck,0.002535,0.4500305223376201,122,127
47,False,core_plus_bottleneck,0.001865,0.3732349453463206,287,222
48,False,core_plus_bottleneck,0.000335,0.10231722092621368,499,454
49,False,core_plus_bottleneck,0.00177,0.36568258922877633,313,232
50,False,core_plus_bottleneck,0.001785,0.34273012763232114,308,261
51,True,core_plus_bottleneck,0.002725,0.5201608434488978,85,62
52,False,core_plus_bottleneck,0.00122,0.1413908373951,414,442
53,False,core_plus_bottleneck,0.0009,0.17766590900782164,455,422
54,True,core_plus_bottleneck,0.002695,0.5109919405578703,90,66
55,False,core_plus_bottleneck,0.001055,0.15259707806363382,438,436
56,True,core_plus_bottleneck,0.002585,0.48875811213252385,108,84
57,True,core_plus_bottleneck,0.002985,0.5372918071902918,45,52
58,False,core_plus_bottleneck,0.00179,0.3974665376133867,307,192
59,False,core_plus_bottleneck,0.00231,0.3262434160044408,180,286
60,True,core_plus_bottleneck,0.00323,0.48326515740152803,28,91
61,True,core_plus_bottleneck,0.003445,0.6631806450032147,16,13
62,False,core_plus_bottleneck,0.001825,0.40850890980432564,304,178
63,True,core_plus_bottleneck,0.0027,0.47694324898144264,87,96
64,False,core_plus_bottleneck,0.000125,0.0106306189835821,512,492
65,False,core_plus_bottleneck,0.001685,0.38381492326085187,329,211
66,False,core_plus_bottleneck,0.001065,0.15568655989642438,436,434
67,False,core_plus_bottleneck,0.002515,0.26974260038297904,128,346
68,True,core_plus_bottleneck,0.002665,0.5316903340858485,94,54
69,False,core_plus_bottleneck,0.00096,0.1747911431519394,444,424
70,False,core_plus_bottleneck,0.002275,-0.1375561245051612,186,512
71,True,core_plus_bottleneck,0.00383,0.6334984737060858,6,18
72,False,core_plus_bottleneck,0.00235,0.4210828916105408,167,156
73,False,core_plus_bottleneck,0.001765,0.31591825234314547,314,299
74,False,core_plus_bottleneck,0.0007,0.2833270747444109,472,330
75,True,core_plus_bottleneck,0.000415,0.5264248042433349,494,56
76,False,core_plus_bottleneck,0.002045,0.3507813725948643,238,249
77,True,core_plus_bottleneck,0.002685,0.5235658865155246,92,58
78,False,core_plus_bottleneck,0.00253,0.38716733317722607,124,204
79,True,core_plus_bottleneck,0.002455,0.5169876573059311,142,64
80,True,core_plus_bottleneck,0.00365,0.6767236340498651,11,10
81,False,core_plus_bottleneck,0.000705,0.09869484059980294,471,456
82,True,core_plus_bottleneck,0.002935,0.3400874356445188,50,265
83,False,core_plus_bottleneck,0.000925,0.17883125372001807,449,421
84,False,core_plus_bottleneck,0.001665,0.326624381169482,334,285
85,True,core_plus_bottleneck,0.00336,0.46211032510296324,20,111
86,False,core_plus_bottleneck,0.00154,0.3374510036198294,358,268
87,False,core_plus_bottleneck,0.000925,0.1894890606458384,450,414
88,False,core_plus_bottleneck,0.001925,0.3856888404584652,275,207
89,False,core_plus_bottleneck,0.00157,0.2803944896999983,353,333
90,True,core_plus_bottleneck,0.0039,0.7485368741238662,4,6
91,True,core_plus_bottleneck,0.00265,0.0724718073918941,98,466
92,False,core_plus_bottleneck,0.001265,0.11438674354644178,409,447
93,False,core_plus_bottleneck,0.001465,0.20671538450106575,374,408
94,False,core_plus_bottleneck,0.00077,0.08172075658786435,464,463
95,False,core_plus_bottleneck,0.00143,0.07458978771844228,382,465
96,False,core_plus_bottleneck,0.001835,0.3530788109028301,299,247
97,True,core_plus_bottleneck,0.000655,0.9080913611334955,476,3
98,False,core_plus_bottleneck,0.000445,0.03142793936329915,492,487
99,False,core_plus_bottleneck,0.000925,0.11931096312740602,451,445
100,False,core_plus_bottleneck,0.00207,0.3985792254467116,231,191
101,False,core_plus_bottleneck,0.0003,0.06711852140876493,503,468
102,False,core_plus_bottleneck,0.00185,0.314860537365516,291,301
103,False,core_plus_bottleneck,0.001165,0.27712385716248694,422,342
104,False,core_plus_bottleneck,0.00256,0.4134205585556019,114,169
105,False,core_plus_bottleneck,0.002605,0.3433303801966492,103,256
106,True,core_plus_bottleneck,0.00274,0.45572049071769694,83,119
107,False,core_plus_bottleneck,0.00233,0.4080918338392103,174,179
108,True,core_plus_bottleneck,0.00302,0.5718442734172178,41,33
109,True,core_plus_bottleneck,0.003395,0.6253990995554293,18,20
110,True,core_plus_bottleneck,0.00215,0.4992024050132423,213,75
111,True,core_plus_bottleneck,0.00314,0.42369042480859526,35,153
112,True,core_plus_bottleneck,0.00368,0.6845599026807774,8,9
113,False,core_plus_bottleneck,0.00131,0.29132643938973735,404,320
114,True,core_plus_bottleneck,0.0029,0.5813477691456842,58,28
115,False,core_plus_bottleneck,0.00108,0.19074795475686945,435,412
116,True,core_plus_bottleneck,0.0027,0.5170541518602025,88,63
117,True,core_plus_bottleneck,0.001925,0.5408010056967594,276,50
118,True,core_plus_bottleneck,0.004295,0.4417352372842072,1,134
119,False,core_plus_bottleneck,0.001845,0.32602460680798184,297,287
120,False,core_plus_bottleneck,0.00249,0.39135587291175644,134,199
121,True,core_plus_bottleneck,0.00244,0.4752068256312598,145,99
122,False,core_plus_bottleneck,0.00162,0.27769985281922815,342,339
123,False,core_plus_bottleneck,0.00116,0.23354242295297023,425,385
124,True,core_plus_bottleneck,0.00296,0.430324664260063,47,149
125,True,core_plus_bottleneck,0.002465,0.48630049104884887,138,89
126,False,core_plus_bottleneck,0.0016,0.3234795117579134,347,291
127,False,core_plus_bottleneck,0.000975,-0.005436849284485561,442,499
128,False,core_plus_bottleneck,0.001545,0.21894544776120956,356,395
129,False,core_plus_bottleneck,0.00198,0.3922988392940528,257,196
130,False,core_plus_bottleneck,0.00198,0.24669213590893285,258,374
131,False,core_plus_bottleneck,0.00231,0.412400804593708,181,172
132,True,core_plus_bottleneck,0.00264,0.21623596883276164,99,400
133,False,core_plus_bottleneck,0.002425,0.4126084159830935,150,170
134,False,core_plus_bottleneck,0.00221,0.3967806367876824,200,194
135,False,core_plus_bottleneck,0.00123,0.26871943765067946,413,347
136,False,core_plus_bottleneck,0.00226,0.4457626606476237,191,132
137,False,core_plus_bottleneck,0.001295,0.22865415090561175,407,389
138,False,core_plus_bottleneck,0.002015,0.3707640811088272,246,225
