query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids,ep_id,num_virtual_edges_used,num_real_option_edges_used,virtual_edge_ratio
0,229,404,True,2,10.0,229 149 404,-1 -1,0,2,0,1.0
1,7,380,True,1,5.0,7 380,-1,1,1,0,1.0
2,401,477,True,3,12.707106781186548,401 315 485 477,-1 749 -1,2,2,1,0.6666666666666666
3,315,106,True,3,12.288675134594813,315 100 171 106,-1 218 -1,3,2,1,0.6666666666666666
4,428,224,True,3,13.316227766016837,428 474 309 224,-1 968 -1,4,2,1,0.6666666666666666
5,327,27,True,3,13.185695338177052,327 109 259 27,-1 227 -1,5,2,1,0.6666666666666666
6,55,461,False,0,inf,,,6,0,0,0.0
7,64,67,True,3,11.577350269189626,64 163 371 67,-1 399 -1,7,2,1,0.6666666666666666
8,440,380,True,2,10.0,440 7 380,-1 -1,8,2,0,1.0
9,0,470,True,2,10.0,0 167 470,-1 -1,9,2,0,1.0
10,480,240,True,3,13.144337567297406,480 88 23 240,-1 208 -1,10,2,1,0.6666666666666666
11,67,207,True,5,21.654700538379252,67 243 199 252 259 207,-1 584 504 622 -1,11,2,3,0.4
12,152,177,True,4,15.84461151110205,152 10 112 259 177,-1 47 234 -1,12,2,2,0.5
13,5,53,True,4,16.537457478565265,5 125 247 371 53,-1 265 593 -1,13,2,2,0.5
14,214,96,True,4,15.704350396189817,214 23 157 315 96,-1 84 392 -1,14,2,2,0.5
15,338,321,True,3,14.21320071635561,338 402 474 321,-1 866 -1,15,2,1,0.6666666666666666
16,352,59,False,0,inf,,,16,0,0,0.0
17,475,393,False,0,inf,,,17,0,0,0.0
18,84,119,True,2,10.0,84 115 119,-1 -1,18,2,0,1.0
19,385,369,True,2,10.0,385 259 369,-1 -1,19,2,0,1.0
20,402,500,True,4,18.35546188596382,402 290 8 149 500,-1 720 41 -1,20,2,2,0.5
21,389,98,True,2,10.0,389 208 98,-1 -1,21,2,0,1.0
22,372,506,True,3,13.5,372 474 261 506,-1 966 -1,22,2,1,0.6666666666666666
23,311,203,True,4,14.460333460333525,311 171 271 1 203,-1 453 672 -1,23,2,2,0.5
24,421,192,True,3,14.377964473009227,421 39 371 192,-1 133 -1,24,2,1,0.6666666666666666
25,327,98,True,3,12.577350269189626,327 199 402 98,-1 506 -1,25,2,1,0.6666666666666666
26,327,507,True,2,10.0,327 171 507,-1 -1,26,2,0,1.0
27,390,300,True,4,16.3431085069014,390 175 74 449 300,-1 471 181 -1,27,2,2,0.5
28,39,36,True,3,12.316227766016837,39 169 139 36,-1 433 -1,28,2,1,0.6666666666666666
