query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids
0,229,404,True,4,15.631463551151384,229 157 167 316 404,1284 870 943 1858
1,84,119,True,3,15.082182187665467,84 316 404 119,450 1858 2256
2,385,369,True,3,13.930006552181377,385 24 301 369,2145 174 1767
3,402,500,True,5,23.174124964039756,402 7 196 207 303 500,2229 61 1130 1206 1771
4,389,98,True,2,14.148045101028075,389 296 98,2191 1718
5,311,203,True,4,20.56834440275476,311 87 196 1 203,1808 463 1125 2
6,39,36,True,3,14.572153270861449,39 383 273 36,270 2138 1618
7,184,40,True,3,25.623292317151083,184 50 303 40,1113 320 1768
8,246,495,True,4,24.62224897722944,246 238 309 227 495,1407 1353 1797 1264
9,147,26,True,2,14.40091431901307,147 227 26,804 1256
10,143,271,True,2,11.647213595499958,143 440 271,764 2462
11,509,385,True,3,14.623918400878008,509 361 243 385,2738 2044 1386
12,252,244,True,4,16.44063081226478,252 371 385 411 244,1481 2088 2159 2323
13,494,172,True,3,15.867633906377883,494 199 171 172,2663 1148 986
14,478,261,True,2,10.960753515272327,478 36 261,2585 229
15,440,117,True,3,13.404700538379252,440 263 405 117,2461 1545 2285
