cluster,num_segments,num_episodes,min_h,median_h,mean_h,max_h
2,4886,31,1,5.0,6.528857961522718,25
3,2169,54,1,3.0,2.9972337482710927,12
4,3758,33,1,4.0,4.9960085151676425,25
6,2734,37,1,4.0,5.956108266276518,25
7,3439,35,1,4.0,5.28002326257633,19
8,1644,64,1,2.0,3.059610705596107,15
10,3534,33,1,4.0,5.309564233163554,25
16,3603,30,1,5.0,6.184013322231474,25
21,2,2,1,1.0,1.0,1
22,2700,74,1,3.0,3.49,19
24,2906,39,1,4.0,4.5065381968341365,19
26,890,43,1,2.0,2.966292134831461,25
28,1280,49,1,2.0,3.13203125,25
30,2111,39,1,3.0,3.753671245855045,15
34,90,74,1,1.0,1.0,1
37,1913,37,1,3.0,3.6706743335075798,22
39,1843,50,1,3.0,4.962561041779707,25
40,1634,47,1,3.0,3.226438188494492,14
42,1786,59,1,3.0,3.2032474804031357,12
43,409,99,1,1.0,1.466992665036675,3
46,2063,41,1,3.0,3.332040717401842,11
47,2798,20,1,4.0,5.378484631879914,25
50,4226,24,1,5.0,5.685754850922859,25
56,1781,53,1,2.0,2.9584503088152725,25
57,1539,40,1,3.0,3.087719298245614,10
58,2127,38,1,3.0,4.442407146215327,25
59,1517,31,1,3.0,3.0039551746868822,9
60,2273,27,1,4.0,4.570171579410471,18
63,2230,45,1,3.0,3.385201793721973,13
73,1342,32,1,3.0,3.6363636363636362,16
77,1353,46,1,2.0,3.3244641537324466,25
79,2141,47,1,3.0,3.263428304530593,25
80,1912,45,1,3.0,3.3091004184100417,12
84,4023,40,1,6.0,7.947054436987323,25
86,1341,30,1,3.0,3.4295302013422817,12
87,1740,24,1,3.0,4.158620689655172,15
88,3873,31,1,6.0,7.758068680609346,25
95,1453,39,1,3.0,3.415691672401927,14
98,4633,27,1,6.0,8.078998489099936,25
100,2351,36,1,4.0,4.811569544874521,25
109,4972,32,1,8.0,9.46781979082864,25
112,2330,25,1,3.0,4.171244635193133,25
113,1488,52,1,3.0,3.247311827956989,15
114,2751,21,1,4.0,4.764812795347146,18
115,1864,44,1,3.0,3.8358369098712446,17
117,1970,50,1,3.0,3.4766497461928934,15
118,3004,21,1,4.0,5.021970705725699,25
119,2603,23,1,4.0,5.813676527084134,25
120,2219,61,1,3.0,2.9945921586300135,10
121,162,117,1,1.0,1.0,1
125,7039,34,1,6.0,7.87498224179571,25
126,5021,29,1,9.0,10.206134236207927,25
133,4579,33,1,5.0,6.78663463638349,25
135,887,43,1,2.0,2.668545659526494,8
138,3232,21,1,5.0,5.9245049504950495,25
139,1764,80,1,3.0,3.018140589569161,14
140,2204,26,1,3.0,3.690562613430127,16
143,4091,39,1,5.0,6.788804693229039,25
144,4240,27,1,5.0,7.0797169811320755,25
146,1583,45,1,2.0,2.9437776373973468,25
147,5833,37,1,6.0,7.864906566089491,25
149,1063,53,1,2.0,3.2634054562558794,25
151,1106,48,1,2.0,2.9104882459312837,15
157,1072,56,1,2.0,2.8190298507462686,12
163,51,27,1,1.0,1.6666666666666667,11
164,1975,51,1,4.0,4.794430379746835,25
166,1915,43,1,3.0,3.1530026109660576,12
