query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids
0,229,404,True,4,10.786365545746719,229 149 42 334 404,747 506 174 1109
1,84,119,True,3,8.854700367302241,84 316 404 119,270 1031 1249
2,389,98,True,2,8.205999788000636,389 296 98,1218 964
3,311,203,True,4,11.766864351995725,311 171 271 1 203,1008 616 891 2
4,184,40,True,4,16.297149365794343,184 50 491 303 40,661 190 1412 969
5,246,495,True,4,15.579412406351087,246 387 309 227 495,833 1202 994 735
6,441,326,True,3,11.988647904455174,441 7 28 326,1325 27 126
7,147,26,True,2,8.111752280340436,147 227 26,500 731
8,280,494,True,5,16.55457400272889,280 509 279 474 317 494,928 1485 925 1383 1047
9,389,319,True,3,10.734089005622215,389 58 243 319,1214 205 817
10,10,239,True,3,10.233927928545771,10 387 309 239,71 1202 995
11,143,271,True,2,9.085071254195775,143 470 271,480 1366
12,509,385,True,3,9.755928946018454,509 361 217 385,1487 1133 719
13,252,244,True,4,14.425213372734337,252 30 404 316 244,845 137 1256 1026
14,494,172,True,3,9.73461631479998,494 311 171 172,1428 1008 613
15,478,261,True,2,7.755928946018454,478 481 261,1394 1398
16,440,117,True,4,12.781474414421558,440 167 316 404 117,1319 584 1031 1248
