cluster,selected,selection_method,density,bottleneck_score,rank_density,rank_bottleneck
0,False,density,0.001705,0.2741570683497987,323,313
1,False,density,0.002275,0.45088617922463764,166,76
2,True,density,0.00384,0.5060326060585574,4,40
3,True,density,0.003565,0.629648657579577,9,8
4,True,density,0.0034,0.4173791207178176,20,120
5,False,density,0.001905,0.1967390487350021,268,401
6,True,density,0.003095,0.5269899781612348,34,27
7,True,density,0.00345,0.4663850717409367,14,63
8,True,density,0.00305,0.5520708483104224,45,20
9,False,density,0.00098,0.25750692267175546,457,338
10,True,density,0.003525,0.5168190114923633,10,33
11,False,density,0.00109,0.1797439836978085,437,419
12,False,density,0.001385,0.24975539748295555,395,347
13,False,density,0.001505,0.28656225493440496,372,297
14,False,density,0.00121,0.2291805092662268,423,368
15,False,density,0.00087,0.13543471260581214,470,452
16,True,density,0.00306,0.4064990337980829,39,140
17,False,density,0.000765,0.22151574547390615,479,375
18,False,density,0.0016,0.2016735795569684,349,398
19,False,density,0.00141,0.2132034867027483,388,385
20,False,density,0.001275,0.20862636820632385,415,390
21,False,density,0.001335,0.4564190951629047,402,70
22,True,density,0.00375,0.658566994031446,7,5
23,False,density,0.00229,0.3392820723510144,157,231
24,True,density,0.002975,0.454373515354646,50,74
25,False,density,0.00167,0.2769332216939042,337,311
26,False,density,0.00219,0.44138907383266035,190,87
27,False,density,0.00113,0.07996057402197963,433,470
28,False,density,0.002415,0.4482102857140421,124,79
29,False,density,0.00195,0.3153934466770496,254,268
30,False,density,0.002565,0.41456735648373855,104,125
31,False,density,0.001575,0.253724018996931,355,342
32,False,density,0.00067,0.046474278182933516,488,481
33,False,density,0.0006,0.017596733688715217,492,497
34,False,density,0.00163,0.3865326323824087,342,157
35,False,density,0.001965,0.3166463303910131,247,266
36,False,density,0.0019,0.4167941089388573,271,121
37,False,density,0.002415,0.43966762954947713,125,89
38,False,density,0.002105,0.34710500617800466,214,218
39,False,density,0.002705,0.4192227513698098,85,115
40,False,density,0.00248,0.41533900929991796,119,123
41,False,density,0.00215,0.29498406627238716,203,289
42,True,density,0.002905,0.47491638477182785,59,56
43,False,density,0.00192,0.33474417985826144,263,240
44,False,density,0.00161,0.20784594984973204,345,392
45,False,density,0.000315,0.06385424367141337,508,477
46,False,density,0.00281,0.5144235376173562,75,35
47,False,density,0.00232,0.299843420702608,149,283
48,False,density,0.00193,0.3280516829944038,258,252
49,False,density,0.000975,0.012783878612687212,458,499
50,True,density,0.00344,0.44007799906821427,15,88
51,False,density,0.002095,0.39310961658845517,217,148
52,False,density,0.00227,0.14297485369456903,170,448
53,False,density,0.001785,0.24339429056107154,305,355
54,False,density,0.00184,0.18393140906822356,288,416
55,False,density,0.002095,0.31866395904813305,218,262
56,True,density,0.003085,0.546295695164103,36,23
57,False,density,0.002505,0.41136291256120494,113,129
58,False,density,0.0027,0.45186023359126204,87,75
59,False,density,0.00233,0.4149089499255185,148,124
60,False,density,0.0023,0.3328644583677285,155,243
61,False,density,0.0015,0.31607220681142817,374,267
62,False,density,0.00186,0.21467106157808197,279,384
63,True,density,0.00318,0.5223469789125815,30,30
64,False,density,0.001235,0.2177179567826305,419,380
65,False,density,0.0008,0.3378379492017423,477,234
66,False,density,0.001135,0.23404870909441333,432,362
67,False,density,0.00209,0.23783613199880876,220,358
68,False,density,0.00229,0.36019858649655656,158,204
69,False,density,0.00211,0.36324044639885344,213,197
70,False,density,0.00091,0.11643461224824797,464,461
71,False,density,0.00172,-0.09785535141975506,320,512
72,False,density,9e-05,0.019724148577320674,512,495
73,False,density,0.00207,0.3633164999198977,225,196
74,False,density,0.001315,0.25919536845307767,406,333
75,False,density,0.001605,0.17392538027722967,346,421
76,False,density,0.00192,0.3867458450820837,264,156
77,False,density,0.00234,0.45468121271843553,146,73
78,False,density,0.002165,0.25367804672706995,198,343
79,True,density,0.003325,0.5517843534590893,22,21
80,True,density,0.003105,0.5588642918402194,33,19
81,False,density,0.001505,0.18551258782308494,373,412
82,False,density,0.00174,0.3768162924723844,315,179
83,False,density,0.00184,0.3427933065946873,289,228
84,True,density,0.003185,0.41195225801547675,29,128
85,False,density,0.001585,0.32458401072163234,353,256
86,False,density,0.00185,0.3703258972137357,285,188
87,False,density,0.00228,0.3879183858570523,165,153
88,False,density,0.00285,0.33384741444142585,72,241
89,False,density,0.001085,0.29495293239871956,441,290
90,False,density,0.002275,0.3788868923572994,167,174
91,False,density,0.001495,0.18769001443770106,376,410
92,False,density,0.0022,0.37158127770253907,187,185
93,False,density,0.002125,0.35983794727461754,210,205
94,False,density,0.00132,0.23033828338386508,405,366
95,False,density,0.002285,0.4461146399799807,162,81
96,False,density,0.001595,0.2700050992681595,350,319
97,False,density,0.001955,0.18888702549188258,252,408
98,True,density,0.00306,0.3616230916054252,40,200
99,False,density,0.001855,0.15142302510309946,283,441
100,False,density,0.0028,0.4475706754377037,77,80
101,False,density,0.00229,0.11218839173953998,159,463
102,False,density,0.00135,0.22605910832559756,398,370
103,False,density,0.00015,0.02029265648597188,511,494
104,False,density,0.001405,0.22510422507280908,391,371
105,False,density,0.0007,-0.005785798584644196,486,503
106,False,density,0.000865,0.21240291850872378,471,388
107,False,density,0.00043,-0.012504022744349417,496,507
108,False,density,0.00222,0.3644640817844181,181,195
109,True,density,0.002985,0.4191216507483756,49,117
110,False,density,0.0009,0.1409763404183583,466,449
111,False,density,0.001065,0.16031873172652653,445,434
112,True,density,0.00296,0.4363004554376929,52,93
113,False,density,0.00241,0.4237111768924867,128,105
114,False,density,0.00263,0.38070524717740406,97,170
115,False,density,0.002855,0.4361315773981903,70,94
116,False,density,0.00133,0.06983287302129369,404,475
117,True,density,0.002995,0.5344425703503399,48,26
118,False,density,0.002715,0.34333695047534074,84,227
119,False,density,0.002345,0.3862208480641531,145,158
120,True,density,0.00351,0.6130857346776698,11,10
121,False,density,0.00212,0.4699998393487556,211,60
122,False,density,0.00154,0.1854991248790999,363,413
123,False,density,0.002055,0.3167486292366384,228,265
124,False,density,0.00177,0.2982659665910572,308,286
125,True,density,0.004175,0.38458229273974065,2,162
126,False,density,0.00242,0.19030438469934058,123,407
127,False,density,0.000335,0.03877795468374912,506,484
128,False,density,0.00158,0.26058852335013316,354,330
129,False,density,0.001675,0.26238407732426516,336,327
130,False,density,0.00218,0.3793239664634075,194,172
131,False,density,0.001795,0.256421422485456,303,340
132,False,density,0.001725,0.28396279054879947,317,299
133,True,density,0.003455,0.4199897531925896,13,111
134,False,density,0.002225,0.3438456489091378,180,225
135,False,density,0.00185,0.471528152987937,286,57
136,False,density,0.00209,0.3548665681678522,221,212
137,False,density,0.0013,0.2233498107037456,409,372
138,False,density,0.002785,0.37149556667399464,78,186
139,True,density,0.00315,0.5959274004721581,31,13
140,True,density,0.00296,0.45559398008994534,53,71
141,False,density,0.001665,0.2829149490189609,338,300
142,False,density,0.001685,0.2585042288492298,332,335
143,True,density,0.003425,0.4455726956647408,19,82
144,True,density,0.00326,0.4576649606576262,26,68
145,False,density,0.0014,0.2899637184560971,392,295
146,True,density,0.00289,0.5005561802374128,64,44
147,True,density,0.00412,0.4943556507899788,3,46
148,False,density,0.001155,0.1579112226857499,430,437
149,False,density,0.002245,0.5869552819932353,174,16
150,False,density,0.00157,0.19326529904626388,357,404
151,False,density,0.00229,0.41660248759315444,160,122
152,False,density,0.001695,0.16469374521046293,326,431
153,False,density,0.00198,0.3267343532306246,246,253
154,False,density,0.00042,0.15435153261572457,497,439
155,False,density,0.00202,0.331414950278739,233,245
156,False,density,0.001425,0.23933412753303263,387,357
157,False,density,0.00224,0.44947299264085244,177,77
158,False,density,0.000985,0.20802334492449304,456,391
159,False,density,0.00075,0.018948826631311137,482,496
160,False,density,0.001525,0.2503500685181753,367,345
161,False,density,0.002015,0.34634956011709245,235,221
162,False,density,0.00066,0.06596700892034726,489,476
163,False,density,0.000755,0.6693570037981764,481,4
164,False,density,0.002755,0.4294395894131626,82,101
165,False,density,0.00214,0.3538448066753317,204,215
166,False,density,0.00289,0.49434746115209705,65,47
167,True,density,0.002905,0.5911027493790922,60,15
168,False,density,0.001035,0.17068334780876632,448,425
169,True,density,0.003075,0.5223747081315763,37,29
170,False,density,0.002505,0.11863636701533503,114,459
171,True,density,0.00343,0.6420139129410399,18,6
172,True,density,0.00297,0.47083889708893917,51,59
173,False,density,0.002675,0.5473137009510376,89,22
174,False,density,0.002005,0.4203525031672468,236,108
175,True,density,0.00503,0.7906895530825655,1,3
176,True,density,0.00293,0.40872676638884164,57,134
177,False,density,0.001995,0.3194628989900812,239,261
178,False,density,0.00168,0.29374604046513875,334,291
179,False,density,0.00165,0.3901730212642237,340,150
180,False,density,0.002315,0.37860109787709934,150,176
