query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids,ep_id,num_virtual_edges_used,num_real_option_edges_used,virtual_edge_ratio
0,229,404,True,2,50.0,229 4 404,-1 -1,0,2,0,1.0
1,7,380,True,1,25.0,7 380,-1,1,1,0,1.0
2,401,477,True,4,78.59153222308049,401 175 7 290 477,-1 335 38 -1,2,2,2,0.5
3,315,106,True,1,25.0,315 106,-1,3,1,0,1.0
4,428,224,True,2,50.0,428 290 224,-1 -1,4,2,0,1.0
5,327,27,True,4,89.63484467791109,327 175 7 429 27,-1 335 40 -1,5,2,2,0.5
6,55,461,True,3,57.30151134457776,55 139 315 461,-1 236 -1,6,2,1,0.6666666666666666
7,64,67,True,6,77.75077261369852,64 207 167 290 383 169 67,-1 357 285 482 536 -1,7,2,4,0.3333333333333333
8,440,380,True,2,50.0,440 7 380,-1 -1,8,2,0,1.0
9,0,470,True,2,50.0,0 167 470,-1 -1,9,2,0,1.0
10,480,240,True,4,60.80676600306018,480 432 7 167 240,-1 569 35 -1,10,2,2,0.5
11,67,207,True,5,92.7315178636025,67 433 144 22 432 207,-1 579 249 91 -1,11,2,3,0.4
12,152,177,True,4,77.55632254061796,152 281 139 2 177,-1 467 220 -1,12,2,2,0.5
13,5,53,False,0,inf,,,13,0,0,0.0
14,214,96,True,2,50.0,214 171 96,-1 -1,14,2,0,1.0
15,338,321,True,3,68.20412414523193,338 169 217 321,-1 298 -1,15,2,1,0.6666666666666666
16,352,59,True,2,50.0,352 24 59,-1 -1,16,2,0,1.0
17,475,393,True,6,98.47038901282156,475 80 10 147 304 120 393,-1 151 60 274 485 -1,17,2,4,0.3333333333333333
18,84,119,True,2,50.0,84 433 119,-1 -1,18,2,0,1.0
19,385,369,True,1,25.0,385 369,-1,19,1,0,1.0
20,402,500,True,3,58.09407208683836,402 462 16 500,-1 587 -1,20,2,1,0.6666666666666666
21,389,98,True,2,50.0,389 385 98,-1 -1,21,2,0,1.0
22,372,506,True,2,50.0,372 144 506,-1 -1,22,2,0,1.0
23,311,203,True,3,73.25,311 175 133 203,-1 341 -1,23,2,1,0.6666666666666666
24,421,192,True,2,50.0,421 273 192,-1 -1,24,2,0,1.0
25,327,98,True,2,50.0,327 335 98,-1 -1,25,2,0,1.0
26,327,507,True,2,50.0,327 22 507,-1 -1,26,2,0,1.0
27,390,300,True,2,50.0,390 22 300,-1 -1,27,2,0,1.0
28,39,36,True,2,50.0,39 139 36,-1 -1,28,2,0,1.0
29,147,395,True,5,64.81708114157519,147 117 80 171 63 395,-1 193 158 315 -1,29,2,3,0.4
