query_id,ep_id,start_cluster,goal_cluster
0,0,229,404
1,1,7,380
2,2,401,477
3,3,315,106
4,4,428,224
5,5,327,27
6,6,55,461
7,7,64,67
8,8,440,380
9,9,0,470
10,10,480,240
11,11,67,207
12,12,152,177
13,13,5,53
14,14,214,96
15,15,338,321
16,16,352,59
17,17,475,393
18,18,84,119
19,19,385,369
20,20,402,500
21,21,389,98
22,22,372,506
23,23,311,203
24,24,421,192
25,25,327,98
26,26,327,507
27,27,390,300
28,28,39,36
29,29,147,395
30,30,184,40
31,31,39,208
32,32,432,48
33,33,97,400
34,34,401,301
35,35,67,256
36,36,443,446
37,37,257,214
38,38,246,495
39,39,471,261
40,40,494,45
41,41,117,182
42,42,453,511
43,43,152,51
44,44,441,326
45,45,423,254
46,46,147,26
47,47,97,484
48,48,327,458
49,49,385,308
50,50,39,73
51,51,366,5
52,52,231,355
53,53,67,399
54,54,420,267
55,55,394,399
56,56,280,494
57,57,389,319
58,58,10,239
59,59,260,247
60,60,352,293
61,61,441,458
62,62,394,46
63,63,48,462
64,64,143,271
65,65,494,434
66,66,327,7
67,67,401,377
68,68,62,509
69,69,436,343
70,70,509,385
71,71,142,473
72,72,252,244
73,73,372,480
74,74,62,505
75,75,287,188
76,76,366,117
77,77,455,356
78,78,62,241
79,79,62,467
80,80,352,335
81,81,115,94
82,82,327,288
83,83,352,37
84,84,62,293
85,85,161,194
86,86,327,98
87,87,352,185
88,88,391,448
89,89,117,197
90,90,494,172
91,91,152,246
92,92,7,349
93,93,478,261
94,94,436,332
95,95,440,117
96,96,230,129
97,97,287,349
98,98,287,249
99,99,390,467
