edge_id,src,dst,num_segments,num_episodes,min_h,median_h,mean_h,max_h,support_count,reverse_support_count,asymmetry,src_density,dst_density,src_bottleneck_score,dst_bottleneck_score,edge_bottleneck_score
0,1,6,15,1,1,4.0,3.6666666666666665,5,15,0,0.9999999999999333,0.054,0.071,1.5876422764227642,2.562764227642276,2.562764227642276
1,5,6,45,1,1,4.0,3.6666666666666665,5,45,60,-0.14285714285714152,0.067,0.071,0.4852845528455285,2.562764227642276,2.562764227642276
2,6,5,60,1,1,4.0,3.6666666666666665,5,60,45,0.14285714285714152,0.071,0.067,2.562764227642276,0.4852845528455285,2.562764227642276
3,15,20,71,1,1,4.0,3.6056338028169015,5,71,85,-0.08974358974358917,0.205,0.12,1.2,0.9910569105691056,1.2
4,16,15,15,1,1,4.0,3.6666666666666665,5,15,0,0.9999999999999333,0.04,0.205,0.358130081300813,1.2,1.2
5,18,23,60,2,1,4.0,3.6666666666666665,5,60,59,0.008403361344537745,0.084,0.186,1.1270731707317072,1.4778048780487805,1.4778048780487805
6,20,15,85,2,1,4.0,3.6,5,85,71,0.08974358974358917,0.12,0.205,0.9910569105691056,1.2,1.2
7,21,16,15,1,1,4.0,3.6666666666666665,5,15,0,0.9999999999999333,0.078,0.04,0.13585365853658538,0.358130081300813,0.358130081300813
8,21,20,15,1,1,4.0,3.6666666666666665,5,15,0,0.9999999999999333,0.078,0.12,0.13585365853658538,0.9910569105691056,0.9910569105691056
9,21,22,15,1,1,4.0,3.6666666666666665,5,15,0,0.9999999999999333,0.078,0.05,0.13585365853658538,1.0934959349593496,1.0934959349593496
10,22,23,15,1,1,4.0,3.6666666666666665,5,15,0,0.9999999999999333,0.05,0.186,1.0934959349593496,1.4778048780487805,1.4778048780487805
11,23,18,59,1,1,4.0,3.6440677966101696,5,59,60,-0.008403361344537745,0.186,0.084,1.4778048780487805,1.1270731707317072,1.4778048780487805
