cluster,selected,selection_method,density,bottleneck_score,rank_density,rank_bottleneck
0,False,core_plus_bottleneck,0.008,0.0716260162601626,12,11
1,True,core_plus_bottleneck,0.054,1.5876422764227642,8,2
5,True,core_plus_bottleneck,0.067,0.4852845528455285,7,8
6,True,core_plus_bottleneck,0.071,2.562764227642276,6,1
15,True,core_plus_bottleneck,0.205,1.2,1,4
16,True,core_plus_bottleneck,0.04,0.358130081300813,10,9
18,True,core_plus_bottleneck,0.084,1.1270731707317072,4,5
19,False,core_plus_bottleneck,0.037,0.029186991869918695,11,12
20,True,core_plus_bottleneck,0.12,0.9910569105691056,3,7
21,True,core_plus_bottleneck,0.078,0.13585365853658538,5,10
22,True,core_plus_bottleneck,0.05,1.0934959349593496,9,6
23,True,core_plus_bottleneck,0.186,1.4778048780487805,2,3
