probe_index,dataset_index,env_available,reset_probe_status,reset_supported,reset_method,obs_reconstruction_error,failure_reason,attempted_methods,missing_packages
0,16527,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
1,40973,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
2,75239,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
3,175266,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
4,269783,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
5,307826,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
6,503625,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
7,511129,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
8,606634,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
9,636952,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
10,649412,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
11,729496,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
12,813265,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
13,850611,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
14,912751,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
15,970741,True,reset_unsupported,False,,,unwrapped.set_state(obs): TypeError: MujocoEnv.set_state() missing 1 required positional argument: 'qvel',unwrapped.set_state(obs),
