episode_id,segment_source,segment_edge_id,edge_src,edge_dst,attempt_steps,completed,timeout,final_cluster,final_subgoal_l2,mean_selected_policy_action_mse
0,bank,5,1,3,5,0,1,1,11.131369590759277,0.037892282009124756
0,graph,0,1,3,6,0,1,1,5.8796868324279785,0.037892282009124756
0,bank,8,1,22,5,0,1,1,14.637350082397461,0.05232516676187515
0,bank,6,1,20,5,0,1,1,15.67570972442627,0.034240320324897766
0,bank,5,1,3,7,0,1,2,8.597260475158691,0.037892282009124756
0,bank,12,2,4,5,0,1,2,13.91028881072998,0.03261202201247215
0,bank,15,2,23,7,0,1,2,8.138331413269043,0.092484250664711
0,bank,14,2,22,2,1,0,22,15.978602409362793,0.022053662687540054
0,bank,123,22,23,11,0,1,22,23.573415756225586,0.025881420820951462
0,bank,121,22,3,5,0,1,22,9.874503135681152,0.3043484687805176
0,bank,123,22,23,6,0,1,1,9.622112274169922,0.4857388138771057
0,bank,7,1,21,9,1,0,21,8.270649909973145,0.04302719235420227
0,bank,117,21,41,5,0,1,21,12.909193992614746,0.033584024757146835
0,bank,114,21,20,5,0,1,21,15.010905265808105,0.035140685737133026
1,bank,5,1,3,5,0,1,1,12.937440872192383,0.037892282009124756
1,graph,0,1,3,5,0,1,1,7.044976234436035,0.037892282009124756
1,bank,8,1,22,7,0,1,2,11.749348640441895,0.03642692789435387
1,bank,12,2,4,5,0,1,2,15.5781888961792,0.0823717713356018
1,bank,15,2,23,5,0,1,2,10.95762825012207,0.092484250664711
1,bank,14,2,22,8,0,1,2,8.079087257385254,0.022053662687540054
1,bank,11,2,3,5,0,1,22,19.61418342590332,0.04129737615585327
1,bank,123,22,23,8,0,1,22,23.92987060546875,0.025880727916955948
1,bank,121,22,3,7,0,1,22,3.9202353954315186,0.3043484687805176
1,bank,123,22,23,5,0,1,21,18.909929275512695,0.4696210026741028
1,bank,117,21,41,9,0,1,21,7.430818557739258,0.056913986802101135
1,bank,114,21,20,5,0,1,21,14.992307662963867,0.035140685737133026
2,bank,5,1,3,5,0,1,1,11.9537992477417,0.037892282009124756
2,graph,0,1,3,5,0,1,1,6.757236957550049,0.037892282009124756
2,bank,8,1,22,10,0,1,1,11.849772453308105,0.02876284345984459
2,bank,6,1,20,6,0,1,1,15.117074966430664,0.034240320324897766
2,bank,5,1,3,5,0,1,1,12.413837432861328,0.037892282009124756
2,bank,7,1,21,5,0,1,2,12.987197875976562,0.04302719235420227
2,bank,12,2,4,8,0,1,2,14.30138874053955,0.03261202201247215
2,bank,15,2,23,5,0,1,2,8.199152946472168,0.10357096791267395
2,bank,14,2,22,6,0,1,2,8.837332725524902,0.07028425484895706
2,bank,11,2,3,6,0,1,1,9.768758773803711,0.06702570617198944
2,graph,0,1,3,5,0,1,1,11.42188549041748,0.037892282009124756
2,bank,8,1,22,9,0,1,2,11.37342643737793,0.02876284345984459
