episode_id,segment_source,segment_edge_id,edge_src,edge_dst,attempt_steps,completed,timeout,final_cluster,final_subgoal_l2,mean_selected_policy_action_mse
0,bank,1,0,20,14,0,1,0,14.66364860534668,0.06735612452030182
0,bank,2,0,21,14,0,1,0,13.446695327758789,0.09793959558010101
0,bank,0,0,1,14,0,1,0,16.057647705078125,0.03923908621072769
0,bank,1,0,20,14,0,1,1,14.505642890930176,0.06735612452030182
0,bank,5,1,3,20,0,1,2,8.669551849365234,0.037892282009124756
0,bank,15,2,23,15,0,1,2,12.55926513671875,0.092484250664711
0,bank,12,2,4,20,0,1,22,12.897547721862793,0.03261202201247215
0,bank,123,22,23,9,0,1,21,14.76948356628418,0.4857388138771057
1,bank,1,0,20,14,0,1,0,15.064023971557617,0.06735612452030182
1,bank,2,0,21,14,0,1,0,13.924741744995117,0.09793959558010101
1,bank,0,0,1,14,0,1,0,10.994823455810547,0.03923908621072769
1,bank,1,0,20,14,0,1,1,14.58031940460205,0.06735612452030182
1,bank,5,1,3,20,0,1,2,12.057171821594238,0.037892282009124756
1,bank,15,2,23,5,1,0,23,10.490293502807617,0.092484250664711
1,bank,126,23,4,14,0,1,23,14.331639289855957,0.3552308976650238
1,bank,125,23,3,12,0,1,23,8.355156898498535,0.019983407109975815
1,bank,126,23,4,13,0,1,23,12.918753623962402,0.3552308976650238
2,bank,5,1,3,20,0,1,2,6.3634843826293945,0.037892282009124756
2,bank,15,2,23,15,0,1,2,20.53291130065918,0.092484250664711
2,bank,12,2,4,20,0,1,1,15.492210388183594,0.03261202201247215
2,graph,0,1,3,20,0,1,23,10.729124069213867,0.037892282009124756
2,bank,126,23,4,14,0,1,25,8.425670623779297,0.4175277352333069
2,bank,142,25,46,16,0,1,24,7.921164512634277,0.1859358549118042
2,bank,134,24,26,15,0,1,23,12.220227241516113,0.10816933959722519
