segment_source,segment_edge_id,planner_edge_id,src,dst,num_policy_mse_samples,min_preplan_policy_action_mse,median_preplan_policy_action_mse,mean_preplan_policy_action_mse,episode_id,replan_index,current_cluster
bank,0,0,0,1,32,0.02019086480140686,0.2546380013227463,0.3543520853854716,0,0,0
bank,1,1,0,20,32,0.018049705773591995,0.14926878362894058,0.23935226368485019,0,0,0
bank,2,2,0,21,32,0.0309828482568264,0.19349845498800278,0.4132188396761194,0,0,0
bank,0,0,0,1,32,0.02019086480140686,0.2546380013227463,0.3543520853854716,0,1,0
bank,1,1,0,20,32,0.018049705773591995,0.14926878362894058,0.23935226368485019,0,1,0
bank,2,2,0,21,32,0.0309828482568264,0.19349845498800278,0.4132188396761194,0,1,0
bank,0,0,0,1,32,0.02019086480140686,0.2546380013227463,0.3543520853854716,0,2,0
bank,1,1,0,20,32,0.018049705773591995,0.14926878362894058,0.23935226368485019,0,2,0
bank,2,2,0,21,32,0.0309828482568264,0.19349845498800278,0.4132188396761194,0,2,0
bank,9,9,2,0,29,0.034629903733730316,0.3289553225040436,0.3792076405009319,0,3,2
bank,10,10,2,1,32,0.020092885941267014,0.17087256908416748,0.2814545960864052,0,3,2
bank,11,11,2,3,32,0.030576087534427643,0.20402588695287704,0.35862471273867413,0,3,2
bank,12,12,2,4,32,0.044560689479112625,0.1114574745297432,0.1832991831470281,0,3,2
bank,13,13,2,21,32,0.046305689960718155,0.29231999814510345,0.7284884265391156,0,3,2
bank,14,14,2,22,32,0.022053662687540054,0.17688139528036118,0.2126003373414278,0,3,2
bank,15,15,2,23,14,0.03522469103336334,0.1774866059422493,0.23630995729139873,0,3,2
bank,9,9,2,0,29,0.034629903733730316,0.3289553225040436,0.3792076405009319,0,4,2
bank,10,10,2,1,32,0.020092885941267014,0.17087256908416748,0.2814545960864052,0,4,2
bank,11,11,2,3,32,0.030576087534427643,0.20402588695287704,0.35862471273867413,0,4,2
bank,12,12,2,4,32,0.044560689479112625,0.1114574745297432,0.1832991831470281,0,4,2
bank,13,13,2,21,32,0.046305689960718155,0.29231999814510345,0.7284884265391156,0,4,2
bank,14,14,2,22,32,0.022053662687540054,0.17688139528036118,0.2126003373414278,0,4,2
bank,15,15,2,23,14,0.03522469103336334,0.1774866059422493,0.23630995729139873,0,4,2
bank,0,0,0,1,32,0.02019086480140686,0.2546380013227463,0.3543520853854716,1,0,0
bank,1,1,0,20,32,0.018049705773591995,0.14926878362894058,0.23935226368485019,1,0,0
bank,2,2,0,21,32,0.0309828482568264,0.19349845498800278,0.4132188396761194,1,0,0
bank,0,0,0,1,32,0.02019086480140686,0.2546380013227463,0.3543520853854716,1,1,0
bank,1,1,0,20,32,0.018049705773591995,0.14926878362894058,0.23935226368485019,1,1,0
bank,2,2,0,21,32,0.0309828482568264,0.19349845498800278,0.4132188396761194,1,1,0
bank,0,0,0,1,32,0.02019086480140686,0.2546380013227463,0.3543520853854716,1,2,0
bank,1,1,0,20,32,0.018049705773591995,0.14926878362894058,0.23935226368485019,1,2,0
bank,2,2,0,21,32,0.0309828482568264,0.19349845498800278,0.4132188396761194,1,2,0
bank,0,0,0,1,32,0.02019086480140686,0.2546380013227463,0.3543520853854716,1,3,0
bank,1,1,0,20,32,0.018049705773591995,0.14926878362894058,0.23935226368485019,1,3,0
bank,2,2,0,21,32,0.0309828482568264,0.19349845498800278,0.4132188396761194,1,3,0
bank,111,111,21,0,32,0.017877057194709778,0.2584061399102211,0.40138577681500465,1,4,21
bank,112,112,21,1,32,0.012898487970232964,0.19284597039222717,0.2472990317037329,1,4,21
bank,113,113,21,2,32,0.032498229295015335,0.1954244300723076,0.32470710028428584,1,4,21
bank,114,114,21,20,32,0.014433765783905983,0.15606819838285446,0.25404605019139126,1,4,21
bank,115,115,21,22,32,0.039331354200839996,0.13079674169421196,0.24564505193848163,1,4,21
bank,116,116,21,40,32,0.011186877265572548,0.15990585833787918,0.4569500182988122,1,4,21
bank,117,117,21,41,32,0.03829202055931091,0.23170537501573563,0.502955513773486,1,4,21
