segment_source,segment_edge_id,edge_src,edge_dst,attempts,completed,timeouts,success_rate,failure_excess,mean_attempt_steps,mean_final_subgoal_l2,mean_selected_policy_action_mse
bank,0,0,1,1,1,0,1.0,0,14.0,18.494945526123047,0.03923908621072769
bank,1,0,20,1,0,1,0.0,1,14.0,14.583593368530273,0.06735612452030182
bank,2,0,21,1,0,1,0.0,1,14.0,13.335149765014648,0.09793959558010101
bank,5,1,3,2,0,2,0.0,2,20.0,7.559647560119629,0.037892282009124756
bank,6,1,20,1,0,1,0.0,1,6.0,15.3263521194458,0.034240320324897766
bank,12,2,4,2,0,2,0.0,2,20.0,15.93034839630127,0.05749189667403698
bank,14,2,22,2,1,1,0.5,0,2.0,12.090057373046875,0.022053662687540054
bank,15,2,23,2,0,2,0.0,2,15.0,13.849652290344238,0.09802760928869247
bank,109,20,40,1,1,0,1.0,0,1.0,12.585006713867188,0.05294928699731827
bank,114,21,20,1,1,0,1.0,0,5.0,11.979879379272461,0.04016575962305069
bank,117,21,41,1,0,1,0.0,1,14.0,9.196117401123047,0.09670224040746689
bank,121,22,3,1,0,1,0.0,1,16.0,9.25126838684082,0.3043484687805176
bank,123,22,23,2,0,2,0.0,2,11.0,11.914344787597656,0.47767990827560425
bank,227,40,60,1,0,1,0.0,1,14.0,11.241937637329102,0.0373665988445282
bank,228,40,61,1,1,0,1.0,0,12.0,12.434767723083496,0.03340858221054077
bank,317,61,80,1,0,1,0.0,1,16.0,11.764754295349121,0.039574384689331055
bank,318,61,81,1,0,1,0.0,1,14.0,12.791638374328613,0.058198023587465286
graph,0,1,3,2,0,2,0.0,2,20.0,8.93817949295044,0.037892282009124756
