segment_source,segment_edge_id,planner_edge_id,src,dst,num_initiation_samples,min_initiation_distance,median_initiation_distance,distance_scale,state_conditioned_risk_score,state_conditioned_risk_penalty,episode_id,replan_index,current_cluster
bank,0,0,0,1,128,0.35456547141075134,24.186193466186523,12.352971076965332,0.028294835888324377,0.014147417944162188,0,0,0
bank,1,1,0,20,128,12.352971076965332,22.62272834777832,12.352971076965332,0.6321205588285577,0.31606027941427883,0,0,0
bank,2,2,0,21,55,12.352971076965332,26.09056282043457,12.352971076965332,0.6321205588285577,0.31606027941427883,0,0,0
bank,111,111,21,0,128,0.8868482112884521,15.137801170349121,0.8868482112884521,0.6321205588285577,0.31606027941427883,0,1,21
bank,112,112,21,1,128,0.8868482112884521,25.67129135131836,0.8868482112884521,0.6321205588285577,0.31606027941427883,0,1,21
bank,113,113,21,2,128,0.5423335433006287,16.66128921508789,0.8868482112884521,0.4574793673784062,0.2287396836892031,0,1,21
bank,114,114,21,20,128,6.934939861297607,14.868168830871582,0.8868482112884521,0.9995982817771779,0.49979914088858896,0,1,21
bank,115,115,21,22,128,0.5423335433006287,24.087419509887695,0.8868482112884521,0.4574793673784062,0.2287396836892031,0,1,21
bank,116,116,21,40,85,11.913044929504395,25.966136932373047,0.8868482112884521,0.9999985340609837,0.49999926703049186,0,1,21
bank,117,117,21,41,128,3.090912342071533,13.68978500366211,0.8868482112884521,0.969354754595716,0.484677377297858,0,1,21
bank,105,105,20,0,120,9.38228988647461,15.784372329711914,7.903150796890259,0.6949129553876088,0.3474564776938044,0,2,20
bank,106,106,20,1,128,1.9219084978103638,24.279338836669922,7.903150796890259,0.2158716552202663,0.10793582761013315,0,2,20
bank,107,107,20,2,10,19.068925857543945,33.5416145324707,7.903150796890259,0.9104381439840323,0.45521907199201617,0,2,20
bank,108,108,20,21,128,1.6634821891784668,18.396804809570312,7.903150796890259,0.1898075099852785,0.09490375499263926,0,2,20
bank,109,109,20,40,128,10.302459716796875,24.230663299560547,7.903150796890259,0.728444545446153,0.3642222727230765,0,2,20
bank,110,110,20,41,91,6.424011707305908,12.417189598083496,7.903150796890259,0.5564043586034462,0.2782021793017231,0,2,20
bank,224,224,40,20,128,1.964479684829712,17.948156356811523,1.964479684829712,0.6321205588285577,0.31606027941427883,0,3,40
bank,225,225,40,21,32,4.006438732147217,14.642561912536621,1.964479684829712,0.8698984714409648,0.4349492357204824,0,3,40
bank,226,226,40,41,128,1.1112112998962402,11.985597610473633,1.964479684829712,0.43201014055975573,0.21600507027987786,0,3,40
bank,227,227,40,60,128,4.977687835693359,18.6521053314209,1.964479684829712,0.9206467132267084,0.4603233566133542,0,3,40
bank,228,228,40,61,128,0.6617962718009949,18.820171356201172,1.964479684829712,0.28600634203481,0.143003171017405,0,3,40
bank,224,224,40,20,128,2.2857420444488525,17.700393676757812,2.2857420444488525,0.6321205588285577,0.31606027941427883,0,4,40
bank,225,225,40,21,32,4.348649501800537,14.842107772827148,2.2857420444488525,0.8508064842226604,0.4254032421113302,0,4,40
