segment_source,segment_edge_id,edge_src,edge_dst,attempts,completed,timeouts,success_rate,failure_excess,mean_attempt_steps,mean_final_subgoal_l2,mean_selected_policy_action_mse
bank,1,0,20,1,1,0,1.0,0,12.0,14.227046012878418,0.06735612452030182
bank,5,1,3,1,1,0,1.0,0,18.0,10.04670238494873,0.037892282009124756
bank,18,3,4,1,1,0,1.0,0,8.0,8.680495262145996,0.11535872519016266
bank,30,4,24,1,0,1,0.0,1,2.0,12.898757934570312,0.027516791597008705
bank,32,4,26,1,0,1,0.0,1,20.0,13.697797775268555,0.2119767963886261
bank,106,20,1,1,1,0,1.0,0,4.0,13.704155921936035,0.02480478584766388
bank,108,20,21,1,0,1,0.0,1,12.0,7.653229713439941,0.03261657804250717
bank,109,20,40,6,0,6,0.0,6,14.0,15.555968284606934,0.05542824789881706
bank,110,20,41,6,2,4,0.3333333333333333,2,12.0,11.588321367899576,0.052123275895913444
bank,233,41,60,1,0,1,0.0,1,16.0,10.772795677185059,0.04466595500707626
bank,234,41,61,2,1,1,0.5,0,14.0,12.842916488647461,0.06711709871888161
bank,235,41,81,1,0,1,0.0,1,9.0,11.15235424041748,0.11713172495365143
bank,318,61,81,1,0,1,0.0,1,14.0,5.123545169830322,0.058198023587465286
bank,365,80,100,1,0,1,0.0,1,14.0,10.808903694152832,0.02528616413474083
bank,366,80,101,1,0,1,0.0,1,16.0,10.40565299987793,0.05368296802043915
bank,397,101,122,1,0,1,0.0,1,11.0,11.201948165893555,0.07741473615169525
graph,102,41,81,1,0,1,0.0,1,20.0,13.695310592651367,0.11713172495365143
