episode_id,segment_source,segment_edge_id,edge_src,edge_dst,attempt_steps,completed,timeout,final_cluster,final_subgoal_l2,mean_selected_policy_action_mse
0,bank,5,1,3,20,0,1,2,10.985456466674805,0.033056192100048065
0,bank,15,2,23,15,0,1,2,16.974119186401367,0.035567499697208405
0,bank,12,2,4,20,0,1,23,17.743457794189453,0.06732641905546188
0,bank,126,23,4,14,0,1,3,11.421097755432129,0.0166433397680521
0,bank,18,3,4,14,0,1,3,8.68470287322998,0.09905242919921875
0,bank,23,3,24,16,0,1,2,8.642197608947754,0.06606128811836243
0,bank,11,2,3,10,1,0,3,9.552685737609863,0.045113760977983475
0,bank,19,3,5,11,0,1,24,7.971923828125,0.022630933672189713
1,bank,5,1,3,20,0,1,2,9.14306354522705,0.033056192100048065
1,bank,15,2,23,15,0,1,2,11.210005760192871,0.10756261646747589
1,bank,12,2,4,20,0,1,21,15.09561538696289,0.04392075538635254
1,bank,117,21,41,14,0,1,21,10.567692756652832,0.06039268895983696
1,bank,114,21,20,12,0,1,40,15.241405487060547,0.01598452776670456
1,bank,227,40,60,3,1,0,60,10.575257301330566,0.0671742856502533
1,bank,312,60,81,11,1,0,81,12.225664138793945,0.032502736896276474
1,bank,371,81,101,14,0,1,81,8.73276424407959,0.04957304149866104
1,graph,135,81,121,11,0,1,101,11.041979789733887,0.0142711466178298
2,bank,1,0,20,7,1,0,20,18.713777542114258,0.03205719590187073
2,bank,109,20,40,14,0,1,21,13.821698188781738,0.08184412121772766
2,bank,117,21,41,14,0,1,21,7.634429454803467,0.02633819542825222
2,bank,116,21,40,14,1,0,40,20.092533111572266,0.029994379729032516
2,bank,227,40,60,13,1,0,60,12.9038724899292,0.019305668771266937
2,bank,312,60,81,12,0,1,61,19.594961166381836,0.032502736896276474
2,bank,318,61,81,14,0,1,61,9.745119094848633,0.07483692467212677
2,bank,317,61,80,16,0,1,61,14.840075492858887,0.05862385034561157
2,bank,319,61,101,16,0,1,60,22.05926513671875,0.10441838949918747
