segment_source,segment_edge_id,edge_src,edge_dst,attempts,completed,timeouts,success_rate,failure_excess,mean_attempt_steps,mean_final_subgoal_l2,mean_selected_policy_action_mse
bank,0,0,1,1,1,0,1.0,0,12.0,9.063751220703125,0.03923908621072769
bank,1,0,20,1,0,1,0.0,1,14.0,14.431863784790039,0.06735612452030182
bank,4,1,2,1,0,1,0.0,1,14.0,6.69734001159668,0.06145690381526947
bank,7,1,21,1,1,0,1.0,0,14.0,10.061518669128418,0.0430271923542022
bank,11,2,3,1,0,1,0.0,1,6.0,14.126873970031738,0.04129737615585327
bank,12,2,4,1,0,1,0.0,1,20.0,15.30908203125,0.0823717713356018
bank,31,4,25,1,0,1,0.0,1,16.0,13.349555969238281,0.07693558186292648
bank,116,21,40,1,0,1,0.0,1,16.0,19.10858154296875,0.0695897042751312
bank,117,21,41,1,0,1,0.0,1,14.0,9.207649230957031,0.0967022404074668
bank,235,41,81,1,0,1,0.0,1,20.0,11.236572265625,0.1171317249536514
bank,319,61,101,1,0,1,0.0,1,20.0,18.9183406829834,0.1746270209550857
graph,0,1,3,1,1,0,1.0,0,10.0,9.557445526123047,0.037892282009124756
graph,2,3,4,1,1,0,1.0,0,8.0,12.605890274047852,0.06470504403114319
graph,7,4,26,1,0,1,0.0,1,20.0,8.154520034790039,0.30572134256362915
graph,102,41,81,1,0,1,0.0,1,20.0,15.468571662902832,0.1171317249536514
