method,num_queries,num_reachable,path_coverage,mean_path_length,mean_planning_path_cost,mean_base_path_cost,mean_edge_proxy_score,mean_min_edge_proxy_score,mean_heldout_support_lcb,mean_min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_outgoing_incompatible_fraction,mean_outgoing_termination_bridge_coverage,mean_uncertified_edge_fraction,mean_original_uncertified_edge_fraction,mean_low_proxy_edge_fraction,mean_low_support_lcb_edge_fraction,mean_high_ood_edge_fraction,mean_high_incompat_edge_fraction,mean_bottleneck_edge_fraction,mean_proxy_path_success_reachable,mean_proxy_path_success_over_all,num_graph_nodes,num_graph_edges,planner_method,risk_weight,ood_weight,incompat_weight,uncertified_weight,min_proxy_score,min_heldout_support_lcb,high_ood_threshold,high_incompat_threshold,sweep_id,coverage_cost_ratio,risk_cleanliness_score,coverage_risk_score,is_pareto
floor_proxy_penalized_s0000,500,283,0.566,5.646643109540636,50.55063453182929,50.55063453182929,0.2774885165213061,0.10492855452564272,0.13706627230241988,0.026980577364727247,0.5244934028180179,0.5295123442150399,0.37637467802329755,0.24307051702963925,0.3270803270803271,0.3270803270803271,0.0,0.0,0.5076178451178451,0.2311907064566639,0.5515697757719035,0.003433065845927038,0.0019431152687947031,120,582,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0.011196694269853667,0.43522118963464534,0.24633519333320925,True
floor_proxy_penalized_s0001,500,283,0.566,6.328621908127208,54.09564622432578,54.09564622432578,0.3227020550290112,0.1749331563650791,0.15945747341898744,0.056268787456496994,0.6228431831796587,0.4610563465150262,0.35367455584210905,0.24520697243950698,0.17501560693050056,0.17501560693050056,0.0,0.0,0.39215483098461823,0.19329068291834248,0.5632053820883608,0.004014065553271088,0.002271961103151436,120,507,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.5,1,0.010462949229830635,0.5147859017901211,0.2913688204132085,False
floor_proxy_penalized_s0002,500,276,0.552,6.673913043478261,55.894942470119624,55.894942470119624,0.348349491368789,0.21267457730550782,0.17510058088568647,0.0821731047448287,0.631562594817609,0.4294019889631331,0.32422367943504304,0.24683639583696143,0.07430473566837202,0.07430473566837202,0.0,0.0,0.3324992784992785,0.16131798504525777,0.550182867637413,0.004481293456844348,0.0024736739881780797,120,452,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.0,0.05,0.5,0.5,2,0.009875669883640881,0.5639306317956572,0.31128970875120276,False
floor_proxy_penalized_s0003,500,283,0.566,5.879858657243816,51.729464460930814,51.729464460930814,0.2974085106599145,0.12803148622368854,0.14585858453252257,0.03176710711965589,0.5671320518516543,0.4921867557322885,0.36543697029639277,0.24021719313656711,0.26862879043730103,0.26862879043730103,0.0,0.0,0.46935796669839225,0.20114173651407694,0.5357769692876077,0.0036408470702306624,0.002060719441750555,120,555,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.05,0.0,0.5,0.5,3,0.010941539911503956,0.4669523154212881,0.26429501052844906,False
floor_proxy_penalized_s0004,500,283,0.566,6.5053003533568905,54.83544819591652,54.83544819591652,0.33548134400322493,0.21008621071560593,0.16490922018525797,0.06310657148730446,0.6440308333728879,0.4355402952268671,0.3482069808545239,0.24280375176038943,0.14035376561972307,0.14035376561972307,0.0,0.0,0.3614462763398934,0.17145390070921987,0.5537855761260017,0.0041476819799986225,0.0023475880006792204,120,499,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.05,0.01,0.5,0.5,4,0.010321790349516078,0.5403482976464055,0.3058371364678655,False
floor_proxy_penalized_s0005,500,276,0.552,6.782608695652174,56.27184829432211,56.27184829432211,0.3553338841153951,0.24015637643377669,0.1781478390726215,0.086901912697818,0.6405090337923743,0.4134327487560789,0.319458732188927,0.24537926228924375,0.05850085268267086,0.05850085268267086,0.0,0.0,0.31202203856749305,0.14418942673488128,0.5430384363111636,0.004558996551425498,0.0025165660963868746,120,450,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.05,0.05,0.5,0.5,5,0.009809523176008729,0.5807183795042705,0.32055654548635737,False
floor_proxy_penalized_s0006,500,272,0.544,6.4375,54.033960277878975,54.033960277878975,0.3454231196664039,0.22877459529953148,0.16816918088462926,0.06465252886159774,0.667872681271472,0.4193604411054564,0.32905095904700543,0.24554510459291276,0.11909594095940959,0.11909594095940959,0.0,0.0,0.3467463246061032,0.1420166344520588,0.550784864991507,0.004578332014097396,0.002490612615668983,120,494,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.5,6,0.010067742530852561,0.5578169752333177,0.3034524345269249,True
floor_proxy_penalized_s0007,500,272,0.544,6.525735294117647,54.414016504368405,54.414016504368405,0.34741839257966733,0.23295575958686449,0.16959507613351157,0.06767554440211279,0.6657298314446773,0.4164278023101916,0.32860979461423145,0.24525770622991178,0.11133222046506179,0.11133222046506179,0.0,0.0,0.33958176919431526,0.14010865108651085,0.5577757011336347,0.004553689247779783,0.0024772069507922015,120,490,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.1,0.01,0.5,0.5,7,0.009997424100393825,0.5623056389948976,0.3058942676132243,False
floor_proxy_penalized_s0008,500,265,0.53,6.739622641509434,55.642429397366364,55.642429397366364,0.3600346784779491,0.2569130208043585,0.18006283139505513,0.08765382170912207,0.6504352432817394,0.40885111559525916,0.3128071582072529,0.24639776952577314,0.044215969215969216,0.044215969215969216,0.0,0.0,0.31292265184310636,0.12370143534916264,0.5388776837640474,0.004750493066132625,0.0025177613250502912,120,447,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.1,0.05,0.5,0.5,8,0.009525105315137188,0.5912271591582352,0.3133503943538647,False
floor_proxy_penalized_s0009,500,265,0.53,6.754716981132075,55.502256544970656,55.502256544970656,0.3628834384128051,0.2693193549517386,0.1795214453093979,0.08090662402786755,0.6602262998903673,0.4010210200183383,0.31218032934911544,0.24637250308140696,0.04956559644059644,0.04956559644059644,0.0,0.0,0.3090370698325244,0.11990440115440115,0.5500904608859155,0.0048471940151447205,0.0025690128280267013,120,460,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.5,9,0.009549161295281175,0.5940667465667229,0.31485537568036315,True
floor_proxy_penalized_s0010,500,265,0.53,6.754716981132075,55.502256544970656,55.502256544970656,0.3628834384128051,0.2693193549517386,0.1795214453093979,0.08090662402786755,0.6602262998903673,0.4010210200183383,0.31218032934911544,0.24637250308140696,0.04956559644059644,0.04956559644059644,0.0,0.0,0.3090370698325244,0.11990440115440115,0.5500904608859155,0.0048471940151447205,0.0025690128280267013,120,460,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.2,0.01,0.5,0.5,10,0.009549161295281175,0.5940667465667229,0.31485537568036315,True
floor_proxy_penalized_s0011,500,265,0.53,6.860377358490566,56.19518479620939,56.19518479620939,0.36693173355551223,0.27618994230586447,0.1815577423641913,0.08799507480229223,0.6582672790169918,0.39772757967932837,0.3047619241203521,0.24798696433990086,0.02439724627224627,0.02439724627224627,0.0,0.0,0.29455745222790675,0.11111124775897503,0.5291524552888188,0.0048235085998835515,0.0025564595579382825,120,442,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.2,0.05,0.5,0.5,11,0.009431413063628734,0.6055363476821854,0.3209342642715583,False
floor_proxy_penalized_s0012,500,283,0.566,6.848056537102473,57.16471258116397,56.006996839119736,0.3639092140489155,0.26082840344495917,0.18041017939272339,0.082307083454312,0.6449644767474318,0.39971181002438144,0.31054490899327947,0.24758387806458992,0.01601795564561522,0.01601795564561522,0.0,0.0,0.28272683778002927,0.1334332432736688,0.540193346842283,0.00452615052378602,0.002561801196462888,120,582,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,12,0.010105880192538025,0.6018121092276738,0.34062565382286336,True
floor_proxy_penalized_s0013,500,283,0.566,7.024734982332156,58.00976774314008,57.32970819278995,0.36555855408415994,0.2703975909743702,0.1810340466900661,0.08500040830419746,0.6532814464966392,0.395948081862428,0.3096280041224739,0.24595460417661827,0.009748958685128898,0.009748958685128898,0.0,0.0,0.2763134816326306,0.1279820553756724,0.5415390460603227,0.004523033703941493,0.002560037076430885,120,507,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.0,0.01,0.5,0.5,13,0.009872717267226256,0.6074774283942009,0.3438322244711177,True
floor_proxy_penalized_s0014,500,276,0.552,7.010869565217392,58.40624688226329,57.39360662457018,0.36756219167725085,0.273125636255348,0.18238338036283772,0.08807300086044088,0.6549948858920639,0.39633697251951505,0.30778093635961606,0.24745902262678757,0.013070838252656434,0.013070838252656434,0.0,0.0,0.2773008708463254,0.12401506574233843,0.5300711510711511,0.004642258258317314,0.0025625265585911576,120,452,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.0,0.05,0.5,0.5,14,0.009617795996177892,0.6082244483553731,0.335739895492166,True
floor_proxy_penalized_s0015,500,283,0.566,6.872791519434629,57.26836256195916,56.18499749642489,0.36440697959149393,0.2625780367313958,0.18061339266829876,0.08267848623416658,0.6468058988542084,0.3985948538707592,0.30993888250072815,0.2475319690029916,0.014744455701902512,0.014744455701902512,0.0,0.0,0.28164330744117977,0.1318360914105595,0.5415301699876167,0.0045254859552440255,0.0025614250506681186,120,555,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.05,0.0,0.5,0.5,15,0.010073863579615094,0.6029935149692106,0.34129432947257315,True
floor_proxy_penalized_s0016,500,283,0.566,7.024734982332156,58.00976774314008,57.32970819278995,0.36555855408415994,0.2703975909743702,0.1810340466900661,0.08500040830419746,0.6532814464966392,0.395948081862428,0.3096280041224739,0.24595460417661827,0.009748958685128898,0.009748958685128898,0.0,0.0,0.2763134816326306,0.1279820553756724,0.5415390460603227,0.004523033703941493,0.002560037076430885,120,499,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.05,0.01,0.5,0.5,16,0.009872717267226256,0.6074774283942009,0.3438322244711177,True
floor_proxy_penalized_s0017,500,276,0.552,7.010869565217392,58.40624688226329,57.39360662457018,0.36756219167725085,0.273125636255348,0.18238338036283772,0.08807300086044088,0.6549948858920639,0.39633697251951505,0.30778093635961606,0.24745902262678757,0.013070838252656434,0.013070838252656434,0.0,0.0,0.2773008708463254,0.12401506574233843,0.5300711510711511,0.004642258258317314,0.0025625265585911576,120,450,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.05,0.05,0.5,0.5,17,0.009617795996177892,0.6082244483553731,0.335739895492166,True
floor_proxy_penalized_s0018,500,272,0.544,6.944852941176471,56.878209878056424,56.523234828852374,0.3676839378669238,0.2773937725482863,0.18253409530132997,0.08579293860539951,0.6540381012178099,0.39464837465569735,0.30398278293551523,0.24678267763029624,0.005357875007321502,0.005357875007321502,0.0,0.0,0.28212735399082256,0.11618502448760751,0.5489800994413541,0.004686018596808402,0.0025491941166637705,120,494,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.1,0.0,0.5,0.5,18,0.009624360701350277,0.6112515228727731,0.3325208284427886,True
floor_proxy_penalized_s0019,500,272,0.544,6.959558823529412,56.891462500710766,56.611661030901935,0.36790560875448186,0.2782123309914362,0.1827247992653904,0.08603072097500804,0.6541682743041236,0.39444889335459865,0.30387035794762907,0.24671113496329503,0.004486616294734376,0.004486616294734376,0.0,0.0,0.2812560952782355,0.11601822736509083,0.5493136936863875,0.004685622431468385,0.002548978602718801,120,490,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.1,0.01,0.5,0.5,19,0.00960932765606459,0.6118352382637532,0.33283836961548174,True
floor_proxy_penalized_s0020,500,265,0.53,6.939622641509434,57.25583878790071,56.640224228798026,0.369955988722709,0.2812612538413921,0.18411649089214538,0.08921242292493686,0.6558482555511945,0.39494285688838554,0.30188282689849694,0.24824189492349677,0.007841810966810966,0.007841810966810966,0.0,0.0,0.28245011512056967,0.11167202956975683,0.5377462920076557,0.004814094811476444,0.0025514702500825147,120,447,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.1,0.05,0.5,0.5,20,0.009357307588668196,0.61268275781528,0.32472186164209843,False
floor_proxy_penalized_s0021,500,265,0.53,6.958490566037736,56.67543642413325,56.65239491549929,0.3683343698776904,0.2811385830927174,0.18257852725703147,0.0871031172186164,0.6549240458968203,0.39426390878241035,0.3025903552132358,0.24757772309645543,0.0007575757575757576,0.0007575757575757576,0.0,0.0,0.2836030131484676,0.11248071162843888,0.5505010036260036,0.004793157464125561,0.002540373455986547,120,460,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.2,0.0,0.5,0.5,21,0.009355297349574175,0.6133751619630533,0.32508883584041826,True
floor_proxy_penalized_s0022,500,265,0.53,6.958490566037736,56.67543642413325,56.65239491549929,0.3683343698776904,0.2811385830927174,0.18257852725703147,0.0871031172186164,0.6549240458968203,0.39426390878241035,0.3025903552132358,0.24757772309645543,0.0007575757575757576,0.0007575757575757576,0.0,0.0,0.2836030131484676,0.11248071162843888,0.5505010036260036,0.004793157464125561,0.002540373455986547,120,460,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.2,0.01,0.5,0.5,22,0.009355297349574175,0.6133751619630533,0.32508883584041826,True
floor_proxy_penalized_s0023,500,265,0.53,6.939622641509434,57.25583878790071,56.640224228798026,0.369955988722709,0.2812612538413921,0.18411649089214538,0.08921242292493686,0.6558482555511945,0.39494285688838554,0.30188282689849694,0.24824189492349677,0.007841810966810966,0.007841810966810966,0.0,0.0,0.28245011512056967,0.11167202956975683,0.5377462920076557,0.004814094811476444,0.0025514702500825147,120,442,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.2,0.05,0.5,0.5,23,0.009357307588668196,0.61268275781528,0.32472186164209843,False
floor_proxy_penalized_s0024,500,283,0.566,5.957597173144876,69.10697355830325,52.000597044062,0.30455617885968966,0.12254416844673004,0.14460035377061045,0.0320303799048863,0.5611570417040826,0.4909565245715287,0.3084201422647049,0.24918842188030288,0.24375287832734643,0.24375287832734643,0.0,0.0,0.4524527186761229,0.1229980913491552,0.5424773315730762,0.003883275842693156,0.002197934126964326,120,582,floor_proxy_penalized,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,24,0.010884490413069827,0.4895881667729432,0.27710690239348584,False
floor_proxy_penalized_s0025,500,283,0.566,6.561837455830389,73.22929444942653,55.11533340938444,0.3360935000684018,0.19690410788628662,0.16006331883678168,0.06261512141693452,0.6388618215044563,0.43438007697580666,0.30837883593213294,0.24885992290010436,0.1361590832335513,0.1361590832335513,0.0,0.0,0.3554977331573076,0.13445639270107354,0.5426647426647426,0.004175670487273706,0.0023634294957969176,120,507,floor_proxy_penalized,0.0,0.0,1.0,0.0,0.0,0.01,0.5,0.5,25,0.010269374509555767,0.5461708435262271,0.30913269743584454,False
