method,num_queries,num_reachable,path_coverage,mean_path_length,mean_planning_path_cost,mean_base_path_cost,mean_edge_proxy_score,mean_min_edge_proxy_score,mean_heldout_support_lcb,mean_min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_outgoing_incompatible_fraction,mean_outgoing_termination_bridge_coverage,mean_uncertified_edge_fraction,mean_original_uncertified_edge_fraction,mean_low_proxy_edge_fraction,mean_low_support_lcb_edge_fraction,mean_high_ood_edge_fraction,mean_high_incompat_edge_fraction,mean_bottleneck_edge_fraction,mean_proxy_path_success_reachable,mean_proxy_path_success_over_all,num_graph_nodes,num_graph_edges,planner_method,risk_weight,ood_weight,incompat_weight,uncertified_weight,min_proxy_score,min_heldout_support_lcb,high_ood_threshold,high_incompat_threshold,sweep_id,coverage_cost_ratio,risk_cleanliness_score,coverage_risk_score,is_pareto
floor_proxy_penalized_s0000,100,16,0.16,3.25,10.7958664251808,10.7958664251808,0.21012182773175977,0.11066893082141645,0.1238831853261526,0.025363488956451692,0.4346534626363684,0.46180974273794784,0.7489469876188626,0.09392930061274607,0.5718749999999999,0.5718749999999999,0.0,0.0,0.46770833333333334,0.9166666666666666,0.5666666666666667,0.012008653257213557,0.0019213845211541692,191,1897,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0.014820487184503163,0.25566042322951377,0.0409056677167222,True
floor_proxy_penalized_s0003,100,15,0.15,3.2666666666666666,10.760067720809094,10.760067720809094,0.21478543550429582,0.11817894752500059,0.12505263769965527,0.03009345906319089,0.43319465612487656,0.4466604785938932,0.7293702747869415,0.09527536021778402,0.5566666666666666,0.5566666666666666,0.0,0.0,0.43444444444444436,0.8944444444444444,0.6311111111111111,0.012859959161534913,0.0019289938742302374,191,1738,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.05,0.0,0.5,0.5,3,0.013940432708421735,0.2715352059338201,0.04073028089007301,True
floor_proxy_penalized_s0009,100,15,0.15,4.0,13.734245157700997,13.734245157700997,0.3298503836034337,0.26138314821414615,0.18894287854321856,0.09941965763492613,0.678313218646984,0.27686721284074467,0.6281142164843144,0.11403498815875769,0.15777777777777777,0.15777777777777777,0.0,0.0,0.08444444444444445,0.7022222222222222,0.41444444444444445,0.02496717667849366,0.003745076501774049,188,1108,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.5,9,0.01092160495736402,0.501176316462584,0.07517644746938759,True
floor_proxy_penalized_s0012,100,16,0.16,3.75,14.535955367789118,12.762131766095305,0.3048158732464957,0.17772694407013773,0.17321885300775464,0.055660060163342295,0.6197410359170459,0.3209272796684597,0.6617784329640948,0.11050433783215766,0.15625,0.15625,0.0,0.0,0.1875,0.7916666666666667,0.41770833333333324,0.021697220078653854,0.0034715552125846164,191,1897,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,12,0.012537090427562129,0.4431058260822452,0.07089693217315923,True
floor_proxy_penalized_s0013,100,15,0.15,3.933333333333333,14.797809662413492,13.526413070543414,0.3210634627843045,0.2361301550913701,0.15334500542752874,0.07875341444198994,0.6690967749527297,0.2740693450382323,0.6071265449329174,0.12356144017672974,0.1211111111111111,0.1211111111111111,0.0,0.0,0.1211111111111111,0.7244444444444444,0.5044444444444444,0.02363587075029122,0.0035453806125436836,188,1322,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.0,0.01,0.5,0.5,13,0.011089414408514279,0.48456169877044647,0.07268425481556696,True
floor_proxy_penalized_s0014,100,15,0.15,4.066666666666666,15.051789215886133,14.437554973756397,0.33716880277609373,0.27020448878903225,0.16635693807952273,0.09733734379801263,0.7130823885968425,0.2531784535629961,0.6104157187220911,0.1233678430978693,0.05777777777777778,0.05777777777777778,0.0,0.0,0.0611111111111111,0.7211111111111111,0.45444444444444443,0.023915640107868483,0.0035873460161802723,187,1110,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.0,0.05,0.5,0.5,14,0.01038957082917847,0.519312285373711,0.07789684280605665,True
floor_proxy_penalized_s0015,100,15,0.15,3.6666666666666665,14.257510570862843,12.337346121419264,0.2965774395552584,0.1905480342936663,0.15235796591057982,0.06320090759095384,0.6147576231732779,0.3133536685236634,0.6447434650498375,0.11337666085103885,0.1822222222222222,0.1822222222222222,0.0,0.0,0.1822222222222222,0.7722222222222223,0.4988888888888888,0.02299670169967265,0.003449505254950898,191,1738,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.05,0.0,0.5,0.5,15,0.012158206353599836,0.44124786670751587,0.06618718000612737,True
floor_proxy_penalized_s0016,100,15,0.15,3.933333333333333,14.797809662413492,13.526413070543414,0.3210634627843045,0.2361301550913701,0.15334500542752874,0.07875341444198994,0.6690967749527297,0.2740693450382323,0.6071265449329174,0.12356144017672974,0.1211111111111111,0.1211111111111111,0.0,0.0,0.1211111111111111,0.7244444444444444,0.5044444444444444,0.02363587075029122,0.0035453806125436836,188,1317,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.05,0.01,0.5,0.5,16,0.011089414408514279,0.48456169877044647,0.07268425481556696,True
floor_proxy_penalized_s0017,100,15,0.15,4.066666666666666,15.051789215886133,14.437554973756397,0.33716880277609373,0.27020448878903225,0.16635693807952273,0.09733734379801263,0.7130823885968425,0.2531784535629961,0.6104157187220911,0.1233678430978693,0.05777777777777778,0.05777777777777778,0.0,0.0,0.0611111111111111,0.7211111111111111,0.45444444444444443,0.023915640107868483,0.0035873460161802723,187,1110,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.05,0.05,0.5,0.5,17,0.01038957082917847,0.519312285373711,0.07789684280605665,True
floor_proxy_penalized_s0018,100,15,0.15,4.0,14.942360640429436,14.10455617226015,0.3334086807906265,0.2592485448489864,0.16207291470672203,0.0885996478474938,0.7156168993215826,0.25954824303532703,0.616256174562547,0.12333655632889842,0.07444444444444444,0.07444444444444444,0.0,0.0,0.07777777777777777,0.7277777777777779,0.45444444444444443,0.02388418741717232,0.003582628112575848,189,1303,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.1,0.0,0.5,0.5,18,0.010634861399964463,0.5082642919111416,0.07623964378667124,True
